% x_coordinate y_coordinate pressure time
% shape 0, 1930 points
911.688 272.879 0.012 0
911.688 272.800 0.055 0
911.688 272.800 0.081 1
911.688 272.800 0.107 16
911.688 272.800 0.135 32
911.688 272.800 0.156 32
911.688 272.800 0.171 33
911.688 272.800 0.179 48
911.688 272.800 0.182 48
911.688 272.800 0.185 64
911.688 272.800 0.186 64
911.688 272.800 0.187 81
911.688 272.800 0.190 81
911.688 272.800 0.196 81
911.688 272.800 0.206 97
911.688 272.800 0.218 97
911.688 272.800 0.232 113
911.688 272.800 0.245 113
911.688 272.800 0.259 113
911.688 272.800 0.274 129
911.688 272.800 0.290 145
911.688 272.800 0.306 145
911.688 272.879 0.321 145
911.688 272.879 0.340 161
911.688 272.919 0.359 177
911.688 272.959 0.375 177
911.648 272.959 0.388 177
911.648 272.959 0.400 193
911.608 272.999 0.413 193
911.568 272.999 0.427 193
911.568 272.999 0.441 209
911.568 272.999 0.456 225
911.528 272.999 0.474 225
911.528 272.999 0.490 225
911.528 272.999 0.504 241
911.528 272.999 0.517 241
911.528 272.999 0.528 257
911.528 272.999 0.534 257
911.528 273.039 0.540 257
911.528 273.078 0.543 273
911.487 273.118 0.547 273
911.447 273.158 0.550 289
911.407 273.278 0.554 289
911.367 273.357 0.559 306
911.327 273.437 0.564 306
911.327 273.516 0.570 306
911.287 273.636 0.575 322
911.247 273.715 0.581 338
911.207 273.795 0.586 338
911.167 273.875 0.590 338
911.167 273.954 0.593 354
911.087 274.034 0.594 354
911.047 274.114 0.596 370
911.007 274.193 0.596 370
910.967 274.273 0.596 370
910.927 274.352 0.597 386
910.886 274.432 0.598 402
910.846 274.512 0.598 402
910.806 274.591 0.599 402
910.726 274.711 0.600 418
910.646 274.830 0.602 418
910.606 274.949 0.604 418
910.566 275.069 0.606 434
910.486 275.268 0.608 450
910.446 275.427 0.609 450
910.406 275.547 0.610 450
910.366 275.706 0.611 466
910.285 275.865 0.612 482
910.245 275.985 0.613 482
910.205 276.104 0.614 482
910.165 276.223 0.614 499
910.165 276.343 0.616 499
910.125 276.462 0.616 515
910.085 276.542 0.617 515
910.085 276.621 0.617 515
910.045 276.701 0.618 531
910.045 276.781 0.619 531
910.045 276.820 0.620 531
910.005 276.900 0.621 547
910.005 276.980 0.621 564
910.005 277.020 0.622 564
910.005 277.099 0.623 564
909.965 277.179 0.623 580
909.965 277.258 0.624 580
909.965 277.298 0.625 596
909.965 277.378 0.625 596
909.965 277.457 0.625 612
909.965 277.577 0.626 612
909.965 277.656 0.627 612
909.965 277.736 0.627 628
909.965 277.816 0.627 628
909.965 277.895 0.627 644
909.965 277.975 0.627 644
909.965 278.055 0.628 660
909.965 278.134 0.628 660
909.965 278.214 0.628 676
909.965 278.293 0.629 676
909.925 278.373 0.629 676
909.925 278.453 0.630 692
909.925 278.492 0.630 708
909.925 278.492 0.630 708
909.925 278.532 0.631 724
909.925 278.572 0.631 724
909.925 278.652 0.632 724
909.925 278.731 0.633 740
909.885 278.771 0.634 757
909.885 278.851 0.636 757
909.885 278.930 0.636 757
909.885 279.010 0.637 773
909.885 279.090 0.638 789
909.885 279.129 0.639 789
909.885 279.209 0.639 789
909.885 279.249 0.640 805
909.885 279.328 0.640 805
909.885 279.368 0.641 805
909.885 279.448 0.641 821
909.885 279.488 0.642 821
909.885 279.567 0.642 837
909.885 279.647 0.643 837
909.885 279.687 0.643 837
909.885 279.766 0.643 853
909.885 279.886 0.644 870
909.885 279.965 0.644 870
909.885 280.045 0.645 870
909.885 280.125 0.645 886
909.885 280.244 0.645 886
909.885 280.324 0.645 886
909.885 280.443 0.645 902
909.925 280.523 0.645 918
909.925 280.642 0.646 918
909.965 280.722 0.646 918
909.965 280.801 0.647 935
909.965 280.921 0.647 951
909.965 281.000 0.647 951
909.965 281.080 0.647 951
909.965 281.160 0.647 967
909.965 281.279 0.647 967
909.965 281.359 0.648 967
909.965 281.438 0.648 983
909.965 281.518 0.648 983
909.965 281.597 0.648 999
910.005 281.677 0.648 999
910.005 281.757 0.648 1016
910.005 281.836 0.648 1016
910.045 281.916 0.648 1032
910.085 281.996 0.649 1032
910.085 282.075 0.648 1032
910.085 282.234 0.649 1048
910.125 282.314 0.649 1064
910.125 282.433 0.649 1064
910.125 282.553 0.649 1064
910.125 282.633 0.650 1080
910.125 282.752 0.650 1080
910.125 282.832 0.650 1080
910.125 282.951 0.651 1096
910.165 283.031 0.651 1113
910.165 283.110 0.652 1113
910.165 283.190 0.653 1113
910.165 283.269 0.653 1129
910.205 283.309 0.654 1129
910.205 283.389 0.654 1145
910.245 283.469 0.654 1145
910.245 283.548 0.655 1161
910.285 283.588 0.656 1161
910.285 283.668 0.656 1161
910.326 283.747 0.656 1178
910.366 283.827 0.656 1178
910.366 283.906 0.656 1194
910.366 283.986 0.656 1194
910.406 284.026 0.656 1194
910.406 284.105 0.657 1210
910.446 284.185 0.657 1226
910.486 284.225 0.657 1226
910.486 284.305 0.657 1226
910.526 284.384 0.657 1242
910.526 284.464 0.658 1242
910.566 284.543 0.658 1242
910.566 284.663 0.659 1259
910.606 284.742 0.659 1275
910.606 284.822 0.660 1275
910.646 284.941 0.660 1275
910.646 285.021 0.660 1291
910.726 285.101 0.660 1307
910.766 285.180 0.660 1307
910.806 285.260 0.660 1307
910.846 285.339 0.660 1324
910.927 285.419 0.660 1324
910.967 285.459 0.659 1324
911.007 285.539 0.659 1340
911.047 285.618 0.659 1340
911.087 285.658 0.660 1356
911.127 285.738 0.660 1356
911.167 285.777 0.661 1356
911.207 285.857 0.662 1372
911.247 285.937 0.663 1389
911.327 286.056 0.663 1389
911.367 286.136 0.664 1389
911.407 286.215 0.665 1405
911.487 286.295 0.665 1405
911.528 286.374 0.666 1405
911.568 286.454 0.666 1421
911.608 286.534 0.666 1437
911.648 286.613 0.667 1437
911.728 286.693 0.667 1437
911.768 286.812 0.667 1453
911.808 286.852 0.666 1470
911.888 286.932 0.666 1470
911.928 286.972 0.666 1470
911.968 287.011 0.666 1486
912.008 287.091 0.666 1486
912.048 287.131 0.667 1486
912.129 287.171 0.667 1502
912.169 287.211 0.667 1502
912.209 287.250 0.668 1518
912.289 287.290 0.667 1518
912.369 287.330 0.668 1534
912.409 287.410 0.669 1534
912.489 287.449 0.669 1550
912.529 287.529 0.670 1550
912.569 287.569 0.670 1550
912.649 287.648 0.670 1567
912.689 287.728 0.671 1567
912.770 287.808 0.671 1567
912.810 287.847 0.672 1583
912.850 287.927 0.672 1599
912.930 287.967 0.672 1599
912.970 288.046 0.672 1599
913.010 288.126 0.673 1615
913.090 288.206 0.672 1631
913.130 288.245 0.673 1631
913.210 288.325 0.673 1631
913.250 288.365 0.673 1647
913.331 288.405 0.673 1647
913.371 288.484 0.672 1647
913.411 288.524 0.672 1664
913.451 288.564 0.671 1680
913.491 288.604 0.671 1680
913.531 288.683 0.671 1680
913.531 288.723 0.671 1696
913.571 288.763 0.672 1696
913.611 288.803 0.671 1712
913.651 288.882 0.672 1712
913.651 288.922 0.672 1728
913.691 288.962 0.673 1728
913.771 289.002 0.673 1728
913.811 289.081 0.672 1745
913.891 289.121 0.671 1745
913.932 289.161 0.671 1761
914.012 289.241 0.670 1761
914.092 289.281 0.671 1761
914.172 289.320 0.671 1777
914.252 289.360 0.671 1794
914.292 289.440 0.672 1794
914.372 289.480 0.672 1794
914.452 289.519 0.672 1810
914.492 289.559 0.672 1810
914.573 289.599 0.673 1810
914.653 289.679 0.673 1826
914.733 289.679 0.671 1842
914.813 289.718 0.669 1842
914.853 289.758 0.667 1842
914.933 289.758 0.669 1858
915.013 289.758 0.668 1875
915.094 289.798 0.670 1875
915.134 289.798 0.670 1875
915.214 289.838 0.670 1891
915.254 289.838 0.671 1891
915.334 289.878 0.672 1891
915.374 289.917 0.671 1907
915.454 289.957 0.673 1907
915.494 289.957 0.672 1923
915.574 289.997 0.672 1923
915.654 290.037 0.672 1940
915.694 290.077 0.673 1940
915.735 290.077 0.672 1956
915.815 290.116 0.672 1956
915.855 290.116 0.672 1956
915.935 290.156 0.671 1972
915.975 290.156 0.670 1972
916.015 290.156 0.669 1972
