% x_coordinate y_coordinate pressure time
% shape 0, 142 points
838.446 289.997 0.023 0
838.406 289.997 0.045 16
838.406 290.037 0.060 16
838.366 290.077 0.072 32
838.366 290.116 0.079 33
838.366 290.116 0.084 34
838.366 290.156 0.088 48
838.366 290.156 0.094 48
838.366 290.156 0.103 64
838.366 290.156 0.110 65
838.366 290.196 0.128 65
838.366 290.196 0.145 80
838.366 290.236 0.162 96
838.366 290.236 0.181 96
838.366 290.276 0.195 96
838.366 290.315 0.207 112
838.366 290.315 0.218 112
838.366 290.355 0.227 112
838.366 290.395 0.233 128
838.366 290.395 0.239 144
838.366 290.395 0.245 144
838.366 290.395 0.254 144
838.366 290.435 0.265 160
838.406 290.435 0.276 176
838.446 290.475 0.286 176
838.526 290.515 0.296 176
838.606 290.554 0.303 193
838.646 290.594 0.310 193
838.726 290.634 0.313 193
838.846 290.674 0.318 209
839.007 290.714 0.323 225
839.127 290.714 0.327 225
839.247 290.714 0.334 225
839.407 290.714 0.344 241
839.608 290.714 0.352 241
839.808 290.714 0.360 257
839.968 290.714 0.364 257
840.169 290.714 0.368 257
840.329 290.674 0.370 273
840.489 290.674 0.372 289
840.649 290.674 0.375 289
840.810 290.634 0.376 289
840.930 290.634 0.379 306
841.090 290.634 0.382 306
841.250 290.594 0.385 306
841.371 290.554 0.388 322
841.531 290.554 0.392 338
841.731 290.515 0.395 338
841.972 290.475 0.398 338
842.212 290.475 0.401 354
842.492 290.435 0.403 354
842.853 290.395 0.407 370
843.134 290.315 0.409 370
843.454 290.276 0.412 386
843.735 290.236 0.413 386
844.015 290.156 0.415 403
844.255 290.116 0.417 403
844.496 290.077 0.417 403
844.736 290.037 0.418 419
844.977 290.037 0.419 419
845.177 289.997 0.419 419
845.457 289.957 0.420 435
845.698 289.917 0.420 451
845.938 289.878 0.420 451
846.259 289.758 0.421 451
846.539 289.679 0.421 467
846.780 289.559 0.421 484
847.060 289.480 0.422 484
847.341 289.360 0.424 484
847.581 289.241 0.425 500
847.821 289.121 0.427 500
848.022 289.042 0.429 500
848.262 288.922 0.431 516
848.462 288.843 0.433 533
848.663 288.723 0.435 533
848.863 288.644 0.437 533
849.063 288.564 0.438 549
849.344 288.445 0.439 549
849.544 288.365 0.441 565
849.825 288.245 0.443 565
850.065 288.126 0.445 565
850.305 287.967 0.447 581
850.546 287.847 0.449 581
850.786 287.688 0.451 597
851.027 287.529 0.453 597
851.267 287.370 0.454 613
851.467 287.211 0.456 613
851.668 287.051 0.457 613
851.868 286.932 0.457 630
852.068 286.773 0.458 646
852.229 286.653 0.458 646
852.469 286.534 0.459 646
852.589 286.374 0.459 662
852.750 286.255 0.460 662
852.910 286.096 0.461 662
853.070 285.937 0.462 678
853.230 285.777 0.462 694
853.391 285.618 0.463 694
853.591 285.459 0.464 694
853.751 285.300 0.464 710
853.952 285.061 0.465 710
