% x_coordinate y_coordinate pressure time
% shape 0, 516 points
867.174 118.344 0.007 0
867.254 118.184 0.014 16
867.334 118.065 0.014 16
867.414 117.945 0.015 17
867.454 117.866 0.016 32
867.494 117.746 0.018 48
867.494 117.667 0.035 48
867.494 117.627 0.060 49
867.494 117.547 0.080 64
867.494 117.468 0.096 65
867.494 117.388 0.115 80
867.494 117.348 0.133 80
867.494 117.269 0.150 80
867.574 117.189 0.163 96
867.614 117.070 0.175 112
867.735 116.950 0.189 112
867.815 116.791 0.202 112
867.895 116.632 0.214 129
867.975 116.473 0.226 129
868.095 116.273 0.237 129
868.175 116.114 0.245 145
868.215 115.955 0.251 161
868.295 115.836 0.256 161
868.336 115.716 0.259 161
868.376 115.597 0.262 177
868.416 115.477 0.264 193
868.456 115.358 0.266 193
868.496 115.199 0.269 193
868.496 115.079 0.273 209
868.496 114.960 0.279 209
868.496 114.880 0.289 226
868.496 114.761 0.299 226
868.496 114.721 0.306 226
868.496 114.681 0.313 242
868.496 114.641 0.323 242
868.496 114.602 0.330 258
868.496 114.602 0.337 258
868.496 114.602 0.340 274
868.496 114.602 0.341 274
868.496 114.602 0.343 274
868.496 114.641 0.346 290
868.496 114.761 0.348 306
868.496 114.920 0.349 306
868.456 115.079 0.351 306
868.376 115.238 0.353 322
868.295 115.477 0.357 322
868.175 115.676 0.364 322
868.095 115.915 0.373 338
868.015 116.154 0.383 355
867.895 116.433 0.391 355
867.775 116.751 0.399 355
867.654 117.070 0.405 371
867.494 117.428 0.409 371
867.374 117.866 0.412 387
867.294 118.264 0.413 387
867.174 118.622 0.416 403
867.053 119.020 0.417 403
866.973 119.379 0.419 403
866.893 119.777 0.421 420
866.853 120.095 0.424 420
866.773 120.374 0.425 436
866.733 120.692 0.427 436
866.653 120.931 0.429 436
866.613 121.170 0.431 452
866.533 121.369 0.433 468
866.492 121.608 0.435 468
866.412 121.807 0.436 468
866.372 122.086 0.438 484
866.292 122.324 0.439 484
866.252 122.603 0.441 484
866.172 122.842 0.443 500
866.132 123.121 0.444 517
866.052 123.359 0.445 517
865.932 123.638 0.446 517
865.851 123.877 0.446 533
865.771 124.156 0.446 533
865.691 124.474 0.448 549
