% x_coordinate y_coordinate pressure time
% shape 0, 1033 points
439.781 289.957 0.022 0
439.701 289.957 0.047 16
439.661 289.997 0.058 16
439.621 290.037 0.067 17
439.581 290.077 0.074 32
439.541 290.116 0.080 48
439.541 290.196 0.084 49
439.501 290.236 0.088 50
439.501 290.315 0.094 64
439.461 290.355 0.106 64
439.461 290.395 0.122 80
439.421 290.395 0.144 80
439.381 290.435 0.160 96
439.341 290.515 0.171 96
439.301 290.554 0.179 112
439.301 290.594 0.185 112
439.301 290.634 0.187 112
439.301 290.714 0.186 128
439.301 290.753 0.186 128
439.301 290.833 0.183 128
439.301 290.913 0.184 144
439.301 290.992 0.184 160
439.301 291.032 0.185 160
439.381 291.112 0.186 160
439.421 291.112 0.187 176
439.501 291.151 0.204 193
439.541 291.151 0.236 193
439.581 291.151 0.253 193
439.621 291.151 0.267 209
439.661 291.151 0.279 209
439.661 291.151 0.292 209
439.741 291.151 0.304 225
439.821 291.151 0.314 241
439.861 291.151 0.326 241
439.982 291.151 0.337 241
440.102 291.112 0.352 257
440.222 290.992 0.365 257
440.382 290.913 0.375 273
440.503 290.793 0.385 273
440.663 290.714 0.393 273
440.783 290.634 0.401 289
440.903 290.554 0.406 289
441.063 290.515 0.408 305
441.224 290.475 0.409 305
441.384 290.475 0.410 321
441.584 290.435 0.411 321
441.825 290.355 0.411 321
442.065 290.276 0.411 337
442.346 290.196 0.411 354
442.666 290.037 0.411 354
442.947 289.917 0.412 354
443.227 289.718 0.412 370
443.548 289.559 0.412 370
443.788 289.400 0.413 370
444.068 289.201 0.413 386
444.269 289.042 0.414 402
444.509 288.882 0.415 402
444.750 288.763 0.416 402
444.990 288.604 0.417 418
445.230 288.524 0.417 434
445.471 288.405 0.417 434
445.711 288.285 0.417 434
445.992 288.166 0.417 450
446.232 288.007 0.417 450
446.513 287.847 0.418 450
446.793 287.648 0.418 466
447.073 287.370 0.418 483
447.354 287.131 0.419 483
447.594 286.892 0.418 483
447.835 286.693 0.419 499
448.035 286.494 0.419 499
448.275 286.295 0.420 515
448.476 286.136 0.421 515
448.676 285.976 0.421 515
448.876 285.857 0.421 531
449.117 285.738 0.422 548
449.357 285.578 0.422 548
449.638 285.419 0.422 548
449.918 285.220 0.422 564
450.199 284.941 0.422 564
450.479 284.703 0.422 564
450.800 284.424 0.423 580
451.080 284.185 0.423 596
451.361 283.906 0.422 596
451.561 283.668 0.423 596
451.801 283.469 0.425 612
452.002 283.269 0.430 612
452.202 283.070 0.435 628
452.442 282.871 0.438 628
452.643 282.633 0.440 644
452.883 282.433 0.440 644
453.124 282.234 0.440 645
453.364 281.996 0.441 661
453.644 281.757 0.441 661
453.925 281.478 0.441 678
454.205 281.239 0.441 678
454.486 281.000 0.441 694
454.806 280.722 0.441 694
455.047 280.363 0.441 710
455.367 280.045 0.442 710
455.648 279.766 0.442 710
455.928 279.448 0.443 726
456.169 279.129 0.443 726
456.449 278.851 0.444 726
456.730 278.612 0.444 742
457.010 278.373 0.444 758
457.290 278.055 0.444 758
457.571 277.816 0.444 758
457.851 277.537 0.444 775
458.212 277.258 0.445 791
458.573 276.940 0.445 791
458.933 276.621 0.445 791
459.294 276.263 0.445 807
459.654 275.865 0.445 807
460.015 275.467 0.445 807
460.416 275.109 0.445 823
460.776 274.711 0.445 823
461.177 274.352 0.445 839
461.578 274.034 0.445 839
461.938 273.676 0.445 855
462.299 273.317 0.446 855
462.619 272.999 0.445 872
462.980 272.641 0.446 872
463.301 272.322 0.446 872
463.661 271.964 0.446 888
464.062 271.606 0.446 888
464.462 271.208 0.446 888
464.823 270.849 0.446 904
465.224 270.451 0.446 920
465.584 270.093 0.446 920
