% x_coordinate y_coordinate pressure time
% shape 0, 989 points
981.327 116.355 0.073 0
981.327 116.315 0.088 0
981.247 116.275 0.125 16
981.207 116.235 0.143 17
981.167 116.235 0.158 32
981.127 116.195 0.166 32
981.087 116.195 0.172 33
981.047 116.195 0.175 49
981.007 116.195 0.176 49
980.927 116.195 0.178 65
980.886 116.275 0.181 65
980.806 116.434 0.184 81
980.726 116.713 0.186 81
980.646 117.031 0.180 81
980.606 117.310 0.172 97
980.446 117.628 0.172 114
980.245 117.987 0.172 114
979.965 118.265 0.173 114
979.684 118.544 0.175 130
979.404 118.863 0.175 130
979.083 119.141 0.175 146
978.843 119.420 0.176 146
978.603 119.659 0.177 162
978.362 119.937 0.179 162
978.202 120.176 0.180 162
978.002 120.415 0.182 178
977.841 120.654 0.184 178
977.681 120.893 0.185 194
977.481 121.171 0.191 194
977.240 121.450 0.196 194
977.000 121.768 0.199 211
976.679 122.087 0.202 227
976.399 122.405 0.205 227
976.078 122.804 0.207 227
975.798 123.162 0.209 243
975.518 123.560 0.210 243
975.277 123.878 0.210 243
975.037 124.157 0.211 259
974.876 124.476 0.212 276
974.716 124.714 0.214 276
974.556 124.993 0.217 276
974.356 125.232 0.223 292
974.235 125.471 0.226 308
974.115 125.749 0.231 308
973.995 125.988 0.235 308
973.875 126.227 0.237 324
973.755 126.466 0.240 324
973.634 126.705 0.242 324
973.514 126.983 0.244 340
973.354 127.262 0.245 340
973.194 127.541 0.246 356
973.033 127.859 0.246 356
972.873 128.138 0.248 356
972.753 128.417 0.249 372
972.633 128.695 0.251 389
972.553 128.974 0.255 389
972.472 129.253 0.258 389
972.392 129.531 0.261 405
972.312 129.770 0.264 405
972.272 130.088 0.266 405
972.192 130.327 0.269 421
972.152 130.566 0.272 438
972.072 130.845 0.275 438
971.992 131.084 0.276 438
971.911 131.362 0.276 454
971.831 131.641 0.277 470
971.751 131.920 0.277 470
971.671 132.198 0.278 470
971.631 132.517 0.278 486
971.551 132.795 0.278 486
971.511 133.034 0.278 486
971.471 133.313 0.279 503
971.431 133.512 0.279 519
971.391 133.751 0.279 519
971.271 133.950 0.280 519
971.271 134.189 0.285 535
971.311 134.388 0.292 535
971.311 134.666 0.298 551
