% x_coordinate y_coordinate pressure time
% shape 0, 195 points
1029.207 185.780 0.003 0
1029.167 185.780 0.029 0
1029.167 185.780 0.052 1
1029.127 185.780 0.067 16
1029.087 185.780 0.080 16
1029.047 185.780 0.092 32
1029.047 185.780 0.101 32
1029.007 185.780 0.112 48
1029.007 185.780 0.128 48
1029.007 185.780 0.143 48
1029.007 185.780 0.152 64
1029.007 185.780 0.157 80
1029.007 185.780 0.165 80
1029.047 185.780 0.177 80
1029.087 185.780 0.193 96
1029.127 185.780 0.208 96
1029.207 185.780 0.218 96
1029.247 185.780 0.225 112
1029.327 185.780 0.233 128
1029.407 185.780 0.240 128
1029.488 185.780 0.248 128
1029.608 185.780 0.256 145
1029.648 185.780 0.265 161
1029.728 185.780 0.275 161
1029.848 185.780 0.283 161
1029.928 185.780 0.294 177
1030.048 185.780 0.303 177
1030.169 185.780 0.310 193
1030.169 185.780 0.314 193
1030.329 185.780 0.318 193
1030.529 185.780 0.321 209
1030.689 185.780 0.324 209
1030.890 185.780 0.326 209
1031.130 185.780 0.326 226
1031.371 185.780 0.327 242
1031.611 185.780 0.330 242
1031.851 185.780 0.331 242
1032.132 185.780 0.332 258
1032.412 185.741 0.333 274
1032.693 185.701 0.334 274
1033.013 185.621 0.335 274
1033.334 185.542 0.340 290
1033.694 185.422 0.345 290
1034.015 185.263 0.349 290
1034.336 185.183 0.352 306
1034.656 185.064 0.353 323
1034.977 184.944 0.354 323
1035.257 184.865 0.355 323
1035.538 184.785 0.355 339
1035.778 184.666 0.356 339
1036.018 184.586 0.356 355
1036.259 184.467 0.356 355
1036.579 184.347 0.356 371
1036.780 184.228 0.356 371
1037.020 184.108 0.356 371
1037.260 183.989 0.357 387
1037.501 183.870 0.357 387
1037.701 183.710 0.357 404
1037.942 183.631 0.357 404
1038.142 183.511 0.357 404
1038.342 183.352 0.357 420
1038.542 183.233 0.357 436
1038.703 183.073 0.357 436
1038.863 182.994 0.358 436
1038.983 182.834 0.358 453
1039.144 182.715 0.358 453
1039.264 182.596 0.358 453
1039.424 182.516 0.358 469
1039.544 182.397 0.358 485
1039.664 182.277 0.359 485
1039.745 182.158 0.358 485
1039.865 182.038 0.358 501
1039.985 181.919 0.359 517
1040.105 181.799 0.358 517
1040.185 181.720 0.359 517
1040.306 181.600 0.359 534
1040.426 181.521 0.359 534
1040.506 181.401 0.359 534
1040.586 181.322 0.358 550
1040.706 181.242 0.358 550
1040.786 181.163 0.358 566
1040.906 181.043 0.359 566
1040.987 180.963 0.359 582
1041.107 180.844 0.359 582
1041.187 180.764 0.359 598
1041.267 180.605 0.359 598
1041.387 180.486 0.360 598
1041.467 180.406 0.361 615
1041.548 180.327 0.361 615
1041.668 180.207 0.362 615
1041.788 180.128 0.363 631
1041.868 180.088 0.363 647
1042.028 179.968 0.364 647
1042.149 179.889 0.364 647
1042.269 179.769 0.365 663
1042.389 179.690 0.365 679
1042.469 179.570 0.365 679
1042.589 179.451 0.365 679
1042.669 179.331 0.365 696
1042.750 179.212 0.365 696
1042.830 179.093 0.365 696
1042.910 178.973 0.366 712
1042.950 178.854 0.366 728
1043.030 178.734 0.366 728
1043.070 178.655 0.366 728
1043.150 178.535 0.367 744
1043.230 178.416 0.367 744
1043.270 178.257 0.367 761
