% x_coordinate y_coordinate pressure time
% shape 0, 1854 points
993.266 115.458 0.010 0
993.266 115.458 0.021 0
993.225 115.458 0.025 17
993.185 115.498 0.024 17
993.145 115.498 0.022 34
993.105 115.498 0.022 50
993.105 115.538 0.023 50
993.065 115.538 0.024 50
993.025 115.538 0.026 67
993.025 115.538 0.030 67
992.985 115.538 0.036 84
992.985 115.538 0.040 84
992.945 115.538 0.045 100
992.905 115.498 0.054 100
992.905 115.498 0.068 100
992.905 115.498 0.083 117
992.905 115.458 0.094 134
992.905 115.458 0.117 134
992.905 115.458 0.135 134
992.905 115.458 0.151 150
992.945 115.419 0.166 150
992.905 115.419 0.180 150
992.905 115.419 0.194 167
992.905 115.419 0.207 167
992.905 115.419 0.219 184
992.905 115.379 0.231 184
992.905 115.379 0.241 201
992.905 115.379 0.250 201
992.905 115.339 0.263 201
992.905 115.339 0.278 217
992.905 115.339 0.293 217
992.905 115.299 0.311 234
992.905 115.299 0.326 234
992.905 115.299 0.341 234
992.905 115.299 0.355 251
992.905 115.299 0.367 267
992.905 115.299 0.378 267
992.865 115.339 0.387 267
992.865 115.379 0.393 284
992.865 115.419 0.395 284
992.865 115.458 0.396 301
992.865 115.538 0.401 301
992.865 115.658 0.405 301
992.825 115.777 0.411 318
992.825 115.896 0.416 318
992.825 116.016 0.422 318
992.825 116.056 0.427 335
992.785 116.215 0.433 351
992.745 116.414 0.439 351
992.704 116.613 0.444 351
992.624 116.772 0.447 368
992.584 116.971 0.451 385
992.544 117.131 0.456 385
992.504 117.290 0.459 385
992.464 117.489 0.462 401
992.424 117.648 0.465 401
992.384 117.807 0.467 401
992.304 117.927 0.469 418
992.264 118.086 0.473 418
992.224 118.245 0.477 435
992.184 118.404 0.481 435
992.063 118.564 0.484 435
992.023 118.763 0.487 452
991.983 118.922 0.490 469
991.943 119.121 0.492 469
991.863 119.320 0.494 469
991.823 119.479 0.496 485
991.743 119.638 0.497 485
991.703 119.798 0.498 485
991.663 119.957 0.499 502
991.623 120.116 0.500 502
991.543 120.235 0.500 519
991.543 120.395 0.501 519
991.462 120.514 0.503 519
991.422 120.634 0.504 536
991.342 120.753 0.505 552
991.302 120.872 0.506 552
991.222 121.032 0.508 552
991.182 121.191 0.510 569
991.102 121.310 0.512 569
991.062 121.430 0.513 569
991.022 121.549 0.515 586
990.982 121.669 0.515 602
990.901 121.788 0.516 602
990.861 121.908 0.517 602
990.821 122.027 0.517 619
990.781 122.186 0.518 619
990.741 122.306 0.519 636
990.701 122.425 0.520 636
990.621 122.584 0.521 636
990.621 122.704 0.522 653
990.581 122.823 0.523 653
990.501 122.943 0.523 653
990.461 123.062 0.524 670
990.461 123.142 0.525 687
990.381 123.261 0.527 687
990.341 123.341 0.528 687
990.301 123.460 0.529 704
990.301 123.579 0.530 704
990.260 123.739 0.531 720
990.260 123.898 0.531 720
990.220 124.017 0.532 720
990.180 124.137 0.532 737
990.140 124.216 0.532 737
990.100 124.336 0.533 737
990.060 124.455 0.533 754
990.020 124.575 0.534 771
989.980 124.694 0.535 771
989.980 124.774 0.535 771
989.940 124.893 0.535 787
989.940 125.013 0.536 804
989.900 125.092 0.536 804
989.900 125.212 0.537 804
989.860 125.291 0.537 821
989.820 125.411 0.537 821
989.780 125.490 0.538 821
989.780 125.610 0.538 838
989.740 125.729 0.539 838
989.740 125.849 0.540 854
989.699 125.968 0.541 854
989.659 126.167 0.541 854
989.659 126.286 0.542 871
989.579 126.406 0.542 888
989.539 126.525 0.543 888
989.499 126.645 0.543 888
989.459 126.764 0.543 905
989.419 126.884 0.543 905
