% x_coordinate y_coordinate pressure time
% shape 0, 225 points
476.225 185.133 0.042 0
476.225 185.133 0.079 0
476.265 185.133 0.105 1
476.265 185.133 0.130 16
476.265 185.094 0.156 32
476.306 185.054 0.177 33
476.346 185.014 0.194 35
476.346 185.014 0.202 48
476.386 184.974 0.208 49
476.386 184.934 0.216 64
476.386 184.934 0.226 64
476.386 184.934 0.235 64
476.386 184.934 0.241 80
476.426 184.934 0.249 96
476.426 184.934 0.258 96
476.426 184.895 0.266 96
476.466 184.895 0.272 112
476.506 184.855 0.278 112
476.546 184.855 0.284 112
476.586 184.855 0.290 128
476.666 184.855 0.295 144
476.706 184.815 0.299 144
476.786 184.815 0.302 144
476.906 184.775 0.304 160
476.987 184.775 0.306 176
477.107 184.735 0.307 176
477.227 184.696 0.309 176
477.387 184.656 0.310 192
477.508 184.616 0.312 192
477.628 184.576 0.314 208
477.748 184.536 0.316 208
477.868 184.497 0.318 224
477.988 184.457 0.319 224
478.068 184.417 0.320 224
478.189 184.377 0.321 240
478.269 184.337 0.323 240
478.389 184.297 0.324 256
478.509 184.258 0.326 256
478.669 184.218 0.326 256
478.790 184.138 0.328 272
478.950 184.098 0.330 289
479.150 184.019 0.331 289
479.310 183.979 0.331 289
479.471 183.939 0.332 305
479.591 183.939 0.332 305
479.711 183.860 0.333 305
479.871 183.860 0.333 321
479.992 183.860 0.333 337
480.112 183.820 0.333 337
480.232 183.780 0.334 337
480.392 183.780 0.334 353
480.513 183.740 0.334 369
480.673 183.700 0.334 369
480.833 183.660 0.334 369
480.953 183.581 0.334 385
481.113 183.541 0.335 385
481.274 183.461 0.335 385
481.434 183.382 0.335 401
481.594 183.302 0.335 417
481.715 183.223 0.335 417
481.875 183.143 0.335 417
481.995 183.103 0.335 433
482.155 183.024 0.335 433
482.316 182.984 0.336 449
482.436 182.944 0.336 449
482.556 182.864 0.336 449
482.716 182.785 0.336 465
482.876 182.745 0.336 465
483.037 182.665 0.336 481
483.197 182.586 0.336 481
483.357 182.506 0.336 498
483.558 182.426 0.336 498
483.718 182.347 0.336 498
483.878 182.267 0.336 514
484.038 182.188 0.336 530
484.199 182.148 0.336 530
484.319 182.068 0.336 530
484.479 182.028 0.337 546
484.599 181.989 0.336 546
484.720 181.949 0.336 546
484.840 181.909 0.336 562
485.000 181.829 0.336 578
485.120 181.790 0.337 578
485.280 181.750 0.337 578
485.481 181.670 0.336 595
485.601 181.551 0.337 595
485.761 181.471 0.336 611
485.962 181.391 0.337 611
486.122 181.312 0.337 627
486.282 181.232 0.336 627
486.442 181.113 0.337 627
486.603 181.033 0.337 643
486.803 180.954 0.337 643
486.963 180.914 0.337 659
487.124 180.834 0.337 659
487.284 180.755 0.337 675
487.444 180.675 0.337 675
487.604 180.595 0.336 691
487.725 180.516 0.336 691
487.885 180.476 0.337 691
488.045 180.396 0.336 707
488.205 180.317 0.337 707
488.366 180.237 0.337 707
488.526 180.157 0.337 724
488.606 180.078 0.337 740
488.726 179.998 0.337 740
488.806 179.958 0.337 740
488.927 179.879 0.337 756
489.007 179.839 0.337 772
489.087 179.759 0.337 772
489.167 179.720 0.337 772
489.287 179.640 0.337 788
