% x_coordinate y_coordinate pressure time
% shape 0, 1145 points
842.536 220.573 0.140 0
842.336 220.573 0.178 16
842.095 220.613 0.205 16
841.855 220.652 0.230 16
841.534 220.732 0.242 32
841.254 220.851 0.260 32
840.933 221.011 0.271 48
840.613 221.170 0.278 48
840.252 221.329 0.284 64
839.891 221.528 0.293 64
839.531 221.727 0.305 81
839.170 221.966 0.314 81
838.850 222.205 0.323 81
838.449 222.444 0.331 97
838.169 222.643 0.340 97
837.848 222.802 0.352 97
837.568 223.001 0.361 113
837.327 223.160 0.367 129
837.047 223.320 0.371 129
836.806 223.479 0.376 129
836.566 223.638 0.379 145
836.285 223.837 0.384 161
836.005 223.996 0.385 161
835.725 224.235 0.389 161
835.404 224.514 0.392 177
835.083 224.753 0.392 177
834.803 224.992 0.394 194
834.523 225.270 0.395 194
834.282 225.509 0.395 210
834.002 225.708 0.396 210
833.801 225.907 0.397 210
833.601 226.066 0.397 226
833.441 226.265 0.402 226
833.281 226.425 0.404 242
833.080 226.624 0.407 242
832.920 226.823 0.412 242
832.679 227.062 0.417 258
832.479 227.261 0.420 274
832.279 227.499 0.426 274
832.038 227.738 0.427 274
831.838 228.017 0.430 290
831.598 228.335 0.431 290
831.317 228.614 0.432 290
831.077 228.972 0.433 307
830.796 229.331 0.434 323
830.516 229.649 0.433 323
830.195 229.928 0.435 323
829.955 230.246 0.437 339
829.755 230.485 0.439 355
829.514 230.724 0.444 355
829.354 230.923 0.449 355
829.154 231.122 0.455 371
828.993 231.281 0.463 371
828.833 231.520 0.467 371
828.673 231.719 0.471 388
828.472 231.958 0.473 388
828.272 232.157 0.473 405
828.072 232.396 0.475 405
827.871 232.635 0.476 421
827.671 232.874 0.476 421
827.431 233.152 0.478 437
827.270 233.391 0.480 437
827.110 233.590 0.481 437
826.990 233.869 0.484 453
826.870 234.068 0.486 453
826.790 234.267 0.487 453
826.669 234.426 0.489 469
826.589 234.585 0.489 486
826.469 234.745 0.490 486
826.389 234.904 0.492 486
826.309 235.103 0.492 502
826.189 235.262 0.493 518
826.109 235.421 0.495 518
825.988 235.581 0.496 518
825.908 235.740 0.498 534
825.788 235.899 0.500 534
825.708 236.098 0.500 534
825.628 236.257 0.502 550
825.508 236.417 0.502 566
825.427 236.576 0.502 566
825.347 236.695 0.504 566
825.267 236.854 0.503 583
825.187 236.974 0.503 583
825.147 237.093 0.505 599
825.067 237.173 0.504 599
825.027 237.292 0.505 615
824.987 237.412 0.505 615
824.947 237.531 0.505 615
824.906 237.651 0.506 631
824.866 237.730 0.508 631
824.826 237.889 0.507 647
824.826 238.009 0.509 647
824.786 238.128 0.510 647
824.746 238.248 0.510 664
824.746 238.407 0.510 680
