% x_coordinate y_coordinate pressure time
% shape 0, 632 points
700.619 395.172 0.045 0
700.699 395.172 0.093 0
700.740 395.132 0.129 0
700.820 395.132 0.165 16
700.900 395.053 0.198 16
700.980 395.013 0.232 33
701.100 394.933 0.261 33
701.220 394.854 0.285 49
701.341 394.814 0.304 49
701.501 394.734 0.319 49
701.661 394.694 0.328 65
701.821 394.615 0.335 65
702.022 394.535 0.340 81
702.222 394.456 0.346 81
702.462 394.336 0.352 97
702.783 394.296 0.360 97
703.104 394.097 0.367 97
703.504 393.859 0.370 113
703.945 393.580 0.374 129
704.426 393.261 0.376 129
704.947 392.983 0.378 129
705.467 392.664 0.379 146
705.988 392.425 0.379 146
706.549 392.186 0.380 146
706.990 391.987 0.380 162
707.391 391.828 0.380 178
707.751 391.629 0.380 178
708.112 391.470 0.380 178
708.472 391.311 0.380 194
708.833 391.032 0.380 210
709.154 390.793 0.381 210
709.554 390.554 0.381 210
709.955 390.276 0.381 226
710.315 390.037 0.382 226
710.676 389.798 0.382 226
710.957 389.599 0.382 242
711.277 389.440 0.382 242
711.598 389.280 0.382 259
711.878 389.161 0.382 259
712.199 389.042 0.382 275
712.479 388.882 0.382 275
712.880 388.723 0.382 291
713.200 388.564 0.382 291
713.561 388.365 0.382 291
713.962 388.206 0.382 307
714.362 387.967 0.383 307
714.803 387.768 0.384 323
715.204 387.529 0.386 323
715.644 387.330 0.389 339
716.085 387.091 0.393 339
716.526 386.852 0.399 339
716.886 386.613 0.404 355
717.287 386.414 0.412 371
717.648 386.215 0.418 371
718.048 386.056 0.424 371
718.449 385.897 0.429 387
718.770 385.738 0.433 387
719.170 385.618 0.437 387
719.571 385.459 0.441 404
719.932 385.300 0.444 420
720.292 385.140 0.447 420
720.613 384.981 0.451 420
720.973 384.782 0.457 436
721.334 384.583 0.461 436
721.694 384.424 0.467 452
722.015 384.225 0.473 452
722.336 384.026 0.479 468
722.696 383.787 0.485 468
722.977 383.588 0.490 484
723.297 383.389 0.496 484
723.578 383.190 0.500 484
723.858 382.991 0.505 500
724.139 382.792 0.510 500
724.419 382.593 0.514 500
724.700 382.394 0.516 516
724.980 382.234 0.519 532
725.260 382.035 0.521 532
725.541 381.876 0.522 532
725.781 381.717 0.523 549
726.062 381.518 0.524 565
726.302 381.398 0.524 565
726.583 381.239 0.525 565
726.823 381.120 0.526 581
727.104 380.961 0.527 581
727.384 380.801 0.528 597
727.624 380.602 0.530 597
