% x_coordinate y_coordinate pressure time
% shape 0, 1013 points

893.213 114.989 0.418 388.000 
893.213 115.149 0.421 404.000 
893.173 115.348 0.425 404.000 
893.133 115.507 0.427 404.000 
893.052 115.666 0.431 420.000 
893.012 115.825 0.436 420.000 
892.972 115.985 0.438 420.000 
892.932 116.184 0.441 436.000 
892.892 116.343 0.444 452.000 
892.812 116.502 0.445 452.000 
892.692 116.701 0.447 452.000 

892.735 116.761 0.385 291
892.654 116.881 0.388 291
892.574 117.080 0.391 307
892.454 117.239 0.392 307
892.374 117.398 0.394 323
892.254 117.597 0.396 323
892.174 117.756 0.398 340
892.094 117.916 0.401 340
892.013 118.115 0.403 340
891.933 118.274 0.405 356
891.853 118.473 0.408 356
891.773 118.672 0.411 372
891.733 118.831 0.413 372
891.693 119.030 0.416 372
891.613 119.189 0.418 388
891.613 119.349 0.421 404
891.573 119.548 0.425 404
891.533 119.707 0.427 404
891.452 119.866 0.431 420
891.412 120.025 0.436 420
891.372 120.185 0.438 420
891.332 120.384 0.441 436
891.292 120.543 0.444 452
891.212 120.702 0.445 452
891.092 120.901 0.447 452
891.052 121.060 0.449 468
890.972 121.220 0.450 485
890.932 121.379 0.452 485
890.811 121.538 0.453 485
890.771 121.697 0.456 501
890.731 121.817 0.457 501
890.651 122.016 0.458 501
890.571 122.175 0.461 517
890.491 122.334 0.463 533
890.451 122.494 0.464 533
890.371 122.653 0.466 533
890.291 122.812 0.466 549
890.210 122.971 0.467 549
890.170 123.170 0.468 565
890.130 123.290 0.468 565
890.090 123.449 0.468 581
890.050 123.568 0.469 581
890.050 123.688 0.469 581
890.010 123.807 0.469 598
890.010 123.927 0.469 598
889.970 124.046 0.469 614
889.970 124.165 0.469 614
889.930 124.285 0.470 614
889.930 124.365 0.470 630
889.890 124.484 0.470 647
889.810 124.643 0.470 647
889.770 124.723 0.470 647
889.730 124.842 0.470 663
889.690 124.962 0.470 663
889.649 125.081 0.471 663
889.609 125.201 0.471 679
889.569 125.320 0.471 695
889.529 125.479 0.471 695
889.489 125.599 0.473 695
889.449 125.718 0.473 714
889.449 125.837 0.473 714
889.409 125.957 0.473 714
889.369 126.076 0.473 730
889.329 126.156 0.474 730
889.249 126.275 0.474 747
889.209 126.355 0.474 747
889.169 126.435 0.475 763
889.129 126.554 0.475 763
889.129 126.634 0.476 779
889.088 126.713 0.478 779
889.048 126.793 0.478 779
889.008 126.912 0.479 795
888.968 126.992 0.480 795
888.928 127.072 0.480 795
888.888 127.191 0.481 811
888.848 127.271 0.481 827
888.848 127.390 0.481 827
888.808 127.509 0.482 827
888.768 127.629 0.482 844
888.728 127.708 0.482 860
888.688 127.828 0.482 860
888.688 127.947 0.483 860
888.648 128.027 0.483 876
888.608 128.107 0.483 876
888.608 128.226 0.483 876
888.568 128.306 0.483 892
888.528 128.425 0.484 908
888.487 128.505 0.483 908
888.447 128.584 0.483 908
888.407 128.664 0.484 924
888.407 128.743 0.484 924
888.407 128.823 0.484 940
888.367 128.903 0.484 940
888.367 128.982 0.484 940
