% x_coordinate y_coordinate pressure time
% shape 0, 875 points
524.886 395.928 0.066 0
524.927 395.889 0.110 0
524.967 395.849 0.140 16
525.047 395.809 0.166 16
525.127 395.729 0.192 33
525.207 395.690 0.207 33
525.287 395.610 0.219 49
525.367 395.530 0.231 49
525.447 395.491 0.241 49
525.528 395.451 0.253 65
525.568 395.451 0.268 65
525.648 395.451 0.280 65
525.728 395.451 0.290 81
525.848 395.411 0.300 98
526.008 395.371 0.310 98
526.249 395.292 0.317 98
526.489 395.212 0.322 114
526.850 394.933 0.326 130
527.290 394.615 0.331 130
527.731 394.217 0.334 130
528.212 393.739 0.337 146
528.693 393.261 0.341 146
529.214 392.784 0.344 146
529.694 392.226 0.348 163
530.215 391.709 0.354 179
530.656 391.271 0.358 179
531.097 390.833 0.361 179
531.538 390.395 0.364 195
531.978 389.957 0.366 195
532.379 389.599 0.368 211
532.820 389.201 0.369 211
533.301 388.763 0.370 211
533.741 388.365 0.370 227
534.262 387.887 0.371 227
534.783 387.370 0.372 244
535.304 386.852 0.375 244
535.945 386.335 0.376 260
536.506 385.777 0.379 260
537.107 385.220 0.382 260
537.628 384.703 0.383 276
538.189 384.265 0.385 292
538.710 383.787 0.387 292
539.230 383.389 0.387 292
539.671 382.991 0.388 308
540.112 382.633 0.388 308
540.513 382.274 0.389 308
540.873 381.956 0.389 325
541.274 381.637 0.391 341
541.674 381.279 0.394 341
542.115 380.921 0.397 341
542.516 380.443 0.401 357
542.997 380.005 0.404 357
543.437 379.488 0.406 374
543.918 378.930 0.408 374
544.439 378.373 0.409 390
545.000 377.736 0.410 390
545.521 377.179 0.411 390
546.042 376.621 0.412 406
546.523 376.104 0.413 406
546.963 375.547 0.413 422
547.444 375.109 0.415 422
547.885 374.631 0.415 422
548.285 374.193 0.416 438
548.686 373.715 0.417 454
549.127 373.238 0.418 454
549.568 372.760 0.419 454
550.048 372.243 0.420 470
550.569 371.725 0.420 470
551.090 371.128 0.421 470
551.571 370.610 0.421 487
552.052 370.053 0.421 503
552.533 369.536 0.422 503
552.933 369.018 0.422 503
553.374 368.501 0.422 519
553.735 368.023 0.423 519
554.055 367.545 0.424 535
554.416 367.068 0.427 535
554.736 366.630 0.431 552
555.097 366.152 0.435 552
555.457 365.714 0.437 568
555.898 365.316 0.439 568
556.299 364.878 0.440 568
556.700 364.440 0.442 584
557.100 363.923 0.444 584
557.541 363.485 0.445 584
557.942 363.007 0.446 600
558.422 362.490 0.446 617
558.903 362.012 0.447 617
559.344 361.454 0.448 617
559.825 360.937 0.448 633
560.305 360.459 0.449 649
560.706 359.982 0.453 649
561.147 359.504 0.456 649
561.548 359.026 0.458 665
561.908 358.628 0.464 665
562.229 358.190 0.469 665
562.589 357.792 0.473 682
562.910 357.314 0.477 698
563.270 356.837 0.479 698
563.671 356.319 0.481 698
564.112 355.841 0.483 714
564.513 355.284 0.484 714
564.913 354.767 0.486 731
565.354 354.170 0.488 731
565.755 353.612 0.491 731
566.195 353.095 0.493 747
566.676 352.577 0.494 747
567.077 352.020 0.496 747
567.437 351.542 0.497 763
