% x_coordinate y_coordinate pressure time
% shape 0, 1423 points
1190.952 220.940 0.071 0
1190.952 220.940 0.108 0
1190.912 220.940 0.140 16
1190.912 220.940 0.167 16
1190.831 220.979 0.190 33
1190.791 221.019 0.205 33
1190.711 221.019 0.223 33
1190.671 221.099 0.239 49
1190.551 221.139 0.259 49
1190.471 221.218 0.277 65
1190.351 221.298 0.295 65
1190.351 221.417 0.310 65
1190.190 221.497 0.323 81
1190.030 221.616 0.333 97
1189.870 221.736 0.345 97
1189.750 221.736 0.354 97
1189.589 221.895 0.361 113
1189.429 222.054 0.367 130
1189.229 222.253 0.370 130
1189.068 222.492 0.374 130
1188.908 222.731 0.379 146
1188.708 223.010 0.383 146
1188.508 223.288 0.386 146
1188.347 223.567 0.390 162
1188.187 223.846 0.392 162
1187.987 224.164 0.394 178
1187.826 224.443 0.396 178
1187.706 224.721 0.396 194
1187.546 225.000 0.397 194
1187.426 225.279 0.399 210
1187.306 225.597 0.399 210
1187.225 225.836 0.400 210
1187.065 226.115 0.401 226
1186.945 226.353 0.401 226
1186.825 226.592 0.403 243
1186.704 226.831 0.405 243
1186.584 227.070 0.407 259
1186.424 227.309 0.409 259
1186.304 227.548 0.411 259
1186.184 227.866 0.411 275
1186.063 228.105 0.413 291
1185.983 228.384 0.413 291
1185.863 228.623 0.415 291
1185.823 228.861 0.418 308
1185.703 229.100 0.419 308
1185.623 229.339 0.420 308
1185.583 229.578 0.422 324
1185.503 229.817 0.422 340
1185.462 230.056 0.424 340
1185.382 230.334 0.426 340
1185.342 230.573 0.427 356
1185.262 230.812 0.428 356
1185.222 231.051 0.429 372
1185.182 231.290 0.430 372
1185.142 231.568 0.431 389
1185.102 231.847 0.431 389
1185.022 232.126 0.431 389
1185.022 232.444 0.434 405
1184.942 232.763 0.434 405
1184.942 233.041 0.433 421
1184.901 233.320 0.435 421
1184.861 233.559 0.434 437
1184.741 233.837 0.434 437
1184.701 234.076 0.435 454
1184.701 234.315 0.435 454
1184.661 234.554 0.436 454
1184.621 234.793 0.437 470
1184.621 235.032 0.438 470
1184.581 235.310 0.441 470
