% x_coordinate y_coordinate pressure time
% shape 0, 157 points
1249.170 185.142 0.030 0
1249.170 185.142 0.064 0
1249.210 185.142 0.093 16
1249.210 185.182 0.129 32
1249.210 185.182 0.165 32
1249.210 185.182 0.191 33
1249.250 185.182 0.207 48
1249.250 185.222 0.220 48
1249.250 185.222 0.231 49
1249.290 185.222 0.238 64
1249.331 185.222 0.239 80
1249.371 185.301 0.241 80
1249.411 185.341 0.242 80
1249.491 185.381 0.243 96
1249.571 185.421 0.244 96
1249.611 185.460 0.246 112
1249.651 185.540 0.248 112
1249.731 185.540 0.251 128
1249.811 185.580 0.257 128
1249.932 185.620 0.265 128
1249.932 185.620 0.276 144
1250.092 185.620 0.285 144
1250.292 185.620 0.292 161
1250.533 185.659 0.295 161
1250.773 185.659 0.298 161
1251.013 185.659 0.299 177
1251.214 185.659 0.300 193
1251.454 185.659 0.302 193
1251.654 185.659 0.304 193
1251.855 185.659 0.308 209
1252.055 185.659 0.315 209
1252.255 185.580 0.325 209
1252.456 185.500 0.332 225
1252.656 185.460 0.340 241
1252.856 185.381 0.345 241
1253.097 185.261 0.349 241
1253.337 185.182 0.353 257
1253.578 185.062 0.357 273
1253.858 184.983 0.361 273
1254.099 184.863 0.365 273
1254.299 184.784 0.369 289
1254.539 184.704 0.370 289
1254.740 184.624 0.371 289
1254.980 184.545 0.371 306
1255.180 184.505 0.372 322
1255.421 184.425 0.372 322
1255.621 184.346 0.373 322
1255.861 184.266 0.373 338
1256.102 184.186 0.374 338
1256.382 184.067 0.376 354
1256.623 183.948 0.378 354
1256.903 183.788 0.380 355
1257.264 183.669 0.382 370
1257.544 183.550 0.384 386
1257.865 183.390 0.384 386
1258.185 183.271 0.385 387
1258.506 183.072 0.385 402
1258.786 182.952 0.385 402
1259.107 182.793 0.386 403
1259.427 182.634 0.386 418
1259.748 182.515 0.386 434
1260.068 182.355 0.386 434
1260.429 182.196 0.386 435
1260.750 182.037 0.387 450
1261.030 181.878 0.388 466
1261.351 181.679 0.389 466
1261.631 181.519 0.393 466
1261.871 181.400 0.397 482
1262.112 181.280 0.400 482
1262.352 181.161 0.402 482
1262.593 181.081 0.403 498
1262.793 180.962 0.404 514
1263.033 180.803 0.405 514
1263.314 180.683 0.405 514
1263.554 180.564 0.406 530
1263.795 180.405 0.407 530
1264.075 180.206 0.407 546
1264.396 180.046 0.408 546
1264.676 179.847 0.408 546
1264.997 179.648 0.409 562
1265.237 179.449 0.410 578
1265.518 179.290 0.411 578
1265.758 179.171 0.411 578
1265.918 179.051 0.412 594
1266.159 178.932 0.412 594
1266.319 178.852 0.412 611
1266.479 178.773 0.412 611
1266.639 178.693 0.412 611
1266.800 178.534 0.413 627
1267.000 178.454 0.413 627
1267.160 178.335 0.413 643
1267.320 178.215 0.413 643
1267.521 178.056 0.413 660
1267.681 177.937 0.413 660
1267.881 177.817 0.413 661
1268.042 177.698 0.414 676
1268.202 177.618 0.414 692
1268.322 177.499 0.414 692
1268.443 177.419 0.414 693
1268.603 177.300 0.414 708
1268.723 177.180 0.415 708
1268.843 177.061 0.415 709
1268.963 176.941 0.415 724
1269.164 176.822 0.416 740
1269.284 176.703 0.417 740
1269.364 176.583 0.420 741
1269.524 176.464 0.421 756
1269.644 176.344 0.423 756
1269.724 176.265 0.425 772
1269.845 176.145 0.425 772
1269.965 176.026 0.425 773
1270.085 175.946 0.425 788
1270.205 175.827 0.425 804
1270.286 175.747 0.425 804
1270.406 175.628 0.426 805
1270.486 175.508 0.426 820
1270.606 175.429 0.426 836
1270.726 175.309 0.426 836
1270.806 175.190 0.426 836
1270.927 175.070 0.426 852
1271.047 174.951 0.426 852
1271.167 174.792 0.426 852
1271.287 174.672 0.426 868
1271.407 174.553 0.426 884
1271.528 174.394 0.427 884
1271.688 174.234 0.427 884
1271.848 174.075 0.427 900
1271.928 173.876 0.427 900
1272.088 173.717 0.427 916
1272.209 173.558 0.427 916
1272.329 173.398 0.428 932
1272.449 173.239 0.428 932
1272.569 173.120 0.428 932
1272.689 172.961 0.429 949
1272.810 172.841 0.429 949
1272.930 172.682 0.429 965
1273.050 172.562 0.430 965
1273.130 172.443 0.430 965
