% x_coordinate y_coordinate pressure time
% shape 0, 2161 points
990.222 332.076 0.041 0
990.302 332.156 0.120 17
990.342 332.195 0.149 17
990.382 332.195 0.174 17
990.422 332.156 0.199 33
990.422 332.156 0.225 49
990.422 332.156 0.245 49
990.422 332.156 0.266 49
990.422 332.116 0.288 65
990.462 332.076 0.314 81
990.462 332.036 0.339 81
990.503 331.996 0.358 81
990.503 331.917 0.370 97
990.543 331.797 0.382 97
990.583 331.757 0.393 97
990.663 331.519 0.405 113
990.743 331.320 0.416 113
990.823 331.081 0.428 129
990.943 330.842 0.439 129
991.063 330.603 0.448 145
991.184 330.364 0.457 145
991.184 330.125 0.464 161
991.304 329.886 0.471 161
991.504 329.648 0.478 161
991.624 329.409 0.484 177
991.785 329.130 0.491 194
991.985 328.891 0.497 194
992.145 328.652 0.501 194
992.346 328.453 0.505 210
992.546 328.254 0.509 210
992.706 328.095 0.512 210
992.906 327.936 0.515 226
993.027 327.816 0.518 242
993.147 327.697 0.520 242
993.267 327.617 0.522 242
993.387 327.538 0.523 258
993.508 327.458 0.523 258
993.628 327.379 0.525 274
993.788 327.299 0.524 274
993.948 327.219 0.525 274
994.109 327.100 0.526 291
994.309 326.941 0.526 291
994.549 326.821 0.528 307
994.750 326.742 0.529 307
994.950 326.622 0.531 323
995.190 326.503 0.532 323
995.431 326.423 0.533 323
995.671 326.383 0.534 339
995.871 326.304 0.534 355
996.072 326.264 0.535 355
996.272 326.224 0.535 355
996.472 326.184 0.535 371
996.633 326.145 0.535 371
996.833 326.105 0.535 371
996.993 326.105 0.536 387
997.194 326.065 0.536 404
997.354 325.985 0.537 404
997.514 325.945 0.537 404
997.714 325.945 0.537 420
997.875 325.906 0.538 436
997.995 325.866 0.539 436
998.115 325.866 0.540 436
998.195 325.746 0.541 452
998.275 325.746 0.542 452
998.396 325.746 0.543 468
998.476 325.786 0.543 468
998.596 325.866 0.543 468
998.676 325.945 0.543 484
998.796 326.065 0.543 484
998.917 326.184 0.544 484
999.037 326.304 0.544 500
999.157 326.304 0.545 517
999.277 326.423 0.544 517
999.357 326.543 0.545 517
999.477 326.662 0.545 533
999.598 326.781 0.545 549
999.678 326.861 0.545 549
999.798 327.020 0.546 549
999.878 327.140 0.546 565
999.958 327.219 0.546 565
1000.038 327.339 0.547 565
1000.119 327.418 0.547 581
1000.199 327.538 0.547 581
1000.279 327.617 0.547 597
1000.399 327.697 0.547 597
1000.479 327.777 0.547 613
1000.599 327.856 0.548 613
1000.720 327.896 0.550 630
1000.800 327.936 0.552 630
1000.920 327.976 0.554 630
1001.000 328.015 0.556 646
1001.120 328.055 0.558 662
1001.200 328.135 0.561 662
1001.280 328.175 0.563 662
1001.401 328.254 0.566 678
1001.521 328.334 0.567 678
1001.641 328.453 0.570 678
1001.761 328.533 0.571 694
1001.881 328.613 0.571 710
1002.002 328.732 0.572 710
1002.122 328.851 0.572 710
1002.282 328.931 0.572 727
1002.402 329.011 0.573 727
1002.523 329.130 0.573 743
1002.683 329.210 0.574 743
1002.803 329.329 0.574 759
1002.923 329.409 0.575 759
1003.083 329.528 0.574 759
1003.164 329.608 0.575 775
1003.324 329.648 0.575 775
1003.444 329.727 0.575 791
1003.564 329.807 0.575 791
1003.725 329.847 0.576 791
1003.885 329.886 0.575 807
1004.005 329.926 0.576 823
1004.165 329.966 0.576 823
1004.326 330.006 0.576 823
1004.486 330.006 0.577 839
1004.646 330.046 0.578 839
1004.846 330.086 0.579 839
1005.047 330.125 0.579 855
1005.247 330.125 0.581 871
1005.447 330.205 0.580 871
1005.648 330.245 0.580 871
1005.808 330.285 0.581 888
1006.008 330.364 0.581 904
1006.249 330.404 0.581 904
1006.449 330.444 0.581 904
1006.649 330.444 0.581 920
