% x_coordinate y_coordinate pressure time
% shape 0, 1421 points
763.324 291.073 0.047 0
763.364 291.073 0.070 0
763.444 291.073 0.091 0
763.484 291.073 0.125 16
763.564 291.034 0.158 32
763.684 290.994 0.181 32
763.765 290.954 0.199 32
763.805 290.914 0.213 48
763.885 290.874 0.225 48
763.965 290.835 0.237 48
764.005 290.835 0.246 64
764.085 290.835 0.258 80
764.125 290.795 0.270 80
764.205 290.755 0.283 80
764.286 290.675 0.293 96
764.406 290.596 0.303 96
764.526 290.436 0.312 113
764.686 290.277 0.322 113
764.846 290.078 0.331 129
765.047 289.879 0.338 129
765.287 289.600 0.345 129
765.487 289.401 0.349 145
765.688 289.163 0.352 145
765.928 288.964 0.354 161
766.088 288.764 0.356 161
766.289 288.565 0.358 161
766.489 288.366 0.360 177
766.730 288.167 0.361 193
766.930 287.968 0.361 193
767.170 287.769 0.361 193
767.371 287.530 0.362 209
767.611 287.252 0.362 226
767.811 287.013 0.362 226
768.012 286.774 0.363 226
768.212 286.535 0.363 242
768.372 286.296 0.363 242
768.573 286.057 0.363 242
768.773 285.819 0.364 258
768.973 285.620 0.364 274
769.174 285.421 0.364 274
769.334 285.221 0.364 274
769.534 285.062 0.364 291
769.694 284.863 0.365 291
769.895 284.704 0.365 307
770.095 284.505 0.366 307
770.295 284.306 0.367 307
770.536 284.067 0.367 323
770.816 283.828 0.367 323
771.097 283.510 0.368 323
771.417 283.191 0.367 339
771.738 282.873 0.368 355
772.058 282.515 0.368 355
772.299 282.196 0.368 355
772.579 281.917 0.368 372
772.820 281.718 0.368 388
773.060 281.519 0.368 388
773.220 281.360 0.369 388
773.381 281.241 0.369 404
773.581 281.121 0.369 404
773.741 280.962 0.370 404
773.861 280.843 0.370 420
774.022 280.723 0.370 436
774.262 280.564 0.370 436
774.462 280.365 0.370 436
774.703 280.126 0.370 452
774.943 279.927 0.370 452
775.184 279.648 0.370 468
775.464 279.410 0.370 468
775.745 279.131 0.371 468
776.025 278.892 0.370 485
776.265 278.613 0.371 501
776.506 278.374 0.371 501
776.746 278.136 0.371 501
776.987 277.857 0.371 517
777.227 277.658 0.372 517
777.427 277.459 0.372 517
777.588 277.339 0.374 533
777.788 277.180 0.374 549
777.988 277.061 0.375 549
778.189 276.902 0.375 549
778.389 276.742 0.375 565
778.629 276.543 0.376 565
778.870 276.305 0.376 581
779.150 276.066 0.377 581
779.431 275.747 0.377 581
779.751 275.429 0.377 598
780.112 275.110 0.377 614
780.392 274.792 0.378 614
780.713 274.473 0.378 614
780.993 274.234 0.378 630
781.274 273.956 0.379 630
781.474 273.757 0.379 630
781.714 273.558 0.380 646
781.915 273.398 0.382 662
782.075 273.199 0.382 662
782.316 273.000 0.382 662
782.516 272.801 0.383 679
782.796 272.563 0.383 679
783.037 272.324 0.383 695
783.277 272.005 0.384 695
783.558 271.687 0.384 695
783.838 271.328 0.384 711
784.159 270.891 0.385 727
784.439 270.532 0.387 727
784.720 270.214 0.390 727
784.960 269.935 0.393 743
785.240 269.656 0.395 743
785.481 269.457 0.397 743
785.641 269.298 0.399 760
785.841 269.099 0.399 776
785.962 268.940 0.400 776
786.122 268.781 0.401 776
786.282 268.582 0.402 792
786.402 268.383 0.404 808
786.603 268.223 0.405 808
786.763 268.024 0.409 808
786.923 267.785 0.411 824
787.124 267.547 0.413 824
787.324 267.308 0.415 824
787.524 267.069 0.417 841
787.725 266.790 0.418 841
787.965 266.551 0.420 857
788.165 266.352 0.422 857
788.366 266.074 0.424 873
788.526 265.875 0.426 873
788.726 265.676 0.428 889
788.886 265.477 0.430 889
789.087 265.238 0.433 889
789.287 265.039 0.436 905
789.447 264.800 0.438 905
789.648 264.561 0.441 905
789.848 264.282 0.445 922
790.008 264.043 0.450 938
790.249 263.765 0.455 938
790.449 263.486 0.458 938
790.730 263.208 0.462 954
790.970 262.929 0.466 970
791.210 262.690 0.469 970
791.451 262.411 0.470 970
791.651 262.212 0.472 986
791.851 262.013 0.473 986
792.052 261.854 0.474 986
792.212 261.695 0.474 1003
792.372 261.496 0.474 1019
792.573 261.297 0.475 1019
792.733 261.098 0.475 1019
792.973 260.859 0.475 1035
793.254 260.620 0.476 1035
793.534 260.301 0.477 1051
793.815 259.983 0.479 1051
794.135 259.665 0.481 1051
794.456 259.267 0.482 1067
794.736 258.988 0.485 1067
795.017 258.709 0.486 1083
795.257 258.470 0.487 1083
795.457 258.271 0.489 1099
795.658 258.072 0.489 1099
795.818 257.913 0.490 1099
796.018 257.754 0.492 1116
796.219 257.555 0.493 1132
