% x_coordinate y_coordinate pressure time
% shape 0, 1080 points
527.167 228.772 0.072 0
527.167 228.772 0.101 0
527.127 228.772 0.126 16
527.127 228.772 0.150 17
527.087 228.772 0.174 17
527.087 228.732 0.195 32
527.087 228.692 0.208 48
527.087 228.652 0.219 48
527.087 228.613 0.230 49
527.087 228.533 0.238 64
527.087 228.493 0.243 64
527.087 228.414 0.249 80
527.087 228.334 0.257 80
527.087 228.215 0.266 80
527.087 228.095 0.277 97
527.167 227.936 0.286 113
527.207 227.777 0.296 113
527.287 227.617 0.305 113
527.327 227.498 0.313 129
527.407 227.299 0.320 129
527.447 227.140 0.326 129
527.487 226.980 0.331 145
527.568 226.861 0.336 161
527.608 226.702 0.342 161
527.648 226.582 0.347 161
527.728 226.423 0.352 177
527.768 226.304 0.355 194
527.808 226.145 0.358 194
527.848 226.025 0.361 195
527.888 225.866 0.363 210
527.968 225.707 0.365 210
528.008 225.587 0.369 211
528.088 225.428 0.371 226
528.169 225.309 0.374 226
528.289 225.149 0.376 242
528.369 224.990 0.378 242
528.489 224.871 0.380 258
528.609 224.751 0.380 258
528.730 224.672 0.381 274
528.850 224.552 0.380 274
528.930 224.473 0.382 274
529.010 224.393 0.382 290
529.130 224.313 0.383 290
529.250 224.194 0.384 306
529.331 224.114 0.386 306
529.411 224.035 0.387 322
529.531 223.955 0.389 322
529.651 223.836 0.389 322
529.771 223.756 0.391 338
529.891 223.676 0.392 354
530.012 223.597 0.392 354
530.132 223.517 0.392 354
530.252 223.438 0.393 370
530.412 223.358 0.393 370
530.573 223.278 0.393 370
530.733 223.199 0.393 387
530.893 223.079 0.393 403
531.013 222.960 0.393 403
531.134 222.840 0.393 403
531.254 222.761 0.394 419
531.374 222.681 0.395 419
531.494 222.602 0.395 435
531.614 222.522 0.396 435
531.735 222.482 0.396 451
531.855 222.402 0.398 451
531.975 222.323 0.399 467
532.055 222.243 0.399 467
532.215 222.164 0.400 467
532.336 222.084 0.400 483
532.416 222.004 0.399 483
532.576 221.925 0.400 483
532.696 221.845 0.400 499
532.816 221.766 0.400 515
532.937 221.726 0.401 515
533.057 221.646 0.400 515
533.137 221.567 0.401 531
533.257 221.487 0.402 547
533.337 221.407 0.403 547
533.417 221.328 0.405 547
533.497 221.248 0.407 563
533.538 221.208 0.408 563
533.618 221.168 0.408 580
533.698 221.129 0.409 580
533.778 221.129 0.409 596
533.898 221.089 0.409 596
533.978 221.089 0.409 596
534.058 221.049 0.409 612
534.179 221.009 0.409 612
534.259 221.009 0.409 628
534.339 221.009 0.409 628
534.419 220.969 0.409 628
534.459 220.969 0.409 644
534.539 220.930 0.409 660
534.659 220.930 0.409 660
534.699 220.890 0.410 660
534.780 220.890 0.410 676
534.860 220.890 0.410 676
534.980 220.890 0.410 676
535.060 220.890 0.411 692
535.140 220.890 0.412 708
535.260 220.890 0.412 708
535.421 220.890 0.413 708
535.541 220.890 0.413 725
535.661 220.890 0.415 741
535.821 220.890 0.416 741
535.982 220.890 0.417 741
536.102 220.890 0.417 757
536.262 220.890 0.418 757
536.382 220.890 0.419 757
536.543 220.890 0.419 773
536.703 220.890 0.421 773
536.823 220.890 0.423 789
536.983 220.890 0.426 789
537.103 220.890 0.430 805
537.184 220.890 0.434 805
537.304 220.890 0.436 821
537.424 220.890 0.439 821
537.504 220.890 0.440 821
537.624 220.890 0.441 837
537.745 220.890 0.442 853
537.865 220.890 0.443 853
537.945 220.930 0.443 853
538.065 220.969 0.443 869
538.185 221.009 0.444 869
538.306 221.049 0.444 869
538.426 221.049 0.444 885
538.546 221.089 0.445 901
538.666 221.089 0.446 901
538.826 221.129 0.448 901
538.987 221.129 0.451 917
539.107 221.168 0.455 933
539.227 221.168 0.456 933
539.347 221.208 0.457 933
539.467 221.248 0.458 950
539.628 221.248 0.459 950
539.748 221.288 0.460 950
539.828 221.328 0.460 966
539.948 221.367 0.460 966
540.028 221.407 0.461 982
540.149 221.407 0.462 982
540.229 221.447 0.462 998
540.309 221.487 0.464 998
540.389 221.527 0.464 1014
540.469 221.567 0.465 1014
540.589 221.606 0.466 1014
540.669 221.646 0.467 1030
540.750 221.686 0.468 1030
540.870 221.726 0.468 1046
540.950 221.766 0.469 1046
541.070 221.766 0.471 1062
541.150 221.805 0.472 1062
541.270 221.845 0.474 1062
541.391 221.885 0.475 1078
541.511 221.925 0.476 1094
541.591 222.004 0.476 1094
541.711 222.044 0.477 1094
541.831 222.084 0.478 1111
541.952 222.124 0.478 1127
542.032 222.203 0.478 1127
542.152 222.203 0.478 1127
542.272 222.243 0.479 1143
542.392 222.283 0.479 1143
542.472 222.283 0.480 1143
542.553 222.323 0.481 1159
542.633 222.323 0.482 1159
542.793 222.363 0.483 1175
542.913 222.363 0.485 1175
542.993 222.402 0.486 1191
543.114 222.442 0.487 1191
543.234 222.442 0.489 1207
543.354 222.482 0.490 1207
543.434 222.522 0.491 1207
543.554 222.562 0.492 1223
543.674 222.562 0.492 1223
543.755 222.602 0.492 1239
543.875 222.602 0.492 1239
543.995 222.641 0.493 1255
544.115 222.641 0.493 1255
544.235 222.681 0.493 1255
544.356 222.681 0.493 1271
544.436 222.681 0.494 1287
544.556 222.761 0.494 1287
544.676 222.761 0.494 1287
544.756 222.801 0.495 1303
544.836 222.840 0.496 1303
544.957 222.840 0.496 1303
545.077 222.880 0.497 1319
545.157 222.920 0.497 1335
545.277 222.960 0.498 1335
545.437 223.000 0.498 1335
545.558 223.039 0.498 1352
545.678 223.039 0.499 1368
545.798 223.079 0.499 1368
545.918 223.119 0.499 1368
546.078 223.159 0.499 1384
546.199 223.199 0.500 1384
546.319 223.238 0.499 1400
546.439 223.278 0.499 1400
546.599 223.318 0.500 1400
546.720 223.358 0.500 1416
546.840 223.438 0.500 1416
546.960 223.477 0.500 1416
547.080 223.517 0.500 1432
547.200 223.597 0.500 1448
547.321 223.637 0.500 1448
547.441 223.676 0.500 1448
547.561 223.716 0.500 1464
547.681 223.756 0.500 1481
547.801 223.756 0.500 1481
547.922 223.796 0.500 1481
548.042 223.836 0.500 1498
548.162 223.836 0.500 1498
548.322 223.875 0.500 1498
548.402 223.875 0.500 1514
548.523 223.875 0.500 1530
548.643 223.875 0.500 1530
548.763 223.915 0.500 1531
548.883 223.915 0.501 1546
548.963 223.915 0.500 1546
549.083 223.955 0.501 1547
549.164 223.955 0.501 1562
549.284 223.995 0.500 1578
549.404 223.995 0.501 1578
549.484 224.035 0.501 1579
549.604 224.035 0.501 1594
549.725 224.074 0.501 1594
549.845 224.074 0.501 1610
549.925 224.074 0.501 1610
550.005 224.074 0.501 1626
550.125 224.074 0.501 1626
550.285 224.074 0.502 1627
550.366 224.074 0.502 1642
550.486 224.074 0.502 1642
550.566 224.074 0.502 1658
550.686 224.074 0.503 1658
550.766 224.074 0.503 1674
550.886 224.074 0.503 1674
551.007 224.074 0.503 1690
551.127 224.074 0.503 1690
551.207 224.074 0.503 1690
551.327 224.074 0.504 1707
551.447 224.074 0.504 1723
551.568 224.074 0.504 1723
