% x_coordinate y_coordinate pressure time
% shape 0, 216 points
927.514 185.659 0.017 0
927.514 185.659 0.053 0
927.514 185.659 0.074 1
927.514 185.659 0.094 16
927.514 185.659 0.116 17
927.514 185.659 0.131 32
927.514 185.659 0.139 33
927.514 185.659 0.146 33
927.514 185.659 0.152 48
927.514 185.659 0.160 64
927.514 185.659 0.168 64
927.514 185.659 0.175 64
927.594 185.659 0.181 80
927.674 185.659 0.188 96
927.755 185.659 0.195 96
927.875 185.659 0.202 96
927.995 185.659 0.208 113
928.115 185.659 0.213 113
928.235 185.659 0.217 113
928.316 185.659 0.219 129
928.436 185.659 0.220 129
928.596 185.659 0.220 145
928.716 185.659 0.220 145
928.836 185.659 0.220 145
928.957 185.659 0.220 161
929.117 185.659 0.221 177
929.277 185.659 0.222 177
929.477 185.580 0.223 177
929.678 185.500 0.225 193
929.838 185.421 0.226 209
930.038 185.381 0.227 209
930.239 185.341 0.227 209
930.399 185.301 0.229 225
930.519 185.301 0.229 225
930.639 185.301 0.229 226
930.760 185.301 0.229 241
930.880 185.301 0.229 257
931.000 185.301 0.229 257
931.120 185.301 0.229 257
931.240 185.261 0.229 273
931.361 185.182 0.229 273
931.561 185.102 0.230 289
931.721 185.022 0.229 289
931.881 184.943 0.230 305
932.082 184.863 0.229 305
932.242 184.784 0.229 322
932.402 184.744 0.230 322
932.482 184.664 0.229 322
932.603 184.664 0.230 338
932.683 184.624 0.230 338
932.803 184.585 0.230 338
932.923 184.545 0.230 354
933.003 184.505 0.230 370
933.164 184.465 0.230 370
933.324 184.346 0.230 371
933.564 184.266 0.230 386
933.765 184.147 0.229 402
934.005 183.987 0.230 402
934.245 183.828 0.230 403
934.526 183.669 0.230 418
934.766 183.510 0.230 418
935.007 183.351 0.230 419
935.167 183.231 0.231 434
935.367 183.112 0.231 450
935.528 183.032 0.231 450
935.688 182.952 0.231 451
935.808 182.913 0.231 466
935.968 182.873 0.231 466
936.129 182.793 0.232 482
936.289 182.714 0.233 482
936.489 182.634 0.235 482
936.649 182.554 0.236 498
936.850 182.435 0.237 515
937.010 182.355 0.238 515
937.210 182.236 0.238 515
937.371 182.156 0.239 531
937.491 182.077 0.238 531
937.651 181.997 0.239 531
937.731 181.917 0.239 547
937.851 181.838 0.239 563
937.972 181.758 0.239 563
938.052 181.718 0.239 563
938.172 181.639 0.239 579
938.252 181.559 0.239 579
938.332 181.519 0.239 595
938.452 181.440 0.239 595
938.573 181.360 0.240 595
938.693 181.280 0.239 611
938.773 181.241 0.240 627
938.893 181.121 0.241 627
938.973 181.042 0.241 627
939.094 181.002 0.241 643
939.214 180.922 0.241 643
939.294 180.803 0.241 643
939.454 180.723 0.242 659
939.574 180.644 0.243 676
939.695 180.564 0.244 676
939.775 180.445 0.247 676
939.855 180.365 0.249 692
939.975 180.285 0.251 708
940.055 180.206 0.252 708
940.135 180.126 0.253 708
940.255 180.007 0.253 724
940.376 179.927 0.254 724
940.496 179.808 0.253 724
940.616 179.728 0.254 740
940.736 179.609 0.254 740
940.937 179.489 0.253 757
941.057 179.370 0.254 757
941.217 179.250 0.254 757
941.337 179.131 0.255 773
941.497 179.011 0.255 789
941.578 178.892 0.255 789
941.698 178.773 0.255 789
941.778 178.693 0.255 805
941.858 178.613 0.256 805
941.938 178.574 0.256 805
942.018 178.494 0.257 821
942.099 178.454 0.256 837
