% x_coordinate y_coordinate pressure time
% shape 0, 770 points
664.756 332.512 0.063 0
664.796 332.512 0.097 0
664.876 332.552 0.138 16
664.957 332.592 0.173 16
665.077 332.632 0.201 17
665.157 332.672 0.153 32
665.237 332.672 0.237 48
665.317 332.711 0.266 49
665.317 332.711 0.281 49
665.317 332.672 0.300 64
665.317 332.632 0.325 64
665.277 332.632 0.341 80
665.197 332.592 0.358 80
665.117 332.552 0.370 96
665.037 332.472 0.382 96
664.957 332.393 0.392 96
664.917 332.353 0.400 112
664.917 332.273 0.408 112
664.917 332.194 0.413 129
664.917 332.114 0.418 129
664.917 332.035 0.421 145
664.917 331.955 0.423 145
664.917 331.836 0.426 161
664.917 331.796 0.428 161
664.997 331.637 0.434 161
665.117 331.438 0.440 177
665.237 331.159 0.445 177
665.357 330.920 0.451 177
665.518 330.641 0.457 193
665.678 330.363 0.463 210
665.878 330.084 0.469 210
666.038 329.845 0.473 210
666.239 329.646 0.476 226
666.439 329.447 0.477 242
666.639 329.288 0.478 242
666.840 329.089 0.479 242
667.080 328.969 0.479 259
667.280 328.770 0.479 259
667.521 328.611 0.479 259
667.801 328.452 0.479 275
668.042 328.293 0.479 291
668.242 328.173 0.479 291
668.523 328.054 0.479 291
668.763 327.934 0.479 307
669.003 327.815 0.480 307
669.204 327.735 0.479 323
669.444 327.695 0.479 323
669.725 327.616 0.480 323
670.005 327.576 0.479 339
670.245 327.536 0.479 339
670.566 327.496 0.480 356
670.846 327.457 0.480 356
671.167 327.417 0.480 372
671.407 327.337 0.480 372
671.728 327.258 0.480 372
671.968 327.178 0.480 388
672.209 327.098 0.480 404
672.409 327.019 0.480 404
672.609 326.939 0.480 404
672.770 326.899 0.480 420
672.930 326.860 0.480 437
673.050 326.820 0.481 437
673.210 326.700 0.480 437
673.331 326.700 0.480 453
673.451 326.740 0.480 453
673.571 326.740 0.479 453
673.731 326.780 0.480 469
673.891 326.820 0.480 469
674.052 326.860 0.480 485
674.252 326.899 0.480 485
674.452 326.899 0.480 502
674.653 326.939 0.480 502
674.853 326.939 0.480 518
675.053 326.939 0.480 518
675.294 326.939 0.480 518
675.454 326.979 0.480 534
675.654 327.019 0.480 534
675.815 327.059 0.480 534
676.015 327.098 0.480 550
676.215 327.178 0.480 566
676.416 327.218 0.480 566
676.616 327.297 0.480 566
676.816 327.337 0.480 583
677.017 327.377 0.480 599
677.217 327.417 0.481 599
677.377 327.457 0.480 599
677.578 327.457 0.480 615
677.738 327.496 0.480 615
677.898 327.536 0.480 615
678.058 327.576 0.481 631
678.259 327.616 0.481 647
678.459 327.695 0.482 647
678.619 327.735 0.484 647
678.780 327.815 0.484 663
678.940 327.895 0.485 663
679.180 327.974 0.485 680
679.341 328.014 0.485 680
679.541 328.094 0.486 680
679.741 328.133 0.486 696
679.901 328.213 0.486 696
680.102 328.213 0.486 712
680.302 328.253 0.487 712
680.503 328.253 0.487 728
680.703 328.253 0.487 728
680.943 328.253 0.488 728
681.144 328.253 0.489 745
681.304 328.293 0.491 761
681.504 328.293 0.492 761
681.705 328.332 0.493 761
681.865 328.372 0.495 777
682.025 328.412 0.494 777
682.225 328.452 0.496 777
682.386 328.492 0.496 793
682.586 328.531 0.498 810
682.786 328.571 0.499 810
683.027 328.611 0.499 810
683.267 328.651 0.500 826
683.508 328.691 0.500 826
683.788 328.731 0.500 842
684.028 328.810 0.500 842
684.269 328.890 0.501 858
684.549 328.930 0.501 858
684.830 328.969 0.501 858
685.110 329.049 0.501 874
685.391 329.049 0.502 874
685.671 329.089 0.502 890
685.952 329.089 0.502 890
686.232 329.089 0.503 907
686.513 329.129 0.503 907
686.793 329.129 0.504 923
687.073 329.129 0.504 923
687.354 329.129 0.504 923
687.594 329.129 0.504 939
687.875 329.089 0.505 939
688.115 329.089 0.505 939
688.356 329.089 0.505 956
688.556 329.049 0.505 972
688.756 329.049 0.506 972
688.957 329.009 0.506 972
689.197 328.969 0.506 988
689.357 328.930 0.506 1004
689.558 328.890 0.506 1004
689.758 328.850 0.506 1004
689.958 328.810 0.506 1021
690.119 328.731 0.506 1021
690.359 328.611 0.507 1021
690.519 328.531 0.508 1037
690.720 328.452 0.508 1037
690.880 328.332 0.508 1053
691.040 328.213 0.509 1053
691.160 328.213 0.509 1069
691.320 328.094 0.509 1069
691.441 327.934 0.509 1086
691.601 327.815 0.510 1086
691.721 327.656 0.511 1086
691.841 327.536 0.511 1102
691.922 327.377 0.511 1102
692.002 327.218 0.511 1102
692.042 327.098 0.512 1118
692.122 326.939 0.512 1134
692.162 326.820 0.513 1134
692.202 326.700 0.513 1134
692.282 326.621 0.513 1151
692.322 326.501 0.512 1167
692.362 326.422 0.512 1167
692.402 326.302 0.512 1167
692.442 326.262 0.512 1183
692.442 326.183 0.512 1183
692.442 326.143 0.512 1183
692.482 326.063 0.512 1199
692.482 326.024 0.512 1216
692.482 325.984 0.512 1216
692.482 325.944 0.513 1232
692.482 325.904 0.513 1232
692.482 325.785 0.513 1248
692.482 325.785 0.514 1248
692.402 325.785 0.513 1265
692.362 325.785 0.514 1265
692.282 325.825 0.514 1265
692.202 325.864 0.514 1281
692.122 325.904 0.514 1297
692.042 325.984 0.514 1297
691.922 326.103 0.513 1297
691.801 326.103 0.513 1313
691.641 326.302 0.513 1330
691.481 326.541 0.513 1330
691.280 326.820 0.513 1330
691.120 327.098 0.514 1346
690.880 327.417 0.514 1346
690.639 327.775 0.514 1346
690.439 328.094 0.514 1362
690.279 328.412 0.515 1378
690.038 328.810 0.516 1378
