% x_coordinate y_coordinate pressure time
% shape 0, 1247 points
743.407 289.957 0.303 289
743.728 289.798 0.305 289
744.048 289.639 0.306 305
744.329 289.519 0.307 321
744.569 289.400 0.307 321
744.770 289.320 0.308 321
744.970 289.281 0.308 337
745.130 289.241 0.309 337
745.331 289.241 0.309 354
745.451 289.201 0.308 354
745.611 289.201 0.309 370
745.771 289.201 0.309 370
745.932 289.201 0.309 370
746.052 289.161 0.310 386
746.172 289.121 0.309 386
746.332 289.081 0.310 402
746.492 289.002 0.310 402
746.613 288.922 0.310 402
746.733 288.843 0.310 418
746.893 288.763 0.310 434
747.013 288.723 0.310 434
747.174 288.604 0.310 434
747.294 288.524 0.311 450
747.414 288.484 0.311 450
747.534 288.405 0.311 450
747.654 288.365 0.311 467
747.735 288.285 0.311 483
747.855 288.206 0.311 483
747.975 288.126 0.311 483
748.135 288.007 0.311 499
748.255 287.887 0.311 515
748.456 287.728 0.311 515
748.616 287.609 0.311 515
748.776 287.449 0.312 531
748.937 287.290 0.312 531
749.057 287.171 0.312 531
749.177 287.051 0.312 548
749.297 286.932 0.312 564
749.377 286.852 0.313 564
749.497 286.733 0.313 564
749.618 286.653 0.313 580
749.738 286.573 0.313 580
749.858 286.454 0.313 596
750.058 286.255 0.313 596
750.219 286.136 0.314 596
750.379 285.976 0.314 612
750.579 285.777 0.314 612
750.780 285.618 0.314 612
750.980 285.419 0.316 629
751.180 285.260 0.318 645
751.341 285.101 0.320 645
751.501 284.941 0.321 645
751.661 284.822 0.321 661
751.781 284.742 0.322 677
751.901 284.663 0.323 677
752.022 284.583 0.323 677
752.102 284.504 0.323 693
752.222 284.424 0.323 693
752.342 284.305 0.324 693
752.422 284.185 0.324 710
752.543 284.066 0.324 726
752.663 283.906 0.324 726
752.783 283.787 0.324 726
752.943 283.628 0.325 742
753.063 283.508 0.325 742
753.184 283.389 0.325 758
753.304 283.269 0.325 758
753.424 283.150 0.325 758
753.544 283.031 0.325 774
753.664 282.911 0.326 774
753.745 282.792 0.326 791
753.865 282.712 0.326 791
753.985 282.593 0.326 807
754.065 282.473 0.326 807
754.185 282.354 0.326 807
754.306 282.234 0.326 823
754.426 282.155 0.326 839
754.546 282.035 0.326 839
754.666 281.916 0.326 839
754.786 281.836 0.326 856
754.906 281.717 0.326 856
755.027 281.558 0.326 856
755.147 281.438 0.326 872
755.267 281.319 0.326 888
755.347 281.239 0.326 888
755.427 281.120 0.326 888
755.508 281.040 0.326 904
755.628 280.961 0.326 904
755.748 280.881 0.326 921
755.828 280.801 0.327 921
755.908 280.722 0.326 937
755.988 280.602 0.327 937
756.068 280.483 0.327 937
756.149 280.363 0.327 953
756.269 280.244 0.327 953
756.349 280.125 0.327 969
756.469 280.005 0.327 969
756.549 279.846 0.327 969
756.629 279.727 0.327 985
756.710 279.567 0.327 1002
756.790 279.408 0.328 1002
756.870 279.249 0.330 1002
756.950 279.129 0.332 1018
757.030 278.970 0.333 1018
757.150 278.811 0.334 1018
757.270 278.652 0.334 1034
757.351 278.492 0.334 1050
757.471 278.333 0.335 1050
757.591 278.214 0.335 1050
757.671 278.055 0.335 1066
757.791 277.895 0.335 1083
757.871 277.776 0.335 1083
757.952 277.617 0.335 1083
758.032 277.497 0.335 1099
758.192 277.378 0.336 1099
758.272 277.219 0.337 1115
758.392 277.099 0.338 1115
758.472 276.940 0.340 1115
758.553 276.781 0.341 1131
758.633 276.621 0.342 1131
758.753 276.502 0.342 1147
758.833 276.383 0.343 1147
758.913 276.223 0.343 1163
759.033 276.104 0.344 1163
759.114 275.945 0.344 1163
759.194 275.825 0.344 1180
759.234 275.666 0.344 1196
759.314 275.547 0.344 1196
759.394 275.427 0.344 1196
759.434 275.308 0.345 1212
759.514 275.188 0.346 1212
759.594 275.069 0.347 1212
759.674 274.910 0.349 1228
759.715 274.790 0.352 1244
759.795 274.671 0.354 1244
759.875 274.512 0.356 1244
759.955 274.392 0.357 1261
759.995 274.273 0.358 1261
760.075 274.153 0.358 1277
760.115 274.034 0.359 1277
760.155 273.914 0.359 1277
760.195 273.795 0.360 1293
760.275 273.636 0.361 1293
760.315 273.477 0.363 1309
760.436 273.357 0.367 1309
760.516 273.198 0.370 1325
760.596 273.039 0.373 1325
760.676 272.919 0.376 1325
760.756 272.800 0.379 1341
760.836 272.680 0.381 1357
760.876 272.561 0.382 1357
760.957 272.481 0.383 1357
761.037 272.362 0.384 1374
761.077 272.243 0.384 1390
761.117 272.123 0.384 1390
761.197 272.043 0.384 1390
761.277 271.924 0.385 1406
761.357 271.765 0.385 1406
761.437 271.606 0.385 1406
761.477 271.446 0.386 1422
761.598 271.287 0.386 1422
761.678 271.088 0.389 1438
761.758 270.929 0.392 1438
761.878 270.730 0.393 1438
761.998 270.571 0.395 1454
762.078 270.411 0.396 1471
762.159 270.252 0.397 1471
762.239 270.133 0.398 1471
762.319 269.934 0.399 1487
762.359 269.774 0.399 1487
762.439 269.655 0.399 1487
762.519 269.496 0.400 1503
762.599 269.337 0.399 1519
762.639 269.177 0.400 1519
762.760 269.018 0.400 1519
762.840 268.859 0.400 1535
762.920 268.660 0.400 1552
763.000 268.501 0.401 1552
763.080 268.341 0.402 1552
763.120 268.182 0.403 1568
763.160 268.023 0.405 1568
763.200 267.903 0.407 1568
763.200 267.784 0.408 1584
763.240 267.625 0.408 1584
763.280 267.505 0.409 1600
763.321 267.386 0.409 1600
763.401 267.227 0.409 1617
763.481 267.107 0.409 1617
763.521 266.988 0.409 1633
763.601 266.829 0.409 1633
763.681 266.709 0.410 1633
763.761 266.550 0.410 1649
763.801 266.431 0.410 1649
763.881 266.311 0.410 1649
763.922 266.192 0.410 1665
763.962 266.072 0.410 1681
764.002 265.993 0.411 1681
764.042 265.873 0.410 1681
764.082 265.754 0.411 1698
764.122 265.674 0.411 1714
764.162 265.515 0.411 1714
764.202 265.356 0.411 1714
764.242 265.236 0.411 1730
764.282 265.117 0.411 1730
764.322 264.958 0.411 1730
764.402 264.838 0.411 1746
764.442 264.679 0.411 1762
764.482 264.520 0.411 1762
764.563 264.400 0.412 1763
764.603 264.281 0.412 1778
764.683 264.161 0.413 1778
764.763 264.042 0.412 1794
764.803 263.962 0.413 1794
764.843 263.843 0.413 1810
764.923 263.763 0.413 1810
764.963 263.644 0.413 1826
765.043 263.564 0.413 1826
765.124 263.445 0.413 1827
765.164 263.325 0.413 1842
765.244 263.166 0.412 1859
765.324 263.007 0.413 1859
765.364 262.848 0.413 1860
765.404 262.649 0.413 1875
765.484 262.490 0.413 1875
765.524 262.290 0.413 1875
765.604 262.131 0.413 1891
765.684 261.932 0.413 1891
765.765 261.733 0.415 1907
765.845 261.574 0.415 1907
765.965 261.415 0.416 1923
766.045 261.216 0.416 1923
766.165 261.056 0.416 1939
766.205 260.937 0.416 1939
766.286 260.738 0.416 1939
766.366 260.539 0.416 1955
766.406 260.380 0.417 1955
766.486 260.181 0.417 1955
766.526 259.982 0.416 1971
766.606 259.783 0.417 1987
766.686 259.544 0.417 1987
766.766 259.345 0.417 1987
766.886 259.146 0.417 2003
766.927 258.947 0.417 2019
767.007 258.747 0.417 2019
767.047 258.588 0.418 2019
767.127 258.389 0.417 2035
767.167 258.230 0.418 2035
767.207 258.111 0.418 2051
767.247 257.991 0.418 2051
767.287 257.912 0.418 2051
767.327 257.792 0.418 2067
767.367 257.673 0.418 2083
767.407 257.553 0.418 2083
767.407 257.434 0.418 2083
767.447 257.314 0.418 2100
767.487 257.195 0.418 2100
767.487 257.076 0.418 2100
767.487 256.956 0.418 2116
767.528 256.837 0.419 2132
767.528 256.717 0.418 2132
767.528 256.638 0.419 2132
767.568 256.518 0.419 2148
767.568 256.399 0.419 2148
767.568 256.279 0.419 2164
767.608 256.120 0.419 2164
767.648 256.001 0.419 2180
767.688 255.881 0.419 2180
767.688 255.722 0.419 2180
767.688 255.603 0.419 2196
767.728 255.443 0.419 2196
767.768 255.324 0.419 2212
767.768 255.244 0.419 2212
767.808 255.165 0.419 2228
767.808 255.085 0.419 2228
767.808 255.045 0.419 2244
767.808 255.045 0.418 2260
767.808 255.045 0.417 2276
767.808 255.125 0.417 2276
767.808 255.244 0.418 2276
767.808 255.404 0.418 2292
767.808 255.603 0.418 2292
767.768 255.842 0.419 2292
767.688 256.041 0.419 2308
767.648 256.359 0.419 2325
767.528 256.598 0.420 2325
767.447 256.876 0.419 2325
767.407 257.115 0.420 2342
767.327 257.434 0.420 2342
767.207 257.752 0.420 2358
767.127 258.071 0.420 2358
767.047 258.389 0.420 2358
766.927 258.787 0.420 2374
766.806 259.146 0.420 2390
766.646 259.504 0.420 2390
766.526 259.862 0.420 2390
766.406 260.220 0.420 2406
766.286 260.579 0.420 2406
766.165 260.937 0.420 2406
766.085 261.295 0.421 2422
765.965 261.574 0.420 2438
765.885 261.892 0.420 2438
765.765 262.211 0.421 2438
765.644 262.490 0.420 2454
765.524 262.848 0.420 2454
765.404 263.206 0.420 2470
765.284 263.564 0.420 2470
765.124 263.883 0.420 2486
764.963 264.241 0.421 2486
764.763 264.599 0.420 2487
764.563 264.918 0.421 2502
764.402 265.236 0.421 2502
764.242 265.595 0.421 2518
764.082 265.913 0.421 2518
763.922 266.192 0.421 2518
763.761 266.510 0.421 2535
763.601 266.829 0.421 2551
763.481 267.107 0.421 2551
763.321 267.426 0.421 2552
763.200 267.784 0.422 2567
763.080 268.102 0.422 2583
762.960 268.381 0.424 2583
762.800 268.700 0.425 2584
762.679 268.978 0.426 2599
762.479 269.257 0.428 2599
762.359 269.536 0.431 2600
762.239 269.814 0.434 2615
762.078 270.093 0.437 2631
761.998 270.372 0.440 2631
761.918 270.610 0.443 2632
761.838 270.849 0.446 2647
761.798 271.048 0.448 2647
761.718 271.287 0.451 2663
761.678 271.486 0.456 2663
761.598 271.685 0.459 2663
761.518 271.844 0.463 2679
761.437 272.043 0.466 2679
761.357 272.282 0.468 2695
761.277 272.521 0.469 2695
761.157 272.720 0.470 2711
761.117 272.959 0.471 2711
761.037 273.158 0.472 2711
760.957 273.357 0.473 2727
760.876 273.556 0.474 2744
760.796 273.715 0.475 2744
760.716 273.914 0.476 2744
760.556 274.074 0.477 2760
760.476 274.233 0.479 2760
760.396 274.392 0.480 2776
760.315 274.551 0.481 2776
760.195 274.750 0.482 2792
760.155 274.949 0.484 2792
760.075 275.109 0.485 2792
759.995 275.308 0.486 2808
759.915 275.467 0.486 2808
759.875 275.626 0.487 2824
759.795 275.785 0.487 2824
759.755 275.945 0.487 2840
759.715 276.144 0.488 2840
759.674 276.343 0.488 2856
759.594 276.542 0.488 2856
759.514 276.741 0.488 2856
759.434 276.980 0.488 2872
759.394 277.179 0.489 2872
759.314 277.418 0.489 2872
759.274 277.577 0.489 2888
759.234 277.776 0.489 2904
759.194 277.975 0.490 2904
759.154 278.174 0.490 2905
759.114 278.333 0.490 2920
759.073 278.532 0.490 2936
759.033 278.731 0.490 2936
758.993 278.891 0.490 2937
758.913 279.090 0.490 2952
758.873 279.368 0.490 2952
758.833 279.567 0.491 2952
758.713 279.766 0.491 2969
758.633 280.005 0.491 2985
758.593 280.204 0.491 2985
758.513 280.403 0.491 2985
758.472 280.602 0.491 3001
758.392 280.801 0.492 3001
758.312 281.000 0.492 3017
758.232 281.199 0.492 3017
758.192 281.398 0.493 3017
758.112 281.597 0.493 3033
758.072 281.797 0.494 3049
757.992 281.956 0.494 3049
757.952 282.155 0.495 3049
757.871 282.314 0.496 3065
757.831 282.473 0.496 3065
757.751 282.633 0.496 3065
757.671 282.792 0.497 3081
757.631 282.951 0.497 3097
757.551 283.070 0.497 3097
757.471 283.230 0.498 3097
757.391 283.349 0.498 3113
757.311 283.508 0.499 3129
757.230 283.707 0.500 3129
757.190 283.946 0.500 3129
757.110 284.145 0.500 3145
