% x_coordinate y_coordinate pressure time
% shape 0, 1102 points
852.993 225.151 0.006 0
852.993 225.111 0.026 16
853.033 225.111 0.059 16
853.033 225.111 0.089 16
853.033 225.111 0.118 32
853.073 225.111 0.145 48
853.073 225.111 0.174 48
853.073 225.111 0.199 48
853.073 225.111 0.223 64
853.073 225.111 0.242 64
853.073 225.071 0.257 64
853.073 225.031 0.273 80
853.073 224.952 0.291 97
853.073 224.912 0.309 97
853.073 224.832 0.324 97
853.114 224.713 0.332 113
853.194 224.633 0.338 113
853.274 224.554 0.342 129
853.354 224.434 0.347 129
853.474 224.315 0.352 145
853.594 224.156 0.355 145
853.755 223.996 0.360 145
853.835 223.837 0.365 161
853.955 223.678 0.373 161
854.035 223.519 0.381 177
854.115 223.320 0.389 177
854.235 223.160 0.395 177
854.316 222.961 0.401 194
854.436 222.802 0.407 210
854.596 222.603 0.413 210
854.756 222.444 0.419 210
854.917 222.285 0.425 226
855.117 222.125 0.430 226
855.317 222.006 0.434 226
855.518 221.847 0.436 242
855.718 221.727 0.437 259
855.918 221.648 0.438 259
856.119 221.568 0.439 259
856.319 221.488 0.439 275
856.519 221.449 0.440 291
856.720 221.409 0.440 291
856.880 221.329 0.440 291
857.040 221.289 0.440 307
857.240 221.210 0.440 307
857.401 221.130 0.440 323
857.601 221.051 0.441 323
857.801 220.971 0.441 323
858.002 220.851 0.445 339
858.162 220.812 0.449 339
858.282 220.732 0.454 339
858.402 220.692 0.460 356
858.523 220.652 0.465 372
858.643 220.652 0.468 372
858.763 220.652 0.471 372
858.883 220.652 0.473 388
859.043 220.652 0.474 404
859.204 220.652 0.475 404
859.364 220.613 0.476 404
859.524 220.573 0.477 420
859.684 220.573 0.480 420
859.885 220.533 0.482 436
860.045 220.533 0.483 436
860.165 220.533 0.485 436
860.285 220.533 0.485 452
860.366 220.533 0.486 468
860.486 220.533 0.486 468
860.566 220.533 0.487 468
860.646 220.533 0.487 485
860.766 220.613 0.487 485
860.886 220.652 0.487 485
861.007 220.692 0.488 501
861.167 220.732 0.487 517
861.287 220.772 0.487 517
861.447 220.812 0.488 517
861.608 220.812 0.488 533
861.728 220.812 0.488 533
861.888 220.851 0.488 550
862.008 220.851 0.488 550
862.129 220.891 0.488 550
862.249 220.891 0.488 566
862.369 220.891 0.488 566
862.489 220.931 0.488 582
862.609 220.931 0.488 582
862.730 220.931 0.488 598
862.810 220.931 0.489 598
862.930 220.971 0.488 598
863.050 220.971 0.488 614
863.170 221.011 0.489 630
863.250 221.051 0.488 630
863.371 221.090 0.489 630
863.491 221.130 0.489 647
863.651 221.170 0.488 647
863.771 221.210 0.489 647
863.891 221.289 0.489 663
863.972 221.329 0.488 679
864.092 221.369 0.489 679
864.172 221.449 0.489 679
864.292 221.488 0.488 695
864.412 221.568 0.489 712
864.492 221.648 0.489 712
864.613 221.727 0.489 712
864.733 221.847 0.489 728
