% x_coordinate y_coordinate pressure time
% shape 0, 2370 points

818.371 289.972 0.198 129
818.531 289.853 0.202 129
818.731 289.733 0.206 129
818.932 289.733 0.212 145
819.172 289.574 0.218 145
819.372 289.415 0.226 161
819.653 289.295 0.233 161
819.853 289.136 0.239 177
820.053 288.977 0.245 177
820.254 288.857 0.251 193
820.454 288.778 0.257 193
820.654 288.658 0.261 193
820.815 288.579 0.262 209
821.015 288.499 0.264 225
821.215 288.419 0.267 225
821.416 288.340 0.269 225
821.616 288.220 0.272 241
821.816 288.101 0.275 241
822.057 287.942 0.276 241
822.257 287.783 0.280 257
822.457 287.583 0.281 274
822.698 287.345 0.283 274
822.938 287.185 0.287 274
823.139 286.986 0.290 290
823.339 286.827 0.292 290
823.539 286.668 0.294 306
823.740 286.509 0.293 306
823.900 286.389 0.295 306
824.100 286.270 0.295 322
824.260 286.111 0.295 338
824.421 285.951 0.295 338
824.581 285.792 0.295 338
824.741 285.593 0.295 354
824.901 285.394 0.296 354
825.062 285.195 0.298 354
825.222 284.996 0.300 370
825.342 284.717 0.305 386
825.503 284.518 0.307 386
825.623 284.319 0.309 386
825.783 284.160 0.313 402
825.863 284.001 0.313 418
825.983 283.881 0.314 418
826.104 283.722 0.316 418
826.184 283.642 0.316 434
826.264 283.523 0.317 434
826.384 283.404 0.318 434
826.464 283.244 0.318 451
826.584 283.125 0.319 467
826.704 282.966 0.319 467
826.865 282.807 0.319 467
826.945 282.647 0.320 483
827.065 282.448 0.320 483
827.145 282.289 0.322 499
827.265 282.170 0.326 499
827.346 282.010 0.328 499
827.426 281.891 0.331 515
827.546 281.732 0.334 531
827.626 281.612 0.336 531
827.746 281.453 0.337 531
827.866 281.294 0.339 548
828.027 281.174 0.339 548
828.147 281.015 0.339 548
828.267 280.856 0.340 564
828.387 280.697 0.340 580
828.508 280.537 0.342 580
828.628 280.378 0.344 580
828.748 280.179 0.347 596
828.868 279.980 0.351 596
828.988 279.781 0.354 612
829.109 279.622 0.356 612
829.229 279.423 0.360 628
829.309 279.264 0.361 628
829.429 279.144 0.363 628
829.509 278.985 0.365 644
829.589 278.865 0.365 644
