% x_coordinate y_coordinate pressure time
% shape 0, 2151 points
802.509 116.275 0.031 0
802.589 116.195 0.054 0
802.629 116.156 0.071 16
802.709 116.076 0.090 16
802.750 116.036 0.116 17
802.790 115.957 0.142 32
802.870 115.917 0.165 48
802.870 115.877 0.186 48
802.910 115.837 0.200 48
802.950 115.797 0.213 64
802.950 115.797 0.221 81
802.950 115.797 0.230 81
802.950 115.797 0.241 81
802.950 115.797 0.258 97
802.950 115.797 0.279 97
802.950 115.797 0.296 97
802.950 115.797 0.312 113
802.950 115.837 0.326 113
802.910 115.877 0.338 129
802.830 115.917 0.350 129
802.790 115.996 0.361 145
802.669 116.036 0.369 145
802.589 116.116 0.377 145
802.469 116.195 0.385 161
802.349 116.275 0.391 161
802.189 116.394 0.395 161
802.028 116.514 0.397 178
801.908 116.633 0.400 194
801.788 116.792 0.401 194
801.628 116.992 0.401 194
801.467 117.151 0.402 210
801.347 117.350 0.401 226
801.187 117.549 0.403 226
801.027 117.708 0.402 226
800.947 117.828 0.403 242
800.826 117.947 0.404 242
800.746 118.066 0.404 242
800.626 118.186 0.405 259
800.546 118.305 0.407 275
800.426 118.385 0.408 275
800.305 118.504 0.409 275
800.185 118.624 0.410 291
800.065 118.743 0.411 291
799.945 118.902 0.412 307
799.825 119.022 0.413 307
799.705 119.141 0.413 324
799.584 119.300 0.413 324
799.424 119.460 0.414 324
799.304 119.579 0.414 340
799.144 119.738 0.415 340
799.023 119.858 0.416 356
798.903 119.977 0.416 356
798.823 120.097 0.418 356
798.703 120.216 0.419 372
798.623 120.335 0.420 389
798.543 120.455 0.422 389
798.422 120.574 0.423 389
798.342 120.654 0.425 405
798.262 120.734 0.427 405
798.222 120.853 0.428 405
798.102 120.972 0.429 421
798.022 121.092 0.430 437
797.942 121.211 0.431 437
797.821 121.331 0.432 437
797.701 121.490 0.432 453
797.621 121.649 0.433 470
797.501 121.848 0.434 470
797.381 122.007 0.434 470
797.300 122.127 0.435 486
797.180 122.286 0.435 486
797.100 122.445 0.435 486
797.020 122.565 0.435 502
796.940 122.684 0.436 502
796.900 122.804 0.436 518
796.820 122.883 0.436 518
796.780 123.003 0.437 534
796.740 123.082 0.437 534
796.659 123.162 0.438 550
796.659 123.281 0.437 550
796.619 123.361 0.438 550
796.579 123.440 0.438 567
796.539 123.560 0.438 583
796.499 123.679 0.438 583
796.459 123.799 0.439 583
796.419 123.958 0.439 599
796.339 124.117 0.439 599
796.299 124.237 0.439 599
796.259 124.396 0.439 615
796.139 124.555 0.439 632
796.099 124.675 0.439 632
796.058 124.834 0.439 632
796.018 124.913 0.439 648
795.978 125.033 0.439 648
795.898 125.152 0.439 664
795.858 125.272 0.440 664
795.818 125.391 0.439 680
795.778 125.471 0.440 680
795.738 125.590 0.440 680
795.698 125.710 0.440 696
795.618 125.829 0.440 696
795.578 125.948 0.440 713
795.538 126.068 0.440 713
795.457 126.227 0.440 713
795.417 126.346 0.440 729
795.337 126.466 0.440 745
795.297 126.546 0.440 745
795.297 126.625 0.440 745
795.257 126.745 0.440 762
795.217 126.824 0.440 762
795.217 126.904 0.440 762
795.177 126.983 0.440 778
795.137 127.103 0.440 794
795.097 127.182 0.439 794
795.057 127.262 0.440 794
795.017 127.342 0.441 810
794.977 127.461 0.440 827
794.896 127.541 0.440 827
794.856 127.620 0.440 827
794.816 127.740 0.440 843
794.776 127.819 0.440 843
794.776 127.899 0.441 843
794.736 127.979 0.440 859
794.696 128.058 0.441 859
794.696 128.138 0.440 875
794.696 128.217 0.440 875
794.696 128.297 0.441 875
794.656 128.417 0.440 891
794.656 128.496 0.440 908
794.656 128.576 0.440 908
794.656 128.695 0.440 908
794.656 128.775 0.440 924
794.616 128.854 0.440 924
794.616 128.974 0.440 924
794.616 129.093 0.440 940
794.576 129.173 0.440 956
794.576 129.292 0.440 956
794.536 129.372 0.440 956
794.536 129.452 0.440 972
794.536 129.571 0.440 989
794.496 129.651 0.440 989
794.456 129.770 0.440 989
794.456 129.850 0.440 1005
794.336 129.969 0.441 1005
794.296 130.088 0.440 1005
794.296 130.168 0.441 1021
794.255 130.288 0.441 1038
794.255 130.367 0.440 1038
794.215 130.447 0.441 1038
794.215 130.526 0.440 1054
794.215 130.646 0.440 1054
794.175 130.725 0.441 1070
794.175 130.805 0.441 1070
794.175 130.885 0.440 1070
794.175 130.964 0.441 1086
794.175 131.044 0.440 1086
794.175 131.123 0.440 1086
794.175 131.203 0.441 1103
794.175 131.283 0.440 1119
794.175 131.362 0.440 1119
794.175 131.442 0.440 1119
794.175 131.522 0.439 1135
794.175 131.601 0.440 1151
794.175 131.681 0.441 1151
794.175 131.800 0.440 1151
794.175 131.880 0.441 1167
794.175 131.959 0.441 1167
794.175 132.039 0.441 1167
794.175 132.119 0.441 1184
794.175 132.198 0.441 1200
794.175 132.238 0.441 1200
794.215 132.318 0.441 1200
794.215 132.397 0.441 1216
794.215 132.477 0.441 1216
794.255 132.557 0.442 1232
794.255 132.596 0.441 1232
794.296 132.676 0.441 1232
794.336 132.756 0.442 1249
794.376 132.915 0.441 1249
794.416 132.994 0.442 1265
794.416 133.114 0.442 1265
