% x_coordinate y_coordinate pressure time
% shape 0, 1409 points
857.881 184.905 0.254 210
858.002 184.785 0.264 210
858.162 184.666 0.276 210
858.282 184.546 0.287 226
858.482 184.387 0.296 226
858.643 184.228 0.304 242
858.803 184.108 0.312 242
859.003 183.949 0.318 258
859.204 183.790 0.322 258
859.404 183.631 0.326 274
859.684 183.432 0.329 274
859.925 183.153 0.333 274
860.205 182.954 0.339 290
860.446 182.715 0.341 290
860.726 182.516 0.344 290
861.007 182.317 0.346 306
861.247 182.158 0.348 323
861.487 181.999 0.349 323
861.728 181.839 0.350 323
861.928 181.720 0.350 339
862.129 181.600 0.352 355
862.329 181.481 0.352 355
862.569 181.362 0.352 355
862.770 181.202 0.352 371
863.010 180.963 0.352 371
863.291 180.764 0.353 371
863.571 180.526 0.353 387
863.811 180.287 0.353 403
864.052 180.088 0.354 403
864.372 179.849 0.354 403
864.573 179.650 0.354 420
864.773 179.491 0.355 420
864.933 179.292 0.356 436
865.134 179.132 0.357 436
865.294 178.973 0.357 436
865.454 178.854 0.358 452
865.614 178.734 0.359 468
865.775 178.535 0.359 468
865.975 178.416 0.359 468
866.135 178.296 0.360 484
866.295 178.137 0.360 484
866.496 177.978 0.360 484
866.696 177.819 0.361 500
866.896 177.659 0.361 517
867.177 177.460 0.360 517
867.377 177.301 0.361 517
867.618 177.102 0.362 533
867.818 176.903 0.362 549
868.058 176.704 0.363 549
868.259 176.545 0.363 549
868.419 176.346 0.363 565
868.619 176.186 0.363 565
868.780 176.027 0.363 565
868.980 175.828 0.363 581
869.140 175.669 0.363 581
869.341 175.470 0.364 597
869.541 175.271 0.363 597
869.781 175.112 0.364 597
869.942 174.913 0.363 613
870.142 174.674 0.364 630
870.342 174.475 0.364 630
870.503 174.276 0.364 630
870.663 174.037 0.366 646
870.863 173.798 0.369 646
871.023 173.599 0.370 646
871.184 173.400 0.372 662
871.344 173.201 0.375 678
871.544 173.042 0.377 678
871.704 172.843 0.379 678
871.865 172.683 0.380 694
872.025 172.524 0.382 711
