% x_coordinate y_coordinate pressure time
% shape 0, 690 points
434.616 276.623 0.059 0
434.656 276.663 0.076 0
434.656 276.742 0.082 1
434.656 276.782 0.093 17
434.656 276.862 0.114 17
434.656 276.902 0.143 18
434.656 276.981 0.169 33
434.656 276.981 0.196 49
434.656 277.021 0.219 49
434.656 277.061 0.241 49
434.656 277.101 0.263 65
434.616 277.140 0.285 65
434.576 277.180 0.304 81
434.496 277.260 0.316 81
434.416 277.379 0.325 81
434.376 277.499 0.332 97
434.255 277.658 0.339 114
434.175 277.817 0.345 114
434.095 277.976 0.348 114
434.055 278.175 0.351 130
433.975 278.374 0.353 130
433.895 278.573 0.355 130
433.815 278.773 0.357 146
433.694 279.011 0.360 162
433.654 279.250 0.362 162
433.574 279.489 0.364 162
433.534 279.768 0.366 178
433.534 279.967 0.367 194
433.534 280.166 0.367 194
433.494 280.405 0.368 194
433.494 280.564 0.368 211
433.454 280.763 0.368 211
433.414 280.962 0.368 211
433.414 281.121 0.369 227
433.334 281.281 0.370 227
433.334 281.440 0.370 243
433.294 281.599 0.372 243
433.254 281.718 0.374 259
433.214 281.838 0.376 259
433.214 282.037 0.377 275
433.174 282.156 0.377 275
433.174 282.315 0.378 275
433.134 282.475 0.378 291
433.134 282.634 0.378 291
433.134 282.793 0.378 291
433.134 282.952 0.378 307
433.134 283.112 0.379 324
433.134 283.231 0.379 324
433.134 283.390 0.379 324
433.134 283.510 0.379 340
433.134 283.669 0.379 356
433.134 283.788 0.379 356
433.134 283.948 0.379 356
433.134 284.107 0.379 372
433.134 284.306 0.379 372
433.134 284.465 0.379 372
433.134 284.624 0.379 388
433.134 284.784 0.379 404
433.174 284.943 0.379 404
433.174 285.102 0.379 404
433.214 285.261 0.380 421
433.214 285.421 0.379 421
433.254 285.580 0.380 437
433.254 285.739 0.380 437
433.294 285.898 0.380 453
433.294 286.057 0.380 453
433.334 286.177 0.380 453
433.334 286.336 0.380 469
433.374 286.416 0.380 469
433.454 286.575 0.379 485
433.494 286.655 0.378 486
433.574 286.774 0.378 486
433.654 286.893 0.378 501
433.735 286.973 0.378 518
433.775 287.093 0.379 518
433.855 287.212 0.379 518
433.935 287.331 0.379 534
434.015 287.451 0.379 534
434.095 287.570 0.379 534
434.175 287.690 0.379 550
434.295 287.849 0.379 566
434.376 287.968 0.379 566
434.456 288.128 0.379 566
434.496 288.247 0.379 582
