% x_coordinate y_coordinate pressure time
% shape 0, 648 points
1025.361 165.717 0.036 0
1025.361 165.717 0.084 0
1025.361 165.717 0.109 16
1025.401 165.717 0.150 17
1025.401 165.717 0.180 17
1025.401 165.717 0.198 32
1025.401 165.717 0.216 32
1025.401 165.717 0.232 48
1025.401 165.717 0.245 48
1025.401 165.717 0.256 48
1025.401 165.717 0.266 64
1025.361 165.717 0.273 80
1025.361 165.717 0.278 80
1025.361 165.717 0.282 80
1025.320 165.717 0.284 96
1025.320 165.717 0.291 96
1025.320 165.717 0.303 112
1025.320 165.717 0.314 112
1025.320 165.717 0.328 128
1025.320 165.717 0.345 128
1025.320 165.717 0.361 128
1025.361 165.717 0.374 145
1025.361 165.677 0.384 145
1025.361 165.637 0.392 161
1025.401 165.558 0.400 161
1025.401 165.478 0.406 161
1025.401 165.398 0.413 177
1025.481 165.319 0.418 193
1025.481 165.199 0.422 193
1025.521 165.120 0.428 193
1025.521 165.000 0.434 209
1025.521 164.881 0.440 225
1025.561 164.801 0.447 225
1025.601 164.682 0.453 225
1025.641 164.562 0.458 241
1025.641 164.403 0.464 241
1025.681 164.284 0.471 241
1025.721 164.125 0.477 258
1025.761 164.005 0.484 274
1025.801 163.846 0.491 274
1025.841 163.687 0.498 274
1025.881 163.527 0.503 290
1025.922 163.368 0.508 290
1025.962 163.169 0.512 306
1026.002 162.970 0.517 306
1026.082 162.731 0.522 306
1026.122 162.532 0.529 322
1026.202 162.333 0.533 339
1026.282 162.174 0.538 339
1026.322 161.975 0.543 339
1026.443 161.776 0.545 355
1026.523 161.617 0.549 355
1026.603 161.457 0.551 355
1026.683 161.338 0.554 371
1026.763 161.179 0.555 387
1026.883 161.020 0.556 387
1027.003 160.900 0.557 387
1027.124 160.741 0.558 403
1027.244 160.502 0.559 403
1027.404 160.303 0.561 420
1027.404 160.144 0.562 420
1027.524 159.945 0.564 420
1027.684 159.746 0.566 436
1027.765 159.547 0.568 436
1027.885 159.387 0.571 452
1028.005 159.228 0.573 452
1028.085 159.069 0.576 468
1028.205 158.870 0.578 468
1028.286 158.711 0.580 468
1028.366 158.551 0.582 484
1028.486 158.392 0.583 500
1028.566 158.233 0.585 500
1028.686 158.074 0.587 500
1028.766 157.954 0.587 517
1028.886 157.795 0.588 517
1029.007 157.676 0.588 517
1029.087 157.556 0.588 533
1029.207 157.437 0.589 549
1029.287 157.317 0.589 549
1029.407 157.158 0.590 549
1029.488 157.039 0.591 565
1029.648 156.879 0.591 565
1029.728 156.760 0.591 581
1029.848 156.601 0.592 581
1029.928 156.481 0.592 597
1030.008 156.362 0.593 597
1030.129 156.242 0.593 597
1030.209 156.123 0.593 613
