% x_coordinate y_coordinate pressure time
% shape 0, 739 points
734.997 278.534 0.031 0
734.997 278.494 0.053 0
735.037 278.454 0.065 17
735.077 278.454 0.082 18
735.157 278.374 0.101 19
735.197 278.335 0.123 33
735.277 278.335 0.142 49
735.317 278.295 0.158 49
735.357 278.295 0.174 49
735.397 278.255 0.186 65
735.397 278.255 0.198 65
735.397 278.255 0.208 65
735.397 278.255 0.217 82
735.397 278.255 0.225 82
735.397 278.255 0.234 98
735.397 278.255 0.241 98
735.397 278.255 0.250 114
735.397 278.255 0.263 114
735.397 278.255 0.279 130
735.397 278.255 0.295 130
735.397 278.295 0.311 130
735.357 278.295 0.327 146
735.317 278.335 0.344 146
735.277 278.335 0.357 163
735.237 278.374 0.370 163
735.237 278.374 0.382 179
735.197 278.454 0.392 179
735.197 278.454 0.400 179
735.157 278.494 0.410 195
735.157 278.494 0.418 211
735.157 278.573 0.426 211
735.117 278.613 0.435 211
735.117 278.653 0.443 227
735.077 278.733 0.450 227
735.037 278.812 0.455 227
734.957 278.932 0.459 244
734.917 279.051 0.463 260
734.836 279.131 0.466 260
734.796 279.250 0.470 260
734.716 279.330 0.474 276
734.676 279.410 0.479 276
734.596 279.489 0.485 293
734.556 279.569 0.491 293
734.516 279.609 0.496 309
734.476 279.688 0.499 309
734.436 279.768 0.501 309
734.396 279.847 0.504 325
734.356 279.927 0.505 325
734.316 280.046 0.507 341
734.276 280.166 0.509 341
734.235 280.285 0.509 341
734.195 280.405 0.511 358
734.115 280.564 0.512 374
734.075 280.683 0.513 374
734.035 280.882 0.515 374
733.995 281.002 0.516 390
733.995 281.121 0.519 390
733.955 281.241 0.522 390
733.955 281.360 0.523 407
733.955 281.480 0.524 423
733.915 281.559 0.525 423
733.915 281.679 0.526 423
733.915 281.758 0.527 439
733.915 281.878 0.528 439
733.915 281.957 0.528 455
733.915 282.077 0.529 455
733.915 282.196 0.530 472
733.915 282.315 0.531 472
733.915 282.395 0.532 472
733.915 282.515 0.533 488
733.915 282.634 0.534 488
733.915 282.714 0.535 504
733.915 282.793 0.536 504
733.915 282.913 0.537 504
733.915 283.032 0.538 520
733.915 283.191 0.539 537
733.915 283.271 0.539 537
733.915 283.390 0.540 537
733.915 283.510 0.541 553
733.915 283.629 0.542 553
733.915 283.749 0.543 553
733.915 283.828 0.543 569
733.915 283.948 0.544 585
733.915 284.067 0.545 585
733.915 284.147 0.546 585
733.915 284.226 0.547 602
733.915 284.346 0.549 618
733.915 284.425 0.551 618
733.955 284.545 0.553 618
733.955 284.664 0.555 634
733.955 284.784 0.557 634
733.955 284.903 0.558 634
733.995 285.022 0.559 650
733.995 285.102 0.560 650
733.995 285.221 0.561 666
734.035 285.301 0.562 666
734.075 285.421 0.563 666
734.115 285.500 0.563 683
734.155 285.580 0.564 699
734.235 285.659 0.566 699
734.276 285.739 0.567 699
734.316 285.858 0.568 715
734.356 285.938 0.570 715
734.396 286.018 0.570 715
734.436 286.097 0.571 731
734.516 286.217 0.572 748
734.556 286.296 0.572 748
734.596 286.416 0.573 748
734.676 286.495 0.573 764
734.716 286.615 0.574 780
734.796 286.694 0.574 780
734.876 286.774 0.574 780
734.917 286.893 0.575 796
734.997 286.973 0.576 796
735.037 287.053 0.577 796
735.117 287.172 0.577 812
735.197 287.252 0.578 812
735.237 287.331 0.578 828
735.317 287.411 0.579 828
735.397 287.530 0.580 845
735.477 287.610 0.580 845
735.558 287.729 0.581 861
735.638 287.849 0.581 861
735.718 287.889 0.582 861
735.798 287.968 0.583 878
735.878 288.088 0.583 878
735.958 288.128 0.584 878
736.038 288.247 0.585 894
736.119 288.327 0.585 910
736.199 288.406 0.586 910
736.279 288.446 0.586 910
736.399 288.526 0.586 926
736.479 288.565 0.585 943
736.599 288.605 0.584 943
736.760 288.685 0.585 943
736.880 288.725 0.586 959
737.000 288.764 0.587 959
737.120 288.804 0.587 959
737.240 288.844 0.589 975
737.361 288.884 0.591 992
737.481 288.924 0.592 992
737.601 288.964 0.594 992
737.721 288.964 0.595 1008
737.801 289.003 0.596 1008
737.881 289.043 0.598 1024
737.962 289.083 0.598 1024
738.042 289.123 0.599 1024
738.162 289.163 0.599 1041
738.242 289.163 0.599 1041
738.322 289.202 0.600 1041
738.442 289.202 0.600 1057
738.523 289.242 0.600 1073
738.603 289.242 0.602 1073
738.723 289.242 0.603 1073
738.803 289.282 0.604 1089
738.883 289.282 0.605 1106
738.963 289.322 0.606 1106
739.043 289.322 0.606 1106
739.164 289.362 0.607 1122
739.284 289.362 0.607 1122
739.404 289.401 0.607 1122
739.524 289.401 0.608 1138
739.684 289.441 0.608 1154
739.805 289.441 0.608 1154
739.965 289.441 0.609 1154
740.125 289.441 0.608 1170
740.245 289.441 0.610 1170
740.406 289.441 0.609 1187
740.606 289.481 0.610 1187
740.726 289.481 0.611 1203
740.846 289.481 0.611 1203
741.007 289.481 0.611 1203
741.127 289.481 0.611 1219
741.247 289.521 0.611 1219
741.367 289.521 0.612 1235
741.528 289.521 0.612 1235
741.648 289.521 0.612 1235
741.768 289.521 0.612 1252
741.888 289.521 0.612 1268
742.008 289.521 0.611 1268
742.089 289.521 0.612 1268
742.209 289.521 0.612 1284
742.289 289.521 0.612 1284
742.369 289.521 0.613 1284
742.449 289.521 0.613 1300
742.529 289.521 0.613 1317
742.609 289.521 0.613 1317
742.689 289.521 0.613 1317
742.810 289.521 0.614 1333
742.930 289.521 0.614 1333
743.050 289.521 0.613 1349
743.170 289.521 0.613 1349
743.250 289.521 0.614 1365
743.411 289.521 0.613 1365
743.571 289.521 0.614 1381
743.691 289.521 0.614 1381
743.851 289.521 0.614 1381
743.972 289.521 0.614 1398
744.132 289.521 0.614 1398
744.292 289.521 0.614 1398
744.412 289.521 0.614 1414
744.533 289.521 0.614 1430
744.653 289.481 0.614 1430
744.773 289.441 0.615 1430
744.893 289.441 0.615 1447
745.013 289.401 0.615 1463
745.093 289.401 0.616 1463
745.214 289.362 0.615 1463
745.334 289.322 0.615 1479
745.454 289.282 0.614 1479
745.574 289.242 0.614 1479
745.695 289.163 0.614 1496
745.815 289.123 0.614 1496
745.935 289.043 0.614 1512
746.055 289.003 0.614 1512
746.175 288.964 0.615 1512
746.295 288.884 0.615 1528
746.416 288.844 0.616 1545
746.536 288.804 0.616 1545
746.696 288.764 0.615 1545
746.816 288.725 0.616 1561
746.977 288.685 0.616 1561
747.097 288.645 0.616 1561
747.257 288.605 0.616 1577
747.417 288.565 0.616 1594
747.578 288.486 0.616 1594
747.738 288.446 0.616 1594
747.858 288.366 0.616 1610
747.978 288.327 0.616 1610
748.139 288.287 0.616 1626
748.259 288.247 0.616 1626
748.379 288.207 0.616 1642
748.539 288.128 0.616 1642
748.659 288.088 0.616 1642
748.780 288.008 0.616 1659
748.940 287.929 0.616 1659
749.100 287.889 0.616 1675
749.220 287.849 0.616 1675
749.341 287.769 0.616 1675
749.501 287.729 0.616 1691
749.661 287.690 0.616 1708
749.781 287.650 0.616 1708
749.942 287.610 0.616 1708
750.102 287.530 0.617 1724
750.302 287.411 0.617 1724
750.462 287.331 0.616 1724
750.623 287.212 0.615 1740
750.823 287.132 0.615 1757
750.983 287.013 0.615 1757
751.144 286.893 0.615 1757
751.304 286.774 0.615 1773
751.464 286.694 0.616 1789
751.624 286.575 0.614 1789
751.785 286.456 0.615 1789
751.945 286.376 0.616 1805
752.105 286.296 0.615 1805
752.265 286.217 0.616 1805
752.426 286.097 0.616 1822
752.586 286.018 0.615 1822
752.746 285.938 0.614 1838
752.866 285.819 0.614 1838
753.027 285.699 0.615 1854
753.187 285.620 0.615 1854
753.307 285.540 0.615 1870
753.427 285.421 0.614 1870
753.548 285.301 0.615 1870
753.668 285.182 0.614 1887
753.828 285.062 0.614 1887
753.948 284.943 0.614 1887
754.028 284.823 0.614 1903
754.109 284.744 0.616 1919
754.229 284.664 0.615 1919
754.309 284.585 0.616 1919
754.429 284.505 0.616 1935
754.509 284.465 0.616 1952
754.629 284.386 0.615 1952
754.750 284.306 0.616 1952
754.830 284.266 0.616 1968
754.950 284.187 0.616 1968
755.070 284.107 0.617 1968
755.150 283.987 0.616 1984
755.270 283.908 0.616 2000
755.391 283.828 0.616 2000
755.511 283.709 0.615 2000
755.591 283.589 0.616 2017
755.671 283.470 0.616 2017
755.791 283.351 0.615 2033
755.871 283.231 0.616 2033
755.952 283.112 0.617 2033
756.072 282.992 0.615 2049
756.192 282.833 0.616 2049
756.272 282.674 0.616 2066
756.392 282.515 0.617 2066
756.472 282.395 0.616 2082
756.593 282.236 0.616 2082
756.673 282.116 0.617 2082
756.753 281.997 0.616 2098
756.833 281.878 0.616 2114
756.913 281.798 0.616 2114
756.993 281.679 0.617 2114
757.073 281.599 0.616 2131
757.154 281.480 0.617 2131
757.234 281.360 0.617 2131
757.314 281.281 0.617 2147
757.394 281.161 0.618 2163
757.514 281.042 0.617 2163
757.594 280.922 0.617 2163
757.715 280.803 0.618 2180
757.795 280.683 0.617 2180
757.875 280.604 0.617 2196
757.955 280.524 0.618 2196
758.035 280.365 0.618 2196
758.115 280.285 0.618 2212
758.195 280.166 0.618 2228
758.275 280.086 0.618 2228
758.315 279.967 0.618 2228
758.396 279.847 0.618 2244
758.436 279.728 0.618 2244
758.516 279.609 0.618 2244
758.516 279.489 0.619 2261
758.556 279.370 0.618 2277
758.636 279.211 0.619 2277
758.676 279.051 0.619 2277
758.756 278.892 0.619 2293
758.836 278.733 0.619 2293
758.957 278.534 0.619 2309
759.037 278.374 0.619 2309
759.117 278.215 0.619 2325
759.197 278.016 0.618 2325
759.277 277.857 0.619 2325
759.357 277.698 0.619 2342
759.397 277.578 0.619 2342
759.477 277.419 0.619 2358
759.558 277.260 0.619 2358
759.598 277.101 0.619 2358
759.678 276.941 0.619 2374
759.718 276.822 0.619 2390
759.798 276.663 0.619 2390
759.878 276.543 0.619 2390
759.918 276.384 0.619 2406
759.958 276.265 0.619 2406
759.998 276.145 0.619 2406
760.038 275.986 0.620 2423
760.078 275.867 0.620 2439
760.119 275.707 0.620 2439
760.159 275.588 0.620 2439
760.239 275.429 0.621 2455
760.239 275.269 0.621 2471
760.319 275.150 0.621 2471
760.359 274.951 0.621 2472
760.399 274.792 0.621 2487
760.439 274.633 0.621 2487
760.479 274.433 0.622 2488
760.559 274.274 0.621 2503
760.639 274.075 0.622 2520
760.679 273.956 0.622 2520
760.760 273.797 0.621 2521
760.800 273.677 0.622 2536
760.880 273.558 0.622 2536
760.920 273.398 0.622 2552
761.000 273.279 0.623 2552
761.080 273.120 0.623 2568
761.120 273.000 0.623 2568
761.200 272.841 0.624 2568
761.240 272.722 0.624 2584
761.321 272.563 0.623 2584
761.361 272.403 0.624 2600
761.441 272.284 0.624 2600
761.521 272.125 0.624 2600
761.561 272.005 0.624 2616
761.641 271.846 0.624 2632
761.721 271.727 0.624 2632
761.761 271.607 0.625 2632
761.841 271.448 0.625 2648
761.881 271.328 0.626 2648
761.922 271.169 0.627 2665
761.962 271.050 0.627 2665
762.002 270.970 0.628 2681
762.042 270.851 0.629 2681
762.082 270.731 0.629 2681
762.122 270.572 0.630 2697
762.122 270.453 0.630 2697
762.162 270.333 0.630 2714
762.202 270.174 0.631 2714
762.242 270.015 0.632 2714
762.282 269.895 0.632 2730
762.322 269.776 0.633 2746
762.362 269.656 0.633 2746
762.402 269.537 0.634 2746
762.442 269.418 0.635 2762
762.482 269.298 0.634 2762
762.523 269.179 0.635 2762
762.563 269.059 0.635 2778
762.643 268.940 0.635 2795
762.683 268.781 0.635 2795
762.723 268.661 0.635 2795
762.763 268.542 0.636 2811
762.803 268.422 0.636 2827
762.843 268.303 0.637 2827
762.883 268.144 0.638 2827
762.963 268.024 0.639 2843
762.963 267.905 0.640 2843
763.003 267.785 0.641 2843
763.043 267.666 0.642 2860
763.124 267.547 0.642 2860
763.164 267.427 0.642 2876
763.204 267.308 0.643 2876
763.284 267.188 0.643 2892
763.324 267.029 0.643 2892
763.364 266.910 0.644 2909
763.404 266.750 0.644 2909
763.484 266.631 0.644 2909
763.564 266.472 0.645 2925
763.604 266.352 0.645 2925
763.644 266.233 0.645 2925
763.684 266.153 0.645 2941
763.725 266.074 0.645 2957
763.765 265.994 0.645 2957
763.805 265.914 0.645 2957
763.845 265.835 0.646 2973
763.845 265.715 0.646 2973
763.885 265.636 0.646 2989
763.965 265.516 0.646 2989
764.005 265.437 0.646 3005
764.085 265.317 0.646 3005
764.125 265.198 0.647 3022
764.205 265.078 0.646 3022
764.245 264.999 0.646 3022
764.286 264.879 0.647 3038
764.286 264.800 0.647 3038
764.326 264.680 0.647 3038
764.366 264.601 0.647 3054
764.406 264.521 0.647 3070
764.446 264.442 0.647 3070
764.486 264.322 0.647 3070
764.486 264.203 0.647 3087
764.526 264.083 0.647 3103
764.566 263.964 0.647 3103
764.606 263.884 0.647 3103
764.646 263.765 0.647 3119
764.686 263.645 0.648 3119
764.726 263.566 0.647 3119
764.766 263.446 0.647 3135
764.806 263.367 0.647 3152
764.846 263.247 0.647 3152
764.886 263.128 0.647 3152
764.967 263.048 0.647 3168
765.007 262.929 0.647 3168
765.047 262.809 0.647 3184
765.087 262.690 0.647 3184
765.087 262.571 0.647 3200
765.127 262.451 0.648 3200
765.167 262.332 0.647 3200
765.247 262.172 0.648 3220
765.287 262.053 0.648 3221
765.367 261.854 0.647 3236
