% x_coordinate y_coordinate pressure time
% shape 0, 528 points
375.798 372.760 0.035 0
375.798 372.760 0.084 17
375.798 372.760 0.122 17
375.798 372.760 0.157 18
375.798 372.760 0.185 33
375.798 372.760 0.203 33
375.798 372.760 0.218 34
375.798 372.760 0.234 49
375.798 372.760 0.249 65
375.798 372.760 0.266 65
375.798 372.720 0.279 66
375.798 372.720 0.288 81
375.798 372.720 0.296 97
375.798 372.720 0.306 97
375.758 372.720 0.317 97
375.758 372.720 0.326 113
375.758 372.720 0.336 113
375.718 372.641 0.347 129
375.718 372.641 0.357 129
375.718 372.561 0.368 129
375.718 372.521 0.377 145
375.718 372.481 0.385 161
375.718 372.402 0.390 161
375.718 372.362 0.394 161
375.718 372.282 0.398 178
375.718 372.243 0.401 178
375.718 372.203 0.404 178
375.718 372.123 0.406 195
375.718 372.083 0.407 211
375.718 372.004 0.408 211
375.758 371.884 0.411 211
375.798 371.765 0.413 227
375.878 371.725 0.418 227
375.918 371.566 0.423 244
375.998 371.407 0.429 244
376.078 371.208 0.435 244
376.199 371.008 0.440 260
376.319 370.849 0.446 260
376.399 370.650 0.449 276
376.479 370.491 0.452 276
376.559 370.292 0.455 292
376.679 370.172 0.457 292
376.760 370.053 0.457 292
376.840 369.934 0.457 308
377.000 369.814 0.458 308
377.120 369.695 0.458 324
377.240 369.536 0.458 324
377.361 369.376 0.458 340
377.481 369.217 0.458 340
377.641 369.058 0.459 340
377.761 368.899 0.459 357
377.881 368.700 0.460 373
378.002 368.540 0.462 373
378.122 368.421 0.465 373
378.202 368.262 0.466 389
378.282 368.102 0.468 389
378.362 367.943 0.469 389
378.442 367.824 0.470 405
378.523 367.704 0.470 421
378.603 367.625 0.471 421
378.683 367.505 0.471 421
378.803 367.386 0.472 437
378.923 367.306 0.472 453
379.043 367.147 0.472 453
379.164 367.028 0.473 453
379.324 366.908 0.473 469
379.404 366.749 0.473 469
379.524 366.630 0.474 469
379.604 366.470 0.474 485
379.765 366.391 0.474 501
379.845 366.271 0.475 501
379.885 366.192 0.476 501
379.965 366.112 0.477 517
380.045 366.032 0.478 517
380.125 365.953 0.479 533
380.165 365.873 0.480 533
380.285 365.794 0.481 533
380.366 365.714 0.481 550
380.486 365.555 0.483 566
380.606 365.475 0.483 566
380.686 365.356 0.484 566
380.806 365.276 0.485 582
380.886 365.157 0.486 582
380.967 365.077 0.487 582
381.047 364.958 0.487 598
381.127 364.878 0.488 614
381.207 364.838 0.489 614
381.287 364.759 0.489 614
381.367 364.679 0.489 630
381.487 364.599 0.489 630
381.568 364.560 0.489 646
381.688 364.440 0.489 646
381.768 364.360 0.489 646
381.888 364.281 0.489 662
381.968 364.201 0.490 678
382.088 364.082 0.490 678
382.169 364.002 0.491 678
382.249 363.923 0.492 695
382.329 363.843 0.494 695
382.449 363.763 0.495 695
382.529 363.684 0.496 712
382.569 363.604 0.497 728
382.689 363.564 0.497 728
382.810 363.525 0.498 728
382.890 363.445 0.498 744
382.970 363.405 0.499 760
383.050 363.326 0.500 760
383.130 363.206 0.500 760
383.210 363.126 0.501 776
383.290 363.047 0.502 776
383.411 363.007 0.504 776
383.491 362.967 0.506 792
383.531 362.888 0.509 792
383.611 362.848 0.511 808
383.651 362.808 0.514 808
383.691 362.728 0.516 824
383.731 362.689 0.518 824
383.811 362.649 0.519 840
383.851 362.609 0.519 840
383.932 362.569 0.520 840
383.972 362.529 0.520 856
384.052 362.490 0.521 856
384.132 362.410 0.520 872
384.212 362.370 0.521 872
384.332 362.290 0.521 888
384.452 362.251 0.522 888
384.573 362.171 0.522 888
384.693 362.091 0.522 904
384.853 362.052 0.522 920
384.933 361.972 0.523 920
385.053 361.892 0.524 920
385.134 361.813 0.525 937
385.254 361.773 0.526 937
385.334 361.733 0.527 953
385.414 361.693 0.528 953
385.494 361.693 0.529 969
385.614 361.574 0.529 969
385.775 361.534 0.529 969
385.855 361.534 0.529 986
386.015 361.494 0.529 986
386.135 361.454 0.530 1002
386.255 361.415 0.530 1002
386.416 361.375 0.530 1002
386.536 361.335 0.531 1018
386.656 361.255 0.532 1018
386.816 361.216 0.533 1034
386.937 361.136 0.535 1034
387.057 361.096 0.537 1050
387.177 361.017 0.539 1050
387.257 360.977 0.541 1050
387.377 360.937 0.543 1066
387.497 360.937 0.543 1083
387.618 360.857 0.543 1083
387.738 360.857 0.543 1083
387.858 360.818 0.544 1099
387.978 360.818 0.544 1099
388.098 360.778 0.544 1099
388.179 360.738 0.545 1115
388.299 360.698 0.545 1131
388.419 360.658 0.545 1131
388.539 360.618 0.547 1131
388.619 360.579 0.547 1147
388.740 360.539 0.548 1163
388.820 360.499 0.550 1163
388.940 360.499 0.552 1163
389.020 360.459 0.552 1179
389.140 360.459 0.553 1179
389.260 360.459 0.553 1195
389.341 360.459 0.553 1195
389.421 360.459 0.553 1195
389.541 360.459 0.553 1211
389.661 360.499 0.554 1227
389.781 360.499 0.554 1227
389.901 360.499 0.554 1227
390.022 360.499 0.555 1243
390.142 360.499 0.554 1243
390.262 360.459 0.554 1243
390.382 360.419 0.556 1259
390.503 360.380 0.556 1276
390.623 360.380 0.556 1276
390.743 360.340 0.557 1276
390.863 360.300 0.557 1292
390.983 360.300 0.558 1292
391.104 360.260 0.559 1308
391.184 360.260 0.559 1308
391.304 360.260 0.559 1308
391.384 360.260 0.560 1325
391.504 360.220 0.560 1325
391.624 360.220 0.560 1325
391.705 360.220 0.561 1341
391.825 360.181 0.560 1357
391.945 360.181 0.561 1357
392.065 360.141 0.561 1357
392.225 360.101 0.562 1374
392.346 360.101 0.563 1390
392.546 360.061 0.564 1390
392.706 360.021 0.564 1390
392.826 360.021 0.565 1406
392.987 359.982 0.566 1406
393.107 359.982 0.566 1422
393.227 359.982 0.566 1422
393.347 360.021 0.566 1439
393.427 360.021 0.566 1439
393.548 360.021 0.567 1439
393.628 360.061 0.567 1455
393.748 360.061 0.567 1455
393.828 360.101 0.567 1471
393.948 360.141 0.567 1471
394.028 360.181 0.567 1471
394.149 360.220 0.567 1487
394.229 360.260 0.567 1504
394.349 360.260 0.568 1504
394.469 360.300 0.567 1504
394.589 360.300 0.567 1520
394.710 360.300 0.568 1520
394.830 360.340 0.568 1520
394.950 360.340 0.568 1537
395.030 360.380 0.568 1553
395.150 360.380 0.568 1553
395.270 360.419 0.568 1553
395.391 360.459 0.568 1569
395.471 360.499 0.568 1569
395.591 360.579 0.568 1585
395.711 360.618 0.568 1585
395.791 360.698 0.569 1585
395.952 360.778 0.570 1601
396.032 360.897 0.570 1617
396.152 360.977 0.570 1617
396.272 361.056 0.570 1617
396.432 361.136 0.570 1634
396.553 361.216 0.570 1634
396.673 361.295 0.570 1634
396.753 361.375 0.570 1650
396.873 361.454 0.570 1666
396.993 361.534 0.570 1666
397.073 361.614 0.570 1666
397.194 361.733 0.570 1682
397.314 361.773 0.571 1682
397.434 361.853 0.570 1699
397.554 361.932 0.571 1699
397.674 362.012 0.571 1715
397.795 362.091 0.571 1715
397.875 362.171 0.571 1715
397.995 362.290 0.571 1731
398.075 362.370 0.571 1731
398.195 362.490 0.571 1747
398.275 362.569 0.571 1747
398.356 362.649 0.572 1747
398.436 362.768 0.572 1763
398.516 362.848 0.571 1780
398.636 362.967 0.572 1780
398.716 363.047 0.572 1780
398.756 363.206 0.572 1796
398.836 363.326 0.573 1796
398.876 363.405 0.572 1796
398.957 363.525 0.572 1812
399.037 363.644 0.572 1828
399.117 363.763 0.573 1828
399.197 363.843 0.573 1828
399.237 363.962 0.573 1844
399.317 364.082 0.573 1861
399.357 364.201 0.573 1861
399.437 364.321 0.574 1861
399.477 364.400 0.573 1877
399.518 364.520 0.574 1877
399.558 364.639 0.574 1877
399.638 364.759 0.574 1893
399.678 364.838 0.574 1893
399.718 364.958 0.574 1909
399.798 365.077 0.574 1909
399.798 365.196 0.574 1925
399.878 365.276 0.574 1925
399.918 365.395 0.574 1942
399.958 365.555 0.574 1942
399.958 365.634 0.574 1942
399.998 365.754 0.574 1958
400.038 365.873 0.574 1958
400.038 365.993 0.574 1958
400.078 366.072 0.575 1974
400.119 366.192 0.575 1990
400.119 366.311 0.575 1990
400.159 366.431 0.575 1990
400.199 366.510 0.575 2006
400.239 366.630 0.575 2023
400.239 366.749 0.575 2023
400.279 366.749 0.575 2023
400.279 366.868 0.575 2039
400.319 366.988 0.575 2039
400.319 367.107 0.575 2039
400.359 367.227 0.575 2055
400.399 367.386 0.575 2071
400.399 367.505 0.575 2071
400.439 367.625 0.576 2071
400.439 367.744 0.575 2088
400.439 367.903 0.575 2088
400.479 368.023 0.576 2104
400.479 368.142 0.576 2104
400.479 368.262 0.576 2104
400.479 368.381 0.576 2120
400.479 368.540 0.576 2120
400.479 368.660 0.576 2136
400.479 368.779 0.576 2136
400.479 368.938 0.576 2152
400.479 369.058 0.576 2152
400.479 369.177 0.577 2152
400.479 369.297 0.577 2169
400.479 369.416 0.577 2185
400.479 369.575 0.577 2185
400.479 369.695 0.577 2185
400.479 369.854 0.577 2201
400.479 369.973 0.577 2201
400.479 370.172 0.577 2201
400.479 370.332 0.577 2218
400.439 370.491 0.577 2234
400.399 370.650 0.577 2234
400.399 370.809 0.577 2234
400.359 370.969 0.577 2250
400.319 371.088 0.577 2250
400.279 371.247 0.578 2266
400.279 371.407 0.578 2266
400.239 371.566 0.578 2282
400.199 371.685 0.578 2282
400.159 371.844 0.578 2282
400.119 371.964 0.578 2299
400.078 372.123 0.578 2299
