% x_coordinate y_coordinate pressure time
% shape 0, 1240 points
818.856 115.718 0.085 0
818.856 115.718 0.124 0
818.856 115.718 0.159 1
818.856 115.678 0.191 16
818.856 115.638 0.216 16
818.856 115.638 0.232 32
818.776 115.598 0.250 33
818.656 115.598 0.272 33
818.536 115.598 0.287 48
818.416 115.598 0.302 64
818.255 115.598 0.315 64
818.055 115.598 0.324 64
817.895 115.638 0.332 80
817.735 115.718 0.340 96
817.574 115.757 0.348 96
817.414 115.837 0.356 96
817.294 115.877 0.364 112
817.134 115.917 0.371 112
816.973 115.957 0.379 112
816.813 115.996 0.388 128
816.693 116.036 0.397 145
816.573 116.036 0.404 145
816.452 116.036 0.412 145
816.292 116.076 0.418 161
816.172 116.076 0.425 161
816.052 116.076 0.430 177
815.932 116.116 0.435 177
815.771 116.116 0.439 177
815.611 116.156 0.443 193
815.451 116.156 0.447 193
815.250 116.195 0.453 209
815.090 116.195 0.457 209
814.930 116.235 0.459 225
814.730 116.275 0.462 225
814.569 116.275 0.464 225
814.409 116.275 0.466 241
814.249 116.315 0.469 257
814.088 116.315 0.475 257
813.928 116.315 0.479 257
813.768 116.315 0.484 273
813.608 116.315 0.487 289
813.447 116.315 0.491 289
813.287 116.315 0.494 289
813.167 116.315 0.496 306
813.007 116.315 0.498 306
812.886 116.315 0.498 306
812.766 116.355 0.499 322
812.646 116.394 0.499 322
812.526 116.434 0.499 338
812.406 116.474 0.500 338
812.326 116.514 0.500 338
812.205 116.514 0.500 354
812.125 116.554 0.500 370
812.005 116.554 0.500 370
811.885 116.593 0.501 370
811.805 116.633 0.501 386
811.644 116.673 0.502 386
811.524 116.713 0.501 386
811.364 116.753 0.502 403
811.204 116.832 0.502 419
811.083 116.872 0.502 419
810.963 116.912 0.502 419
810.843 116.952 0.503 435
810.683 116.992 0.502 451
810.523 117.111 0.502 451
810.402 117.151 0.502 451
810.242 117.230 0.503 468
810.082 117.310 0.503 468
809.962 117.350 0.504 484
809.801 117.390 0.504 484
809.681 117.429 0.505 484
809.521 117.509 0.505 500
809.401 117.549 0.505 500
809.240 117.628 0.505 516
809.120 117.708 0.505 516
809.000 117.788 0.504 532
808.880 117.867 0.504 532
808.760 117.987 0.504 532
808.639 118.066 0.504 548
808.479 118.186 0.504 565
808.319 118.305 0.505 565
808.159 118.425 0.505 565
807.998 118.584 0.505 581
807.838 118.703 0.505 581
807.638 118.823 0.505 581
807.477 118.942 0.505 597
807.277 119.062 0.505 597
807.117 119.181 0.505 613
806.957 119.261 0.505 613
806.796 119.420 0.505 629
806.636 119.499 0.505 629
806.436 119.619 0.505 645
806.275 119.738 0.505 645
806.115 119.858 0.505 645
805.915 119.937 0.505 662
805.755 120.057 0.505 678
805.594 120.176 0.505 678
805.394 120.296 0.505 678
805.194 120.375 0.505 694
805.073 120.534 0.505 694
804.913 120.654 0.505 694
804.753 120.773 0.505 710
804.633 120.893 0.505 727
804.472 121.012 0.505 727
804.352 121.092 0.505 727
804.192 121.211 0.505 743
804.032 121.291 0.506 743
803.911 121.410 0.505 759
803.751 121.490 0.505 759
803.591 121.609 0.505 775
803.431 121.729 0.505 775
803.311 121.808 0.505 775
803.150 121.888 0.505 791
802.990 122.007 0.505 791
802.830 122.127 0.505 808
802.629 122.246 0.506 808
802.429 122.366 0.505 808
802.229 122.525 0.506 824
802.068 122.644 0.505 840
801.868 122.764 0.505 840
801.668 122.923 0.505 840
801.508 123.042 0.505 856
801.307 123.202 0.506 856
801.107 123.281 0.505 856
800.907 123.401 0.505 873
800.746 123.480 0.506 889
800.586 123.600 0.505 889
800.426 123.679 0.505 889
800.265 123.799 0.505 905
800.145 123.918 0.505 921
799.985 124.038 0.505 921
799.825 124.157 0.505 921
799.624 124.316 0.505 937
799.464 124.436 0.505 937
799.264 124.555 0.505 937
799.104 124.714 0.505 954
798.943 124.874 0.505 954
798.783 124.993 0.505 970
798.623 125.112 0.505 970
798.503 125.232 0.505 986
798.382 125.351 0.505 986
798.262 125.431 0.506 1002
798.142 125.550 0.505 1002
797.982 125.670 0.505 1002
797.861 125.789 0.505 1019
797.661 125.909 0.506 1019
797.501 126.068 0.506 1019
797.300 126.227 0.506 1035
797.100 126.386 0.506 1051
796.860 126.506 0.505 1051
796.659 126.665 0.505 1051
796.459 126.824 0.506 1067
796.299 126.944 0.505 1083
796.099 127.063 0.505 1083
795.938 127.182 0.506 1083
795.738 127.302 0.505 1099
795.578 127.421 0.506 1099
795.457 127.541 0.505 1099
795.297 127.660 0.506 1116
795.177 127.740 0.505 1132
795.017 127.859 0.505 1132
794.896 127.979 0.506 1132
794.736 128.098 0.505 1148
794.616 128.217 0.506 1148
794.496 128.417 0.505 1165
794.336 128.576 0.505 1165
