% x_coordinate y_coordinate pressure time
% shape 0, 193 points
1131.417 184.984 0.375 275
1131.658 184.905 0.377 292
1131.898 184.825 0.378 292
1132.099 184.785 0.378 292
1132.339 184.705 0.379 308
1132.539 184.666 0.379 324
1132.699 184.626 0.379 324
1132.900 184.586 0.379 324
1133.020 184.546 0.380 340
1133.220 184.506 0.380 340
1133.381 184.467 0.382 340
1133.541 184.387 0.384 356
1133.741 184.347 0.386 356
1133.901 184.307 0.387 373
1134.102 184.268 0.388 373
1134.262 184.228 0.388 389
1134.422 184.228 0.389 389
1134.623 184.188 0.389 405
1134.823 184.188 0.389 405
1135.023 184.108 0.389 405
1135.224 184.069 0.390 421
1135.424 183.989 0.390 421
1135.664 183.949 0.391 421
1135.865 183.790 0.391 438
1136.025 183.671 0.392 454
1136.225 183.591 0.392 454
1136.386 183.511 0.391 454
1136.546 183.392 0.392 470
1136.666 183.312 0.392 486
1136.786 183.272 0.392 486
1136.947 183.233 0.392 486
1137.067 183.193 0.392 503
1137.187 183.113 0.392 503
1137.347 183.073 0.392 503
1137.507 182.994 0.392 519
1137.668 182.914 0.393 535
1137.868 182.795 0.393 535
1138.028 182.715 0.393 535
1138.189 182.596 0.393 551
1138.349 182.516 0.393 551
1138.549 182.397 0.393 568
1138.750 182.317 0.393 568
1138.910 182.198 0.393 568
1139.070 182.118 0.393 584
1139.230 182.038 0.394 584
1139.431 181.959 0.394 600
1139.591 181.879 0.394 600
1139.751 181.799 0.393 616
1139.911 181.720 0.394 616
1140.032 181.680 0.393 616
1140.192 181.640 0.394 632
1140.312 181.600 0.394 648
1140.432 181.521 0.394 648
1140.553 181.401 0.393 648
1140.673 181.322 0.393 664
1140.793 181.242 0.394 680
1140.953 181.123 0.394 680
1141.073 181.003 0.394 680
1141.234 180.884 0.394 696
1141.354 180.764 0.395 696
1141.474 180.645 0.395 696
1141.554 180.565 0.394 712
1141.675 180.486 0.395 712
1141.755 180.366 0.395 728
1141.835 180.287 0.395 728
1141.915 180.207 0.395 745
1141.995 180.167 0.395 745
1142.075 180.088 0.394 761
1142.195 180.048 0.395 761
1142.275 179.968 0.395 761
1142.356 179.889 0.395 777
1142.476 179.809 0.395 777
1142.556 179.729 0.395 793
1142.636 179.650 0.395 793
1142.716 179.570 0.395 809
1142.796 179.451 0.395 809
1142.836 179.371 0.395 809
1142.917 179.292 0.395 825
1143.037 179.212 0.395 841
1143.077 179.093 0.395 841
1143.157 178.973 0.395 841
1143.237 178.893 0.396 857
1143.317 178.854 0.396 857
1143.357 178.774 0.396 857
1143.397 178.694 0.395 873
1143.477 178.615 0.396 889
1143.558 178.575 0.395 889
1143.638 178.495 0.396 889
1143.758 178.456 0.396 905
1143.838 178.376 0.396 905
1143.958 178.296 0.396 922
1144.038 178.257 0.396 922
1144.078 178.177 0.395 938
