% x_coordinate y_coordinate pressure time
% shape 0, 794 points

754.947 220.850 0.410 274
754.906 220.969 0.413 274
754.786 221.129 0.416 290
754.706 221.248 0.422 290
754.626 221.407 0.430 306
754.506 221.567 0.437 306
754.426 221.726 0.445 306
754.346 221.925 0.451 322
754.265 222.124 0.457 322
754.185 222.402 0.460 339
754.065 222.641 0.463 339
753.945 222.880 0.465 355
753.825 223.159 0.468 355
753.664 223.398 0.469 355
753.584 223.676 0.471 371
753.464 223.955 0.474 387
753.344 224.234 0.476 387
753.224 224.552 0.478 387
753.144 224.791 0.482 404
753.023 225.030 0.485 404
752.943 225.269 0.487 404
752.863 225.508 0.489 420
752.783 225.746 0.490 436
752.663 226.025 0.491 436
752.583 226.264 0.492 436
752.503 226.463 0.492 453
752.462 226.702 0.492 453
752.382 226.941 0.493 469
752.302 227.140 0.493 469
752.262 227.339 0.493 469
752.182 227.538 0.493 485
752.102 227.697 0.493 502
752.022 227.856 0.494 502
751.942 228.016 0.494 502
751.901 228.215 0.494 518
751.821 228.374 0.494 518
751.741 228.573 0.494 518
751.701 228.772 0.495 534
751.621 229.051 0.495 550
751.541 229.210 0.495 550
751.501 229.449 0.495 550
751.421 229.608 0.496 566
751.381 229.807 0.495 566
751.341 229.966 0.496 583
751.300 230.165 0.496 583
751.260 230.324 0.496 599
751.220 230.484 0.496 599
751.140 230.643 0.496 599
751.100 230.802 0.496 615
751.100 231.001 0.496 615
751.020 231.160 0.496 632
750.980 231.399 0.496 632
750.900 231.558 0.497 632
750.860 231.757 0.497 648
750.780 231.956 0.497 664
750.740 232.116 0.498 664
750.659 232.275 0.498 664
750.619 232.434 0.499 680
750.539 232.593 0.499 680
750.499 232.753 0.499 680
750.459 232.912 0.500 696
750.419 233.031 0.500 713
750.379 233.191 0.500 713
750.339 233.350 0.500 713
750.339 233.509 0.500 729
750.299 233.708 0.501 745
750.259 233.827 0.501 745
750.219 233.987 0.501 745
750.179 234.106 0.502 761
750.179 234.265 0.502 761
750.139 234.425 0.502 761
750.099 234.544 0.502 777
750.018 234.703 0.502 777
749.978 234.823 0.502 793
749.938 234.982 0.503 793
749.898 235.101 0.503 810
749.858 235.221 0.503 810
749.818 235.340 0.503 826
749.778 235.460 0.503 826
749.738 235.579 0.503 826
749.698 235.698 0.504 842
749.658 235.818 0.503 842
749.618 235.977 0.504 842
749.578 236.097 0.504 858
749.538 236.216 0.504 874
749.497 236.335 0.505 874
749.457 236.455 0.506 874
749.417 236.574 0.507 890
749.377 236.694 0.509 906
749.297 236.813 0.510 906
749.257 236.933 0.511 906
749.257 237.052 0.512 922
749.217 237.211 0.513 922
749.177 237.291 0.513 922
749.097 237.450 0.514 938
749.097 237.569 0.514 955
749.057 237.689 0.515 955
749.017 237.808 0.515 955
748.977 237.928 0.516 971
748.937 238.047 0.516 971
748.896 238.206 0.517 987
748.856 238.326 0.516 987
748.776 238.445 0.517 987
748.736 238.565 0.517 1004
748.696 238.644 0.517 1004
748.656 238.764 0.518 1020
748.616 238.843 0.518 1020
748.576 238.923 0.518 1036
748.536 239.042 0.519 1036
748.496 239.122 0.519 1036
748.456 239.241 0.520 1052
748.416 239.361 0.521 1068
748.376 239.480 0.522 1068
748.336 239.600 0.522 1068
748.295 239.719 0.523 1085
748.255 239.839 0.523 1101
748.175 239.958 0.523 1101
748.135 240.077 0.523 1101
748.095 240.197 0.523 1117
748.055 240.316 0.524 1117
748.015 240.475 0.524 1117
748.015 240.555 0.524 1133
747.975 240.675 0.525 1133
747.935 240.834 0.525 1149
747.895 240.953 0.525 1149
747.855 241.073 0.525 1165
747.815 241.192 0.525 1165
747.775 241.311 0.526 1181
747.735 241.431 0.526 1181
747.695 241.550 0.526 1181
747.695 241.670 0.527 1198
747.654 241.789 0.527 1198
747.574 241.909 0.527 1198
747.534 242.068 0.529 1214
747.494 242.187 0.528 1230
747.454 242.346 0.528 1230
747.374 242.466 0.529 1230
747.334 242.625 0.529 1246
747.294 242.824 0.529 1263
747.214 242.944 0.530 1263
747.174 243.063 0.529 1263
747.093 243.222 0.530 1279
747.053 243.342 0.530 1279
747.053 243.421 0.530 1279
747.013 243.541 0.530 1295
746.933 243.620 0.531 1311
746.893 243.740 0.531 1311
746.853 243.859 0.532 1311
746.813 243.979 0.533 1327
746.733 244.098 0.534 1327
746.693 244.217 0.537 1343
746.653 244.337 0.538 1343
746.573 244.496 0.540 1343
746.533 244.616 0.541 1360
746.452 244.735 0.541 1360
746.412 244.894 0.542 1376
746.372 245.053 0.543 1376
746.332 245.173 0.543 1392
746.292 245.292 0.543 1392
746.212 245.412 0.543 1392
746.172 245.491 0.543 1408
746.132 245.651 0.544 1424
746.092 245.730 0.544 1424
746.052 245.850 0.544 1424
746.012 245.969 0.546 1441
745.972 246.088 0.545 1441
745.932 246.208 0.545 1457
745.891 246.327 0.546 1457
745.851 246.447 0.546 1457
745.771 246.566 0.546 1473
745.731 246.646 0.547 1473
745.731 246.765 0.548 1489
745.691 246.845 0.549 1489
745.651 246.964 0.550 1505
745.611 247.044 0.551 1505
745.571 247.123 0.553 1505
745.571 247.243 0.554 1521
745.531 247.402 0.555 1538
745.491 247.482 0.557 1538
745.451 247.601 0.557 1538
745.411 247.681 0.558 1554
745.411 247.800 0.559 1554
745.371 247.880 0.560 1554
745.371 247.959 0.561 1570
745.331 248.039 0.562 1586
745.250 248.159 0.563 1586
745.250 248.238 0.565 1586
745.210 248.318 0.565 1603
745.170 248.397 0.565 1603
745.170 248.517 0.566 1619
745.130 248.596 0.567 1619
745.090 248.716 0.567 1635
745.090 248.795 0.568 1635
745.050 248.915 0.568 1635
745.050 248.994 0.568 1651
745.010 249.114 0.570 1651
744.970 249.194 0.570 1667
744.930 249.313 0.570 1667
744.890 249.432 0.571 1667
744.850 249.552 0.571 1683
744.850 249.671 0.571 1700
744.810 249.791 0.572 1700
744.770 249.870 0.572 1700
744.770 249.990 0.572 1716
744.730 250.109 0.573 1732
744.730 250.189 0.574 1732
744.689 250.308 0.574 1732
744.689 250.428 0.575 1749
744.649 250.507 0.575 1749
744.609 250.666 0.576 1749
744.569 250.746 0.577 1765
744.529 250.865 0.577 1765
744.489 251.025 0.578 1781
744.449 251.144 0.580 1781
744.409 251.264 0.580 1797
744.369 251.383 0.581 1797
744.329 251.502 0.580 1813
744.289 251.622 0.582 1813
744.249 251.741 0.582 1813
744.169 251.861 0.581 1829
744.129 252.020 0.583 1829
744.089 252.139 0.583 1846
744.048 252.259 0.583 1846
744.008 252.378 0.583 1862
743.968 252.498 0.583 1862
743.888 252.617 0.583 1862
743.848 252.736 0.584 1878
743.808 252.856 0.584 1894
743.768 252.975 0.584 1894
743.728 253.095 0.585 1894
743.648 253.214 0.584 1911
743.608 253.294 0.585 1911
743.528 253.413 0.587 1927
743.487 253.533 0.586 1927
743.447 253.652 0.587 1927
743.327 253.771 0.588 1943
743.287 253.891 0.589 1943
743.207 254.050 0.591 1943
743.167 254.170 0.591 1959
743.087 254.329 0.592 1975
743.047 254.488 0.594 1975
743.007 254.607 0.595 1975
742.967 254.727 0.595 1991
742.927 254.846 0.596 2008
742.886 254.966 0.596 2008
742.846 255.085 0.596 2008
742.806 255.205 0.598 2024
742.806 255.284 0.598 2024
742.726 255.404 0.598 2024
742.686 255.483 0.599 2040
742.646 255.603 0.600 2056
742.646 255.722 0.600 2056
742.606 255.802 0.602 2056
742.526 255.921 0.602 2072
742.526 256.041 0.603 2072
742.486 256.120 0.603 2089
742.446 256.240 0.603 2089
742.406 256.319 0.604 2105
742.366 256.399 0.605 2105
742.326 256.558 0.606 2105
742.285 256.638 0.607 2121
742.245 256.717 0.607 2121
742.205 256.837 0.608 2137
742.125 256.916 0.610 2137
742.085 256.996 0.610 2137
742.005 257.115 0.611 2153
741.965 257.195 0.612 2170
741.885 257.314 0.613 2170
741.805 257.394 0.614 2170
741.765 257.513 0.615 2186
741.684 257.633 0.615 2202
741.644 257.752 0.616 2202
741.564 257.912 0.616 2202
741.484 258.031 0.617 2218
741.444 258.150 0.617 2218
741.364 258.270 0.617 2218
741.324 258.389 0.618 2234
741.204 258.509 0.618 2234
741.124 258.668 0.618 2250
741.083 258.827 0.618 2250
741.043 258.947 0.620 2266
740.963 259.106 0.620 2266
740.923 259.225 0.621 2283
740.843 259.384 0.622 2283
740.803 259.544 0.622 2283
740.763 259.663 0.623 2299
740.723 259.783 0.623 2299
740.683 259.902 0.622 2315
740.643 260.021 0.624 2315
740.563 260.141 0.624 2331
740.523 260.260 0.624 2331
740.482 260.419 0.625 2331
740.402 260.539 0.625 2347
740.362 260.698 0.625 2363
740.282 260.818 0.626 2363
740.242 260.977 0.626 2363
740.162 261.176 0.626 2379
740.122 261.295 0.627 2379
740.042 261.454 0.626 2379
740.002 261.574 0.627 2395
739.962 261.693 0.627 2412
739.922 261.813 0.627 2412
739.881 261.932 0.627 2412
739.881 262.052 0.628 2428
739.841 262.171 0.627 2444
739.801 262.290 0.628 2444
739.761 262.370 0.628 2444
739.721 262.490 0.629 2461
739.681 262.569 0.630 2461
739.641 262.689 0.629 2461
739.601 262.768 0.630 2477
739.601 262.888 0.630 2477
739.561 263.007 0.630 2493
739.521 263.087 0.630 2493
739.481 263.206 0.630 2493
739.441 263.325 0.630 2509
739.401 263.445 0.631 2525
739.361 263.564 0.631 2525
739.321 263.644 0.631 2525
739.240 263.724 0.632 2542
739.200 263.843 0.632 2542
739.160 263.923 0.633 2542
739.160 264.002 0.634 2558
739.120 264.122 0.634 2574
739.080 264.241 0.635 2574
739.040 264.361 0.634 2574
739.000 264.480 0.634 2590
738.960 264.599 0.636 2590
738.880 264.679 0.635 2607
738.840 264.798 0.635 2607
738.800 264.918 0.636 2623
738.800 264.997 0.636 2623
738.760 265.117 0.636 2623
738.720 265.196 0.636 2639
738.680 265.316 0.636 2639
738.639 265.435 0.636 2655
738.599 265.555 0.638 2655
738.559 265.634 0.637 2655
738.519 265.794 0.638 2671
738.479 265.913 0.638 2688
738.479 266.032 0.638 2688
738.439 266.112 0.638 2688
738.359 266.232 0.638 2704
738.359 266.351 0.638 2704
738.319 266.431 0.638 2704
738.279 266.550 0.638 2720
738.239 266.669 0.638 2736
738.199 266.789 0.638 2736
738.159 266.908 0.638 2736
738.119 267.028 0.638 2753
738.078 267.147 0.639 2769
737.998 267.267 0.639 2769
737.998 267.386 0.639 2769
737.958 267.505 0.639 2785
737.878 267.625 0.639 2785
737.878 267.704 0.639 2785
737.798 267.824 0.639 2801
737.758 267.903 0.639 2801
737.718 268.063 0.640 2817
737.678 268.182 0.639 2817
737.638 268.301 0.639 2834
737.598 268.421 0.640 2834
737.558 268.540 0.640 2850
737.518 268.620 0.640 2850
737.437 268.739 0.640 2850
