% x_coordinate y_coordinate pressure time
% shape 0, 670 points

707.831 184.905 0.330 485
707.992 184.785 0.331 485
708.192 184.626 0.331 501
708.352 184.506 0.332 518
708.513 184.347 0.333 518
708.753 184.228 0.333 518
708.873 184.108 0.333 534
709.033 183.989 0.333 534
709.194 183.870 0.334 550
709.354 183.750 0.334 550
709.514 183.631 0.335 550
709.674 183.511 0.335 566
709.875 183.392 0.335 566
710.035 183.312 0.335 582
710.195 183.153 0.335 582
710.315 183.073 0.335 599
710.476 182.994 0.336 599
710.596 182.874 0.336 599
710.756 182.755 0.336 615
710.876 182.635 0.337 631
711.037 182.516 0.337 631
711.197 182.397 0.337 631
711.357 182.237 0.338 648
711.558 182.118 0.338 648
711.718 181.959 0.338 648
711.878 181.839 0.338 664
712.038 181.720 0.339 680
712.199 181.561 0.339 680
712.359 181.441 0.339 680
712.519 181.322 0.339 696
712.719 181.163 0.339 696
712.880 181.003 0.340 712
713.080 180.844 0.340 712
713.240 180.685 0.340 729
713.441 180.526 0.340 729
713.601 180.406 0.340 729
713.761 180.287 0.340 745
713.881 180.207 0.340 745
714.042 180.088 0.340 761
714.202 179.968 0.340 761
714.402 179.889 0.340 761
714.523 179.769 0.340 777
714.683 179.650 0.340 794
714.803 179.530 0.340 794
714.963 179.451 0.340 794
715.124 179.331 0.341 810
715.284 179.172 0.340 810
715.444 179.053 0.341 810
715.564 178.933 0.341 826
715.725 178.814 0.341 843
715.885 178.655 0.341 843
716.005 178.456 0.341 843
716.165 178.336 0.341 859
716.326 178.177 0.341 859
716.446 178.018 0.341 875
716.606 177.858 0.341 875
716.726 177.659 0.341 891
716.846 177.460 0.341 891
717.007 177.261 0.341 891
717.167 177.102 0.341 908
717.327 176.903 0.341 908
717.487 176.704 0.341 924
717.608 176.505 0.341 924
717.768 176.306 0.341 924
717.888 176.107 0.341 940
718.048 175.908 0.342 956
718.209 175.709 0.341 956
718.369 175.510 0.341 956
718.529 175.351 0.341 973
718.690 175.151 0.341 973
718.850 174.952 0.342 973
719.010 174.753 0.341 989
719.130 174.554 0.341 1005
719.250 174.355 0.342 1005
719.411 174.196 0.342 1005
719.531 173.957 0.342 1022
719.651 173.758 0.342 1038
719.771 173.559 0.342 1038
719.891 173.360 0.342 1038
720.012 173.161 0.342 1054
720.132 172.962 0.342 1054
720.212 172.723 0.342 1054
720.332 172.524 0.342 1070
720.452 172.325 0.342 1070
720.573 172.126 0.342 1086
720.693 171.967 0.342 1086
720.813 171.728 0.342 1103
720.933 171.529 0.342 1103
721.013 171.370 0.342 1119
721.134 171.171 0.343 1119
721.214 171.011 0.344 1119
721.334 170.812 0.346 1135
721.454 170.613 0.347 1135
721.534 170.414 0.349 1135
721.654 170.175 0.351 1151
721.775 169.937 0.353 1168
721.975 169.698 0.355 1168
722.095 169.419 0.356 1168
722.215 169.180 0.357 1184
722.296 168.941 0.358 1200
722.416 168.703 0.359 1200
722.536 168.424 0.360 1200
722.616 168.185 0.361 1217
722.736 167.906 0.361 1217
722.856 167.668 0.362 1217
722.977 167.389 0.362 1233
723.057 167.070 0.362 1249
723.177 166.832 0.363 1249
723.337 166.553 0.363 1249
723.417 166.314 0.363 1265
723.578 166.075 0.364 1265
723.658 165.797 0.364 1282
723.778 165.558 0.365 1282
723.898 165.319 0.366 1282
723.978 165.040 0.366 1298
724.099 164.801 0.366 1298
724.219 164.602 0.367 1314
724.299 164.363 0.367 1314
724.379 164.164 0.367 1330
724.499 163.926 0.367 1330
724.579 163.727 0.367 1330
724.659 163.488 0.367 1346
724.740 163.289 0.367 1363
724.820 163.090 0.368 1363
724.940 162.891 0.368 1363
725.020 162.652 0.368 1379
725.100 162.413 0.369 1379
725.220 162.214 0.370 1379
725.301 161.975 0.370 1395
725.421 161.776 0.370 1412
725.501 161.537 0.370 1412
725.581 161.338 0.370 1412
725.661 161.179 0.370 1428
725.741 160.980 0.370 1428
725.821 160.781 0.370 1444
725.901 160.621 0.370 1444
725.982 160.422 0.370 1460
726.062 160.223 0.370 1460
726.142 160.064 0.370 1460
726.182 159.905 0.370 1477
726.262 159.746 0.371 1477
726.302 159.586 0.371 1493
726.382 159.427 0.371 1493
726.422 159.268 0.372 1493
726.503 159.149 0.372 1509
726.543 158.989 0.373 1526
726.623 158.830 0.373 1526
726.663 158.671 0.373 1526
726.743 158.512 0.374 1542
