% x_coordinate y_coordinate pressure time
% shape 0, 1330 points
1093.194 115.280 0.077 0
1093.114 115.280 0.106 0
1093.033 115.280 0.147 16
1092.993 115.280 0.176 16
1092.913 115.280 0.206 32
1092.833 115.280 0.231 32
1092.753 115.280 0.259 49
1092.673 115.280 0.294 49
1092.553 115.280 0.325 49
1092.432 115.280 0.349 65
1092.312 115.280 0.372 81
1092.192 115.280 0.389 81
1092.072 115.280 0.409 81
1092.072 115.280 0.426 97
1091.911 115.280 0.436 97
1091.751 115.280 0.444 97
1091.591 115.280 0.449 113
1091.391 115.280 0.455 130
1091.190 115.280 0.460 130
1090.990 115.280 0.468 130
1090.750 115.280 0.474 146
1090.469 115.359 0.480 146
1090.229 115.399 0.487 162
1089.948 115.439 0.496 162
1089.708 115.439 0.506 162
1089.468 115.439 0.518 178
1089.267 115.439 0.528 178
1089.067 115.439 0.536 178
1088.866 115.479 0.543 194
1088.706 115.479 0.548 210
1088.506 115.519 0.553 210
1088.346 115.598 0.555 210
1088.185 115.638 0.557 226
1087.985 115.718 0.557 243
1087.825 115.797 0.558 243
1087.624 115.877 0.558 243
1087.424 115.957 0.560 259
1087.264 115.996 0.562 259
1087.063 116.036 0.565 275
1086.903 116.116 0.568 275
1086.703 116.156 0.573 275
1086.543 116.195 0.577 291
1086.382 116.235 0.581 291
1086.222 116.275 0.585 307
1086.062 116.315 0.588 307
1085.901 116.355 0.593 323
1085.741 116.394 0.597 323
1085.541 116.434 0.600 323
1085.341 116.514 0.601 339
1085.140 116.554 0.604 356
1084.940 116.633 0.605 356
1084.740 116.673 0.607 356
1084.579 116.753 0.608 372
1084.419 116.832 0.609 372
1084.299 116.872 0.610 372
1084.179 116.912 0.611 388
1084.058 116.952 0.612 404
1083.938 116.992 0.614 404
1083.858 117.071 0.616 404
1083.738 117.111 0.618 420
1083.658 117.111 0.621 436
1083.538 117.151 0.624 436
1083.457 117.191 0.626 436
1083.297 117.230 0.628 452
1083.217 117.310 0.629 452
1083.137 117.350 0.629 452
1083.017 117.429 0.629 469
1082.937 117.509 0.630 469
1082.816 117.549 0.630 485
1082.696 117.628 0.630 485
1082.576 117.708 0.630 501
1082.456 117.748 0.630 501
1082.295 117.788 0.630 517
1082.215 117.867 0.630 517
1082.095 117.907 0.631 517
1081.975 117.947 0.632 533
1081.855 117.987 0.633 533
1081.695 118.066 0.634 533
1081.574 118.106 0.634 550
1081.414 118.146 0.634 566
1081.294 118.226 0.635 566
1081.134 118.265 0.635 566
