% x_coordinate y_coordinate pressure time
% shape 0, 260 points

818.536 289.879 0.466 291
818.736 289.839 0.470 291
818.977 289.799 0.473 308
819.217 289.720 0.477 324
819.457 289.680 0.479 324
819.698 289.600 0.482 324
819.938 289.561 0.485 340
820.179 289.521 0.486 340
820.379 289.481 0.487 356
820.539 289.441 0.487 356
820.699 289.441 0.488 356
820.860 289.401 0.488 372
821.020 289.362 0.490 388
821.140 289.362 0.491 388
821.300 289.322 0.492 388
821.421 289.322 0.493 404
821.581 289.282 0.494 404
821.701 289.242 0.495 404
821.861 289.202 0.496 420
822.022 289.163 0.497 437
822.222 289.083 0.498 437
822.382 289.043 0.498 437
822.583 288.924 0.499 453
822.783 288.844 0.499 469
822.943 288.764 0.500 469
823.104 288.685 0.500 469
823.264 288.605 0.500 485
823.464 288.526 0.500 485
823.584 288.446 0.500 485
823.704 288.406 0.500 501
823.865 288.366 0.500 501
823.945 288.327 0.500 517
824.065 288.287 0.500 517
824.225 288.247 0.500 517
824.386 288.207 0.500 533
824.506 288.167 0.500 549
824.666 288.128 0.500 549
824.826 288.048 0.500 549
824.987 288.008 0.500 566
825.187 287.929 0.500 582
825.307 287.849 0.500 582
825.467 287.769 0.501 582
825.588 287.690 0.501 598
825.708 287.650 0.501 598
825.868 287.570 0.501 598
825.988 287.530 0.501 614
826.109 287.451 0.501 630
826.229 287.411 0.501 630
826.389 287.331 0.500 630
826.509 287.252 0.500 647
826.589 287.172 0.500 647
826.710 287.132 0.500 663
826.790 287.053 0.500 663
826.870 286.973 0.499 663
826.950 286.933 0.499 679
827.030 286.854 0.499 679
827.110 286.774 0.499 695
827.190 286.694 0.499 695
827.310 286.575 0.499 711
827.391 286.495 0.499 711
827.471 286.416 0.499 711
827.551 286.376 0.499 727
827.631 286.336 0.499 743
827.711 286.257 0.499 743
827.751 286.217 0.499 743
827.831 286.177 0.498 760
827.911 286.097 0.499 760
827.992 286.057 0.499 760
828.112 285.978 0.499 776
828.192 285.898 0.498 792
828.272 285.819 0.498 792
828.352 285.779 0.498 792
828.432 285.699 0.499 808
828.513 285.620 0.498 808
828.593 285.540 0.498 824
828.633 285.500 0.499 824
828.713 285.421 0.498 840
828.793 285.341 0.499 840
828.873 285.261 0.498 840
828.913 285.182 0.499 856
828.993 285.142 0.498 856
829.033 285.062 0.499 872
829.114 284.983 0.499 872
829.154 284.903 0.499 889
829.234 284.823 0.499 889
829.314 284.784 0.498 905
829.354 284.704 0.498 905
829.434 284.664 0.499 905
829.474 284.585 0.499 921
829.554 284.545 0.499 921
829.594 284.465 0.499 921
829.674 284.425 0.499 937
829.715 284.346 0.499 953
829.795 284.226 0.499 953
829.835 284.147 0.499 953
829.915 284.067 0.499 969
829.955 283.987 0.499 986
829.995 283.908 0.499 986
830.075 283.788 0.499 986
830.115 283.709 0.499 1002
830.155 283.589 0.499 1002
830.195 283.510 0.499 1002
830.235 283.390 0.499 1018
830.275 283.351 0.499 1034
830.315 283.271 0.499 1034
830.356 283.231 0.499 1034
830.396 283.151 0.499 1051
830.436 283.112 0.499 1051
830.516 283.072 0.499 1067
830.556 282.992 0.499 1067
830.636 282.913 0.499 1067
830.676 282.833 0.499 1083
830.756 282.753 0.499 1083
830.836 282.634 0.499 1099
830.876 282.554 0.499 1099
830.917 282.515 0.499 1115
830.957 282.435 0.499 1115
830.997 282.355 0.499 1115
831.037 282.276 0.499 1132
831.077 282.196 0.499 1148
831.117 282.116 0.499 1148
831.157 282.037 0.499 1148
831.197 281.997 0.499 1164
831.237 281.878 0.499 1164
831.277 281.838 0.499 1180
831.317 281.798 0.499 1180
831.397 281.718 0.498 1197
831.477 281.679 0.498 1197
831.518 281.599 0.499 1197
831.598 281.519 0.499 1213
831.638 281.480 0.499 1213
831.678 281.400 0.499 1229
831.718 281.360 0.499 1229
831.798 281.320 0.499 1229
831.838 281.241 0.499 1245
831.878 281.201 0.498 1261
831.918 281.161 0.499 1261
831.958 281.081 0.499 1261
832.038 281.002 0.499 1278
832.078 280.962 0.499 1278
832.119 280.882 0.499 1278
832.199 280.803 0.499 1294
832.239 280.723 0.499 1310
832.319 280.683 0.499 1310
832.399 280.604 0.499 1310
832.439 280.524 0.499 1326
832.519 280.445 0.499 1342
832.599 280.365 0.499 1342
832.679 280.285 0.499 1342
832.719 280.206 0.499 1359
832.760 280.126 0.499 1359
832.800 280.046 0.499 1359
832.840 279.967 0.500 1375
832.880 279.887 0.499 1391
832.920 279.847 0.500 1391
832.960 279.728 0.499 1391
833.000 279.648 0.500 1407
833.040 279.529 0.500 1407
833.080 279.449 0.500 1423
833.160 279.370 0.500 1423
833.200 279.250 0.500 1423
833.240 279.171 0.500 1439
833.321 279.051 0.500 1439
833.361 278.932 0.500 1439
833.441 278.852 0.500 1455
833.521 278.773 0.501 1471
833.561 278.693 0.501 1471
833.641 278.613 0.502 1471
833.721 278.534 0.503 1487
833.761 278.454 0.504 1504
833.801 278.374 0.505 1504
833.881 278.295 0.505 1504
833.922 278.215 0.506 1520
834.002 278.136 0.506 1520
834.042 278.096 0.507 1536
834.122 278.016 0.507 1536
834.162 277.937 0.508 1536
834.202 277.857 0.508 1552
834.242 277.817 0.508 1552
834.282 277.738 0.509 1568
834.362 277.658 0.509 1568
834.402 277.578 0.510 1584
834.482 277.499 0.511 1584
834.523 277.419 0.512 1584
834.563 277.339 0.514 1601
834.603 277.220 0.515 1617
834.683 277.180 0.517 1617
834.723 277.101 0.518 1617
834.763 277.021 0.519 1633
834.843 276.941 0.519 1633
834.883 276.862 0.521 1633
834.963 276.782 0.522 1649
835.083 276.703 0.522 1665
835.124 276.623 0.523 1665
835.204 276.543 0.524 1665
835.244 276.424 0.525 1681
835.324 276.305 0.528 1681
835.364 276.145 0.530 1698
835.444 276.026 0.534 1698
835.524 275.906 0.539 1714
835.564 275.787 0.542 1714
835.644 275.668 0.543 1714
835.685 275.588 0.545 1730
835.765 275.508 0.546 1730
835.805 275.429 0.547 1746
835.845 275.349 0.547 1746
835.925 275.309 0.547 1746
835.965 275.230 0.548 1762
836.005 275.150 0.548 1779
836.005 275.110 0.548 1779
836.045 275.110 0.549 1779
836.045 275.070 0.549 1795
836.045 275.070 0.550 1795
836.045 275.070 0.549 1811
836.045 275.070 0.530 1827
836.045 275.070 0.463 1827
836.045 275.070 0.332 1827
836.045 275.070 0.041 1843

% x_coordinate y_coordinate pressure time
% shape 1, 681 points
855.678 256.002 0.002 0
