% x_coordinate y_coordinate pressure time
% shape 0, 774 points
491.791 326.423 0.035 0
491.791 326.383 0.071 16
491.831 326.383 0.098 16
491.831 326.344 0.125 32
491.831 326.344 0.155 32
491.831 326.344 0.179 33
491.831 326.344 0.195 48
491.831 326.344 0.206 64
491.831 326.344 0.214 64
491.831 326.304 0.218 64
491.831 326.304 0.221 80
491.831 326.304 0.226 80
491.831 326.304 0.236 80
491.831 326.304 0.245 96
491.831 326.264 0.258 112
491.831 326.304 0.270 112
491.831 326.264 0.279 112
491.831 326.264 0.285 128
491.831 326.304 0.292 128
491.831 326.304 0.300 144
491.831 326.344 0.309 144
491.831 326.383 0.318 160
491.831 326.463 0.328 160
491.791 326.582 0.340 160
491.711 326.662 0.352 176
491.631 326.702 0.362 176
491.591 326.821 0.369 192
491.511 326.941 0.373 192
491.431 327.060 0.378 192
491.431 327.219 0.381 208
491.391 327.418 0.384 224
491.351 327.617 0.387 224
491.310 327.777 0.389 224
491.270 327.976 0.391 240
491.190 328.175 0.393 240
491.150 328.374 0.397 240
491.070 328.533 0.401 256
490.990 328.772 0.407 273
490.870 329.011 0.411 273
490.750 329.250 0.415 273
490.629 329.528 0.418 289
490.509 329.847 0.420 305
490.389 330.125 0.422 305
490.269 330.364 0.424 305
490.189 330.643 0.423 321
490.109 330.922 0.424 321
489.988 331.160 0.424 321
489.948 331.399 0.425 337
489.868 331.598 0.425 353
489.788 331.797 0.425 353
489.708 332.036 0.425 353
489.668 332.195 0.426 370
489.628 332.394 0.425 370
489.588 332.554 0.425 386
489.548 332.753 0.425 386
489.467 332.952 0.425 386
489.467 333.151 0.425 402
489.387 333.350 0.425 418
489.347 333.549 0.425 418
489.267 333.788 0.426 418
489.187 333.987 0.426 434
489.107 334.226 0.427 434
489.027 334.464 0.427 434
488.947 334.624 0.427 450
488.826 334.823 0.427 466
488.746 335.022 0.428 466
488.706 335.221 0.428 466
488.626 335.380 0.428 482
488.626 335.539 0.428 499
488.586 335.698 0.428 499
488.586 335.858 0.427 499
488.586 336.017 0.427 515
488.586 336.176 0.426 515
488.586 336.335 0.427 515
488.586 336.495 0.427 531
488.586 336.694 0.428 531
488.586 336.813 0.429 547
488.546 336.972 0.430 547
488.466 337.132 0.433 564
488.386 337.291 0.436 564
488.306 337.450 0.438 580
488.225 337.609 0.441 580
488.145 337.768 0.442 580
488.105 337.888 0.444 596
488.025 338.007 0.446 596
487.985 338.127 0.447 596
487.945 338.246 0.448 612
487.905 338.366 0.448 628
487.865 338.485 0.449 628
487.825 338.565 0.449 628
487.785 338.724 0.450 645
487.745 338.843 0.450 661
487.664 338.963 0.449 661
487.624 339.162 0.450 661
487.584 339.321 0.450 677
487.464 339.480 0.451 677
487.384 339.600 0.451 677
487.344 339.759 0.451 693
487.264 339.878 0.451 709
487.224 339.998 0.452 709
487.184 340.117 0.451 709
487.104 340.237 0.452 725
487.104 340.356 0.452 725
487.063 340.476 0.452 741
487.023 340.555 0.453 741
486.983 340.675 0.452 741
486.943 340.754 0.453 757
486.903 340.874 0.453 757
486.863 340.993 0.453 774
486.823 341.073 0.453 774
486.823 341.192 0.454 790
486.743 341.351 0.454 790
486.703 341.431 0.454 790
486.663 341.550 0.455 806
486.623 341.670 0.454 822
486.583 341.789 0.455 822
486.543 341.948 0.455 822
486.502 342.028 0.455 838
486.462 342.147 0.455 838
486.422 342.267 0.455 838
486.342 342.346 0.454 854
486.302 342.426 0.455 871
486.262 342.545 0.455 871
486.222 342.625 0.455 871
486.222 342.705 0.455 887
486.142 342.784 0.455 903
486.142 342.864 0.455 903
486.102 342.983 0.456 903
486.022 343.063 0.456 919
485.982 343.143 0.457 919
485.942 343.262 0.457 919
485.861 343.342 0.457 935
485.781 343.461 0.458 951
485.701 343.581 0.458 951
485.621 343.740 0.458 951
485.541 343.819 0.459 967
485.461 343.939 0.459 967
485.421 344.058 0.459 983
485.381 344.138 0.458 983
485.301 344.257 0.459 983
485.260 344.337 0.459 999
485.260 344.417 0.459 999
485.180 344.496 0.459 1016
485.140 344.576 0.458 1016
485.140 344.655 0.459 1032
485.100 344.735 0.460 1032
485.020 344.815 0.461 1032
484.980 344.894 0.462 1048
484.940 345.014 0.463 1064
484.900 345.093 0.464 1064
484.820 345.173 0.465 1064
484.820 345.292 0.465 1080
484.780 345.372 0.465 1080
484.740 345.491 0.465 1080
484.700 345.611 0.465 1096
484.659 345.730 0.467 1112
484.619 345.850 0.467 1112
484.579 345.969 0.468 1112
484.499 346.088 0.468 1128
484.459 346.208 0.469 1145
484.379 346.327 0.470 1145
484.299 346.447 0.471 1145
484.219 346.566 0.472 1161
484.179 346.686 0.472 1161
484.139 346.805 0.472 1161
484.098 346.885 0.473 1177
484.058 347.004 0.473 1193
484.018 347.123 0.474 1193
483.978 347.243 0.473 1193
483.938 347.362 0.474 1209
483.858 347.482 0.474 1209
483.818 347.641 0.474 1225
483.738 347.760 0.474 1225
483.698 347.880 0.474 1241
483.618 348.039 0.475 1241
483.538 348.159 0.475 1241
483.457 348.278 0.475 1257
483.417 348.477 0.475 1257
483.377 348.636 0.475 1273
483.297 348.756 0.475 1273
483.257 348.915 0.475 1273
