% x_coordinate y_coordinate pressure time
% shape 0, 1285 points

891.818 289.919 0.324 289
891.978 289.839 0.325 305
892.179 289.760 0.325 305
892.299 289.680 0.326 305
892.459 289.640 0.326 321
892.579 289.600 0.327 337
892.740 289.561 0.327 337
892.940 289.481 0.327 337
893.100 289.401 0.327 353
893.301 289.322 0.328 353
893.541 289.202 0.328 353
893.741 289.083 0.328 369
893.942 288.964 0.329 369
894.142 288.844 0.329 385
894.382 288.725 0.329 385
894.543 288.645 0.330 401
894.703 288.565 0.329 401
894.823 288.526 0.329 417
894.903 288.486 0.330 417
895.023 288.486 0.330 417
895.103 288.486 0.330 433
895.184 288.486 0.330 449
895.304 288.486 0.330 449
895.424 288.446 0.330 449
895.584 288.406 0.330 466
895.745 288.327 0.330 466
895.905 288.287 0.331 466
896.065 288.128 0.331 483
896.225 288.048 0.331 483
896.386 287.929 0.331 499
896.546 287.809 0.331 499
896.666 287.690 0.331 515
896.786 287.610 0.331 515
896.866 287.530 0.331 531
896.987 287.491 0.331 531
897.067 287.411 0.332 531
897.147 287.371 0.333 547
897.227 287.331 0.333 547
897.347 287.292 0.333 563
897.508 287.252 0.333 563
897.628 287.172 0.333 579
897.788 287.132 0.333 579
897.908 287.053 0.334 579
898.068 286.973 0.334 595
898.229 286.933 0.334 612
898.349 286.854 0.334 612
898.509 286.774 0.334 612
898.669 286.694 0.334 628
898.790 286.655 0.334 628
898.950 286.575 0.335 628
899.070 286.456 0.334 644
899.230 286.376 0.334 660
899.391 286.296 0.335 660
899.511 286.177 0.335 660
899.671 286.097 0.335 676
899.831 285.978 0.335 676
899.992 285.858 0.335 692
900.112 285.739 0.337 692
900.272 285.620 0.336 692
900.432 285.540 0.336 708
900.593 285.421 0.337 724
900.753 285.301 0.336 724
900.873 285.221 0.337 724
901.033 285.142 0.337 740
901.194 285.062 0.337 740
901.314 284.943 0.337 740
901.514 284.863 0.337 757
901.674 284.784 0.337 773
901.835 284.664 0.337 773
902.035 284.545 0.337 773
902.195 284.425 0.337 789
902.356 284.306 0.337 805
902.516 284.226 0.338 805
902.676 284.107 0.338 805
902.836 284.027 0.337 821
902.957 283.908 0.338 821
903.077 283.788 0.337 821
903.237 283.709 0.338 837
903.357 283.589 0.338 837
903.558 283.390 0.338 853
903.678 283.271 0.338 853
903.798 283.112 0.338 870
903.918 282.992 0.339 870
904.038 282.833 0.341 886
904.159 282.674 0.343 886
904.279 282.554 0.345 886
904.399 282.395 0.347 902
904.559 282.276 0.348 918
904.679 282.196 0.351 918
904.760 282.116 0.352 918
904.880 282.037 0.354 934
904.960 281.957 0.355 934
905.080 281.917 0.356 934
905.200 281.798 0.357 950
905.280 281.758 0.358 966
905.401 281.639 0.358 966
905.521 281.519 0.359 966
905.641 281.440 0.360 982
905.761 281.320 0.360 998
905.841 281.201 0.361 998
905.962 281.002 0.361 998
906.042 280.882 0.361 1014
906.162 280.763 0.363 1014
906.282 280.644 0.364 1014
906.362 280.524 0.365 1030
906.442 280.445 0.367 1030
906.523 280.325 0.368 1046
906.563 280.206 0.370 1046
906.643 280.086 0.370 1063
906.723 279.967 0.372 1063
906.763 279.887 0.374 1079
906.843 279.768 0.376 1079
906.883 279.609 0.379 1079
906.963 279.489 0.383 1095
907.003 279.370 0.386 1095
907.083 279.250 0.388 1095
907.164 279.131 0.389 1111
907.244 279.011 0.391 1127
907.324 278.932 0.392 1127
907.404 278.812 0.393 1127
907.444 278.693 0.393 1143
907.524 278.613 0.394 1159
907.604 278.534 0.395 1159
907.644 278.454 0.395 1159
907.725 278.374 0.396 1175
907.765 278.295 0.397 1175
907.805 278.215 0.397 1175
907.885 278.136 0.399 1191
907.925 278.056 0.399 1207
907.965 277.976 0.400 1207
908.005 277.897 0.401 1207
908.045 277.817 0.401 1223
908.085 277.738 0.402 1223
908.165 277.658 0.402 1239
908.205 277.578 0.402 1239
908.285 277.499 0.402 1239
908.326 277.459 0.402 1255
908.406 277.379 0.403 1271
908.446 277.300 0.402 1271
908.526 277.220 0.403 1271
908.566 277.140 0.403 1288
908.606 277.061 0.403 1288
908.686 276.981 0.403 1288
908.766 276.902 0.404 1305
908.806 276.822 0.404 1321
908.846 276.742 0.404 1321
908.886 276.663 0.405 1321
908.967 276.583 0.407 1337
909.007 276.504 0.408 1353
909.087 276.384 0.409 1353
909.127 276.305 0.410 1353
909.167 276.225 0.411 1369
909.247 276.145 0.412 1369
909.287 276.105 0.412 1369
909.327 276.026 0.413 1385
909.367 275.986 0.413 1385
909.407 275.906 0.413 1401
909.407 275.867 0.413 1401
909.447 275.787 0.414 1401
909.487 275.747 0.415 1417
909.528 275.668 0.416 1433
909.528 275.588 0.417 1433
909.568 275.548 0.419 1433
909.608 275.469 0.420 1449
909.648 275.389 0.422 1466
909.728 275.309 0.424 1466
909.768 275.230 0.425 1466
909.848 275.150 0.427 1482
909.888 275.070 0.427 1482
909.968 274.991 0.429 1482
910.048 274.911 0.430 1498
910.089 274.792 0.431 1514
910.169 274.712 0.433 1514
910.209 274.633 0.434 1514
910.289 274.553 0.434 1531
910.369 274.473 0.435 1531
910.409 274.394 0.435 1547
910.489 274.314 0.436 1547
910.529 274.234 0.436 1547
910.609 274.115 0.437 1563
910.649 273.996 0.437 1563
910.689 273.916 0.437 1579
910.730 273.836 0.437 1579
910.810 273.717 0.437 1595
910.850 273.637 0.438 1595
910.890 273.558 0.438 1595
910.970 273.438 0.438 1611
911.050 273.319 0.438 1627
911.090 273.199 0.438 1627
911.130 273.080 0.438 1627
911.210 272.961 0.439 1644
911.250 272.801 0.440 1644
911.331 272.682 0.441 1644
911.371 272.563 0.443 1660
911.411 272.403 0.444 1676
911.451 272.284 0.445 1676
911.491 272.164 0.446 1676
911.531 272.005 0.447 1692
911.531 271.846 0.447 1708
911.571 271.647 0.448 1708
911.611 271.488 0.448 1708
911.651 271.328 0.449 1724
911.691 271.169 0.450 1724
911.731 271.010 0.451 1724
911.811 270.891 0.452 1741
911.851 270.731 0.454 1741
911.932 270.572 0.456 1757
912.012 270.413 0.457 1757
912.052 270.214 0.459 1773
912.132 270.055 0.461 1773
912.172 269.895 0.463 1789
912.212 269.776 0.465 1789
912.292 269.617 0.466 1789
912.332 269.457 0.467 1805
912.412 269.298 0.468 1805
912.452 269.139 0.468 1805
912.533 269.020 0.468 1821
912.573 268.900 0.469 1837
912.653 268.781 0.469 1837
912.693 268.621 0.469 1837
912.733 268.502 0.469 1854
912.773 268.383 0.469 1870
912.893 268.223 0.469 1870
912.933 268.064 0.470 1870
912.973 267.905 0.470 1886
913.013 267.746 0.470 1886
913.053 267.586 0.470 1886
913.134 267.427 0.470 1902
913.174 267.308 0.471 1902
913.214 267.149 0.471 1918
913.254 266.949 0.470 1918
913.294 266.790 0.471 1935
913.334 266.631 0.471 1935
913.374 266.472 0.471 1951
913.454 266.313 0.472 1951
913.534 266.153 0.472 1951
913.614 265.994 0.472 1967
913.694 265.875 0.472 1983
913.735 265.715 0.472 1983
913.855 265.596 0.472 1983
913.935 265.437 0.473 1999
914.015 265.278 0.473 1999
914.095 265.118 0.472 1999
914.135 264.959 0.472 2016
914.215 264.800 0.473 2032
914.296 264.601 0.473 2032
914.376 264.442 0.473 2032
914.416 264.243 0.472 2048
914.496 264.083 0.473 2048
914.576 263.884 0.473 2064
914.616 263.685 0.474 2064
914.696 263.486 0.474 2080
914.736 263.287 0.475 2080
914.856 263.088 0.475 2080
914.937 262.889 0.477 2096
915.017 262.690 0.478 2096
915.097 262.491 0.479 2112
915.177 262.252 0.481 2112
915.257 262.053 0.482 2112
915.377 261.854 0.481 2129
915.457 261.695 0.482 2145
915.538 261.496 0.481 2145
915.618 261.297 0.482 2145
915.738 261.098 0.482 2161
915.818 260.938 0.482 2161
915.898 260.739 0.482 2161
915.938 260.540 0.482 2177
916.018 260.381 0.482 2193
916.099 260.182 0.482 2193
916.139 259.983 0.482 2193
916.219 259.824 0.482 2209
916.259 259.665 0.483 2225
916.339 259.505 0.484 2225
916.379 259.346 0.484 2225
916.459 259.187 0.484 2241
916.499 259.028 0.484 2241
916.579 258.908 0.484 2241
916.659 258.749 0.485 2258
916.740 258.590 0.485 2258
916.820 258.431 0.485 2274
916.900 258.271 0.485 2274
916.980 258.112 0.485 2290
917.060 257.953 0.485 2290
917.140 257.754 0.485 2306
917.180 257.595 0.485 2306
917.260 257.435 0.486 2306
917.300 257.276 0.486 2322
917.381 257.117 0.486 2338
917.421 256.997 0.486 2338
917.461 256.878 0.487 2338
917.541 256.759 0.487 2355
917.581 256.639 0.488 2355
917.621 256.520 0.488 2355
917.701 256.400 0.488 2371
917.741 256.281 0.489 2387
917.781 256.161 0.488 2387
917.861 256.002 0.488 2387
917.901 255.843 0.489 2403
917.942 255.684 0.489 2403
917.982 255.525 0.490 2419
917.982 255.365 0.491 2419
918.022 255.206 0.492 2435
918.022 255.047 0.495 2435
918.062 254.927 0.498 2435
918.062 254.808 0.501 2451
918.102 254.649 0.504 2451
918.102 254.529 0.506 2468
918.142 254.410 0.508 2468
918.182 254.290 0.509 2484
918.222 254.131 0.510 2484
918.262 254.052 0.510 2500
918.302 253.892 0.511 2500
918.302 253.813 0.511 2500
918.342 253.693 0.511 2516
918.342 253.574 0.512 2516
918.382 253.415 0.512 2516
918.422 253.295 0.514 2532
918.422 253.096 0.515 2548
918.503 252.937 0.516 2548
918.543 252.778 0.518 2548
918.543 252.618 0.519 2565
918.583 252.499 0.520 2581
918.583 252.300 0.522 2581
918.583 252.141 0.522 2581
918.623 251.982 0.523 2597
918.623 251.783 0.523 2597
918.623 251.623 0.524 2597
918.623 251.464 0.524 2613
918.623 251.305 0.525 2629
918.623 251.146 0.525 2629
918.623 250.986 0.526 2629
918.623 250.787 0.526 2645
918.623 250.588 0.526 2645
918.623 250.389 0.527 2662
918.623 250.190 0.527 2662
918.623 250.031 0.528 2662
918.663 249.872 0.528 2678
918.663 249.673 0.529 2678
918.663 249.513 0.529 2694
918.703 249.394 0.530 2694
918.703 249.235 0.530 2710
918.703 249.115 0.530 2710
918.703 248.956 0.530 2710
918.703 248.797 0.530 2726
918.703 248.638 0.531 2742
918.703 248.478 0.531 2742
918.703 248.319 0.531 2742
918.703 248.160 0.532 2758
918.703 248.001 0.532 2758
918.703 247.881 0.532 2758
918.703 247.722 0.532 2774
918.703 247.603 0.532 2790
918.703 247.443 0.532 2790
918.703 247.324 0.533 2790
918.703 247.165 0.533 2806
918.703 247.045 0.533 2806
918.703 246.926 0.533 2823
918.703 246.767 0.533 2823
918.703 246.647 0.534 2839
918.663 246.568 0.534 2839
918.623 246.408 0.534 2839
918.583 246.329 0.535 2855
918.543 246.130 0.535 2855
918.462 246.010 0.535 2871
918.422 245.891 0.536 2871
918.382 245.732 0.536 2887
918.342 245.612 0.536 2887
918.262 245.453 0.536 2903
918.262 245.334 0.537 2903
918.182 245.214 0.537 2903
918.182 245.095 0.537 2919
918.142 244.975 0.538 2919
918.102 244.856 0.538 2919
918.062 244.776 0.539 2936
917.982 244.697 0.539 2952
917.942 244.617 0.540 2952
917.861 244.498 0.540 2952
917.781 244.418 0.541 2968
917.741 244.338 0.541 2984
917.661 244.259 0.542 2984
917.541 244.139 0.542 2984
917.461 244.020 0.542 3000
917.381 243.861 0.543 3000
917.260 243.741 0.542 3016
917.180 243.582 0.543 3016
917.100 243.423 0.542 3032
916.980 243.264 0.542 3032
916.900 243.104 0.543 3032
916.740 242.945 0.542 3048
916.659 242.826 0.543 3048
916.539 242.666 0.543 3064
916.419 242.547 0.543 3064
916.299 242.428 0.543 3064
916.179 242.308 0.543 3081
916.058 242.189 0.544 3097
915.938 242.069 0.546 3097
915.818 241.990 0.546 3097
915.658 241.910 0.547 3113
915.538 241.791 0.548 3113
915.417 241.751 0.548 3113
915.257 241.631 0.549 3129
915.137 241.552 0.549 3145
914.977 241.472 0.549 3145
914.856 241.432 0.549 3145
914.736 241.432 0.549 3162
914.576 241.393 0.549 3178
914.456 241.353 0.549 3178
914.296 241.353 0.549 3178
914.175 241.353 0.549 3194
914.095 241.353 0.550 3194
914.015 241.353 0.549 3194
913.895 241.353 0.550 3210
913.815 241.353 0.549 3227
913.735 241.353 0.549 3227
913.654 241.353 0.549 3227
913.534 241.353 0.549 3243
913.454 241.353 0.548 3243
913.374 241.353 0.549 3259
913.294 241.393 0.548 3259
913.174 241.432 0.549 3259
913.094 241.472 0.549 3275
913.013 241.512 0.549 3275
912.973 241.592 0.549 3291
912.893 241.631 0.549 3291
912.813 241.711 0.549 3307
912.733 241.830 0.549 3307
912.653 241.910 0.548 3307
912.613 241.990 0.548 3323
912.533 242.069 0.549 3340
912.452 242.189 0.549 3340
912.372 242.268 0.548 3340
912.332 242.348 0.548 3356
912.252 242.467 0.549 3356
912.172 242.547 0.548 3356
912.132 242.627 0.549 3372
