% x_coordinate y_coordinate pressure time
% shape 0, 1680 points
880.279 115.479 0.068 0
880.279 115.479 0.097 0
880.279 115.519 0.132 16
880.279 115.558 0.165 16
880.279 115.598 0.191 17
880.279 115.638 0.208 32
880.239 115.638 0.226 48
880.199 115.678 0.245 48
880.199 115.718 0.263 48
880.159 115.757 0.285 64
880.119 115.797 0.304 64
880.038 115.837 0.321 64
879.958 115.877 0.339 81
879.878 115.996 0.355 97
879.758 116.116 0.368 97
879.638 116.235 0.378 97
879.477 116.394 0.387 113
879.317 116.554 0.395 129
879.157 116.713 0.403 129
878.957 116.872 0.409 129
878.756 117.071 0.414 146
878.556 117.230 0.420 146
878.396 117.390 0.425 146
878.195 117.549 0.431 162
878.035 117.708 0.437 178
877.875 117.867 0.443 178
877.715 117.987 0.448 178
877.554 118.106 0.452 194
877.354 118.305 0.457 194
877.194 118.425 0.462 210
877.033 118.584 0.467 210
876.873 118.703 0.471 210
876.713 118.823 0.474 226
876.553 118.942 0.477 226
876.392 119.062 0.480 243
876.232 119.181 0.484 243
876.112 119.340 0.487 259
875.952 119.460 0.490 259
875.791 119.619 0.492 259
875.671 119.778 0.494 275
875.551 119.937 0.496 292
875.431 120.097 0.498 292
875.311 120.296 0.499 292
875.150 120.495 0.500 308
875.030 120.694 0.501 308
874.870 120.853 0.503 308
874.710 121.052 0.504 324
874.589 121.211 0.506 340
874.429 121.370 0.509 340
874.309 121.530 0.512 340
874.189 121.689 0.513 356
874.109 121.848 0.516 356
874.028 122.007 0.519 372
873.948 122.127 0.520 372
873.868 122.246 0.522 389
873.788 122.405 0.523 389
873.668 122.565 0.524 389
873.548 122.764 0.526 405
873.467 122.963 0.527 405
873.347 123.122 0.528 421
873.227 123.281 0.529 421
873.147 123.480 0.529 421
873.027 123.679 0.530 437
872.947 123.839 0.531 453
872.826 124.038 0.531 453
872.746 124.197 0.532 453
872.666 124.356 0.532 470
872.626 124.515 0.532 470
872.546 124.675 0.533 470
872.466 124.834 0.532 486
872.386 125.033 0.533 502
872.306 125.192 0.534 502
872.225 125.351 0.534 502
872.145 125.550 0.534 518
872.065 125.749 0.535 535
871.945 125.948 0.535 535
871.865 126.108 0.536 535
871.825 126.307 0.537 551
