% x_coordinate y_coordinate pressure time
% shape 0, 395 points
742.289 289.760 0.428 162
742.730 289.561 0.431 162
743.170 289.362 0.434 162
743.611 289.202 0.435 178
744.012 289.043 0.436 178
744.452 288.924 0.436 194
744.853 288.804 0.436 194
745.254 288.685 0.437 210
745.695 288.526 0.437 210
746.135 288.327 0.437 227
746.576 288.088 0.438 227
747.017 287.849 0.438 227
747.578 287.491 0.439 243
748.058 287.172 0.439 243
748.499 286.814 0.441 243
748.980 286.495 0.445 259
749.421 286.137 0.449 275
749.821 285.858 0.456 275
750.182 285.580 0.459 275
750.623 285.301 0.463 291
750.983 285.022 0.466 307
751.304 284.784 0.467 307
751.664 284.505 0.468 307
752.025 284.266 0.469 324
752.386 284.027 0.470 324
752.746 283.749 0.471 340
753.147 283.470 0.473 340
753.588 283.151 0.476 340
753.948 282.873 0.478 356
754.389 282.475 0.482 356
754.750 282.116 0.487 372
755.150 281.798 0.491 372
755.471 281.519 0.497 388
755.831 281.241 0.501 388
756.152 280.962 0.505 388
756.432 280.723 0.508 404
756.713 280.445 0.510 420
756.993 280.206 0.511 420
757.314 279.927 0.512 420
757.594 279.648 0.513 437
757.915 279.330 0.513 437
758.235 278.972 0.514 437
758.516 278.653 0.514 453
758.796 278.335 0.515 469
759.157 277.976 0.517 469
759.437 277.658 0.519 469
759.718 277.339 0.523 485
759.998 277.021 0.526 501
760.279 276.742 0.528 501
760.599 276.424 0.529 501
760.920 276.105 0.530 517
761.200 275.787 0.530 517
761.481 275.469 0.531 517
761.801 275.190 0.532 534
762.082 274.871 0.532 534
762.322 274.553 0.533 550
762.563 274.234 0.534 550
762.803 273.876 0.535 550
763.043 273.518 0.537 566
763.284 273.120 0.538 582
763.484 272.762 0.540 582
763.684 272.443 0.542 582
763.885 272.045 0.543 598
764.165 271.727 0.543 615
764.406 271.368 0.545 615
764.606 270.970 0.545 615
764.806 270.612 0.546 631
765.047 270.293 0.547 631
765.247 269.935 0.548 631
765.447 269.617 0.548 647
765.648 269.258 0.550 647
765.848 268.940 0.552 663
766.008 268.542 0.554 663
766.249 268.184 0.557 663
766.409 267.865 0.560 679
766.649 267.507 0.562 695
766.890 267.188 0.564 695
767.090 266.830 0.564 695
767.290 266.472 0.565 711
767.491 266.193 0.566 728
