% x_coordinate y_coordinate pressure time
% shape 0, 1100 points
868.219 117.748 0.012 0
868.219 117.708 0.027 0
868.219 117.708 0.040 1
868.219 117.668 0.049 16
868.219 117.668 0.058 17
868.219 117.668 0.065 32
868.219 117.668 0.075 35
868.219 117.668 0.083 36
868.219 117.668 0.091 48
868.219 117.668 0.098 64
868.219 117.668 0.103 74
868.219 117.668 0.109 74
868.219 117.668 0.119 80
868.219 117.668 0.129 96
868.219 117.668 0.141 96
868.219 117.668 0.155 96
868.219 117.668 0.172 112
868.219 117.668 0.190 112
868.219 117.668 0.204 112
868.179 117.668 0.212 128
868.139 117.668 0.219 145
868.099 117.668 0.223 145
868.099 117.668 0.227 145
868.099 117.668 0.232 161
868.099 117.668 0.227 161
868.099 117.668 0.226 177
868.099 117.668 0.223 193
868.179 117.668 0.222 193
868.259 117.708 0.223 193
868.299 117.708 0.231 210
868.379 117.708 0.241 210
868.419 117.708 0.245 226
868.419 117.708 0.250 226
868.459 117.708 0.259 226
868.459 117.628 0.267 242
868.459 117.549 0.273 258
868.499 117.469 0.279 258
868.499 117.390 0.285 258
868.539 117.350 0.293 275
868.539 117.310 0.303 275
868.539 117.270 0.311 275
868.539 117.230 0.318 291
868.539 117.191 0.324 307
868.539 117.151 0.328 307
868.539 117.151 0.333 307
868.539 117.111 0.338 323
868.539 117.071 0.342 339
868.539 117.031 0.346 339
868.539 116.992 0.349 339
868.539 116.952 0.353 356
868.539 116.872 0.356 356
868.539 116.832 0.362 356
868.539 116.832 0.367 372
868.539 116.792 0.371 372
868.539 116.753 0.376 388
868.539 116.713 0.380 388
868.539 116.673 0.384 388
868.539 116.633 0.387 404
868.539 116.593 0.390 420
868.539 116.554 0.393 420
868.539 116.514 0.396 420
868.539 116.474 0.399 436
868.539 116.434 0.402 436
868.539 116.355 0.404 436
868.539 116.315 0.407 453
868.539 116.315 0.410 469
868.539 116.275 0.413 469
868.539 116.275 0.415 469
868.539 116.235 0.417 485
868.539 116.235 0.418 502
868.539 116.195 0.419 502
868.579 116.195 0.420 502
868.579 116.156 0.422 518
868.619 116.076 0.424 518
868.619 115.996 0.427 518
868.619 115.957 0.430 534
868.619 115.877 0.432 534
868.619 115.797 0.434 550
868.619 115.757 0.437 550
868.619 115.718 0.440 550
868.619 115.678 0.443 566
868.619 115.678 0.446 583
868.619 115.678 0.449 583
868.619 115.638 0.452 583
868.619 115.638 0.456 599
868.619 115.638 0.457 599
868.619 115.638 0.459 599
868.619 115.638 0.461 615
868.619 115.638 0.462 631
868.619 115.638 0.464 631
868.619 115.678 0.465 650
868.619 115.757 0.465 650
868.619 115.837 0.465 666
868.619 115.917 0.466 682
868.579 116.036 0.467 682
868.499 116.195 0.467 682
868.419 116.315 0.468 698
868.379 116.474 0.469 715
868.299 116.633 0.470 715
868.179 116.753 0.471 715
868.058 116.952 0.473 731
867.978 117.111 0.475 731
867.898 117.270 0.477 731
867.818 117.469 0.479 747
867.738 117.668 0.481 747
867.658 117.867 0.484 763
867.618 118.066 0.485 763
867.578 118.265 0.486 763
867.538 118.504 0.488 780
867.497 118.703 0.488 796
867.457 118.902 0.489 796
867.417 119.101 0.490 796
867.337 119.261 0.491 813
867.297 119.420 0.492 813
867.257 119.579 0.493 813
867.177 119.738 0.494 829
867.097 119.897 0.496 845
867.057 120.017 0.497 845
866.977 120.136 0.498 845
866.896 120.296 0.500 861
866.856 120.415 0.500 878
866.776 120.614 0.501 878
866.696 120.734 0.502 878
866.656 120.853 0.503 894
866.576 120.972 0.504 894
866.496 121.092 0.505 894
866.456 121.211 0.506 910
866.376 121.291 0.506 910
866.336 121.410 0.506 926
866.255 121.490 0.506 926
866.215 121.609 0.506 943
866.095 121.729 0.506 943
866.015 121.848 0.507 959
865.975 122.007 0.507 959
865.895 122.167 0.507 959
865.855 122.326 0.508 975
865.815 122.485 0.508 975
865.775 122.605 0.508 991
865.735 122.764 0.508 991
865.695 122.963 0.509 1007
865.654 123.122 0.508 1007
865.614 123.241 0.509 1007
865.534 123.401 0.509 1024
865.494 123.520 0.509 1040
865.414 123.679 0.510 1040
865.334 123.799 0.510 1040
865.294 123.918 0.511 1056
865.214 124.077 0.511 1056
865.174 124.197 0.512 1056
865.134 124.316 0.512 1073
865.093 124.436 0.513 1089
865.053 124.555 0.513 1089
865.013 124.714 0.513 1089
864.973 124.834 0.514 1105
864.933 124.953 0.514 1105
864.893 125.112 0.515 1121
864.853 125.272 0.515 1121
