% x_coordinate y_coordinate pressure time
% shape 0, 180 points

1044.793 289.959 0.186 309
1044.953 289.879 0.186 309
1045.154 289.760 0.187 325
1045.354 289.680 0.187 325
1045.514 289.600 0.187 325
1045.674 289.521 0.187 341
1045.875 289.441 0.187 357
1046.075 289.362 0.188 357
1046.235 289.282 0.190 357
1046.396 289.163 0.195 373
1046.556 289.083 0.199 373
1046.716 289.003 0.202 373
1046.876 288.884 0.204 390
1047.037 288.725 0.205 406
1047.237 288.645 0.207 406
1047.397 288.526 0.209 406
1047.558 288.406 0.211 422
1047.718 288.327 0.216 438
1047.878 288.207 0.221 438
1048.038 288.128 0.226 438
1048.159 288.008 0.231 455
1048.279 287.929 0.235 455
1048.399 287.849 0.237 455
1048.479 287.809 0.239 471
1048.599 287.729 0.241 471
1048.679 287.690 0.244 487
1048.800 287.650 0.245 487
1048.880 287.610 0.246 504
1048.960 287.530 0.248 504
1049.080 287.491 0.253 520
1049.200 287.371 0.259 520
1049.321 287.292 0.266 520
1049.441 287.172 0.273 536
1049.601 287.093 0.280 536
1049.761 286.933 0.286 536
1049.922 286.814 0.293 552
1050.122 286.694 0.299 568
1050.322 286.535 0.305 568
1050.442 286.376 0.310 568
1050.603 286.217 0.314 585
1050.763 286.137 0.318 601
1050.923 286.018 0.322 601
1051.043 285.898 0.326 601
1051.204 285.819 0.327 617
1051.324 285.699 0.328 617
1051.484 285.620 0.330 617
1051.644 285.540 0.331 633
1051.765 285.460 0.331 650
1051.885 285.381 0.332 650
1052.045 285.301 0.332 650
1052.165 285.182 0.332 666
1052.286 285.062 0.333 666
1052.446 284.983 0.333 682
1052.566 284.863 0.333 682
1052.726 284.784 0.334 682
1052.886 284.664 0.336 698
1053.087 284.545 0.338 698
1053.247 284.465 0.339 698
1053.367 284.346 0.340 715
1053.487 284.266 0.341 731
1053.608 284.147 0.342 731
1053.728 284.027 0.342 731
1053.848 283.908 0.342 747
1053.928 283.788 0.343 763
1054.048 283.669 0.344 763
1054.169 283.589 0.344 763
1054.289 283.470 0.344 779
1054.369 283.390 0.345 779
1054.489 283.311 0.346 779
1054.609 283.191 0.346 796
1054.689 283.112 0.346 796
1054.810 283.032 0.347 812
1054.930 282.952 0.348 812
1055.050 282.873 0.348 829
1055.170 282.793 0.348 829
1055.291 282.674 0.348 845
1055.411 282.554 0.349 845
1055.531 282.475 0.349 845
1055.651 282.355 0.349 861
1055.811 282.236 0.350 861
1055.932 282.116 0.350 861
1056.052 282.037 0.350 877
1056.132 281.917 0.350 893
1056.212 281.838 0.350 893
1056.292 281.758 0.350 893
1056.332 281.639 0.350 909
1056.372 281.559 0.351 925
1056.492 281.480 0.351 925
1056.573 281.360 0.351 925
1056.653 281.281 0.351 942
1056.733 281.161 0.352 942
1056.853 281.081 0.351 958
1056.973 280.962 0.352 958
1057.053 280.882 0.352 974
1057.174 280.803 0.352 974
1057.254 280.723 0.351 974
1057.334 280.683 0.352 990
1057.414 280.604 0.352 990
1057.494 280.564 0.352 1007
1057.574 280.484 0.352 1007
1057.654 280.445 0.351 1007
1057.735 280.365 0.352 1023
1057.815 280.285 0.352 1039
1057.895 280.206 0.352 1039
1057.935 280.086 0.352 1039
1058.015 279.967 0.352 1055
1058.095 279.847 0.352 1055
1058.135 279.728 0.352 1055
1058.215 279.648 0.352 1072
1058.296 279.529 0.352 1088
1058.336 279.410 0.353 1088
1058.416 279.290 0.353 1088
1058.496 279.211 0.353 1104
1058.536 279.091 0.353 1120
1058.576 279.011 0.353 1120
1058.616 278.892 0.353 1120
1058.696 278.812 0.353 1136
1058.736 278.693 0.352 1136
1058.776 278.613 0.353 1136
1058.856 278.494 0.352 1152
1058.896 278.414 0.353 1152
1058.937 278.335 0.353 1169
1058.977 278.255 0.353 1169
1059.057 278.175 0.353 1185
1059.097 278.096 0.353 1185
1059.137 278.016 0.353 1201
1059.177 277.937 0.353 1201
1059.257 277.857 0.353 1201
1059.337 277.777 0.353 1217
1059.377 277.658 0.353 1217
1059.457 277.539 0.353 1217
1059.537 277.419 0.353 1234
1059.618 277.300 0.353 1250
1059.698 277.140 0.353 1250
1059.738 276.902 0.352 1250
1059.818 276.703 0.339 1266
1059.938 276.464 0.285 1282
1059.938 276.145 0.182 1282

% x_coordinate y_coordinate pressure time
% shape 1, 840 points
1080.573 220.931 0.033 0
1080.492 221.011 0.048 16
1080.412 221.130 0.060 16
1080.332 221.250 0.071 17
1080.172 221.369 0.079 32
1080.052 221.488 0.087 48
1080.052 221.608 0.095 48
1079.932 221.727 0.106 48
1079.811 221.847 0.115 65
1079.691 221.966 0.124 81
1079.611 222.086 0.135 81
1079.531 222.165 0.146 81
1079.491 222.245 0.158 97
1079.411 222.364 0.168 97
1079.371 222.484 0.180 97
1079.331 222.603 0.188 113
1079.250 222.762 0.195 113
1079.210 222.961 0.200 129
1079.130 223.200 0.203 129
1079.010 223.439 0.204 145
1078.890 223.797 0.205 145
1078.730 224.076 0.205 161
1078.569 224.394 0.206 161
1078.409 224.713 0.207 161
1078.249 225.031 0.209 177
1078.129 225.350 0.211 177
1077.968 225.628 0.216 193
1077.848 225.947 0.221 193
1077.728 226.226 0.226 209
1077.648 226.464 0.230 209
1077.568 226.703 0.234 209
1077.447 226.982 0.237 225
1077.367 227.221 0.238 242
1077.247 227.420 0.239 242
1077.127 227.659 0.239 242
1077.047 227.898 0.240 258
1076.927 228.176 0.242 258
1076.846 228.415 0.244 258
1076.726 228.654 0.246 274
1076.646 228.933 0.248 290
1076.566 229.171 0.249 290
1076.486 229.410 0.250 290
1076.406 229.649 0.251 306
1076.286 229.928 0.251 306
1076.165 230.127 0.251 322
1076.045 230.366 0.251 322
1075.965 230.644 0.252 338
1075.925 230.843 0.252 338
1075.845 231.003 0.252 354
1075.805 231.202 0.252 354
1075.765 231.361 0.252 354
1075.724 231.520 0.252 370
1075.684 231.679 0.252 370
1075.644 231.839 0.253 386
1075.604 231.998 0.252 386
1075.564 232.157 0.253 402
1075.524 232.316 0.253 402
1075.484 232.475 0.253 402
1075.444 232.635 0.254 418
1075.404 232.834 0.255 434
1075.324 232.953 0.255 434
1075.284 233.112 0.256 434
1075.244 233.232 0.256 450
1075.204 233.351 0.256 450
1075.164 233.471 0.257 450
1075.164 233.630 0.259 466
1075.124 233.749 0.260 483
1075.083 233.909 0.261 483
1075.083 234.028 0.262 483
1075.043 234.187 0.262 499
1075.003 234.307 0.263 515
1074.963 234.466 0.263 515
1074.883 234.625 0.263 515
1074.843 234.745 0.263 531
1074.803 234.904 0.264 531
1074.723 235.023 0.264 531
1074.643 235.222 0.264 547
1074.563 235.342 0.264 563
1074.482 235.461 0.264 563
1074.442 235.581 0.265 563
1074.362 235.700 0.266 579
