% x_coordinate y_coordinate pressure time
% shape 0, 798 points
321.347 80.248 0.024 0
321.307 80.248 0.048 0
321.267 80.248 0.064 16
321.267 80.248 0.084 16
321.227 80.248 0.104 17
321.187 80.248 0.119 32
321.147 80.169 0.134 48
321.107 80.129 0.147 48
321.067 80.089 0.159 49
321.067 80.049 0.173 64
321.027 80.010 0.185 64
320.987 79.970 0.194 80
320.987 79.930 0.198 80
320.947 79.930 0.200 81
320.906 79.930 0.204 96
320.866 79.930 0.209 112
320.866 79.930 0.213 112
320.826 79.930 0.218 112
320.786 79.930 0.222 128
320.786 79.930 0.227 128
320.746 79.930 0.233 128
320.746 79.930 0.238 144
320.746 79.930 0.245 160
320.746 79.930 0.251 160
320.746 79.930 0.256 160
320.746 79.930 0.260 176
320.746 79.930 0.263 176
320.746 79.930 0.265 192
320.746 79.930 0.266 192
320.746 79.930 0.268 208
320.746 79.930 0.272 208
320.746 79.930 0.279 224
320.746 79.930 0.285 224
320.826 79.930 0.292 224
320.906 79.890 0.298 240
320.987 79.890 0.305 240
321.067 79.850 0.310 240
321.187 79.850 0.316 257
321.267 79.771 0.319 273
321.347 79.731 0.324 273
321.467 79.691 0.328 273
321.548 79.612 0.334 289
321.668 79.572 0.340 305
321.788 79.492 0.345 305
321.868 79.412 0.349 305
322.068 79.333 0.352 322
322.189 79.253 0.354 322
322.309 79.174 0.355 322
322.469 79.094 0.357 338
322.589 79.014 0.358 338
322.750 78.975 0.359 354
322.870 78.895 0.361 354
322.990 78.855 0.361 354
323.150 78.776 0.362 370
323.270 78.736 0.362 386
323.391 78.656 0.363 386
323.511 78.576 0.364 386
323.671 78.497 0.364 403
323.791 78.417 0.365 419
323.952 78.338 0.365 419
324.112 78.258 0.367 419
324.232 78.139 0.367 435
324.392 78.059 0.368 435
324.513 77.979 0.369 435
324.673 77.900 0.370 451
324.793 77.860 0.370 468
324.953 77.741 0.370 468
325.154 77.661 0.370 468
325.314 77.581 0.371 484
325.474 77.462 0.372 484
325.634 77.342 0.373 500
325.795 77.223 0.375 500
325.915 77.104 0.377 500
325.995 76.984 0.379 516
326.115 76.865 0.381 516
326.235 76.745 0.382 532
326.316 76.626 0.384 532
326.436 76.546 0.386 548
326.516 76.427 0.387 548
326.636 76.307 0.387 548
326.796 76.228 0.387 565
326.917 76.148 0.387 581
327.037 76.029 0.388 581
327.197 75.909 0.388 581
327.357 75.790 0.388 597
327.477 75.670 0.388 597
327.638 75.511 0.388 597
327.758 75.392 0.388 613
327.958 75.272 0.389 630
328.078 75.113 0.389 630
328.199 74.994 0.389 630
328.279 74.795 0.390 646
328.399 74.635 0.391 662
328.519 74.476 0.392 662
328.639 74.357 0.393 662
328.720 74.237 0.394 678
328.840 74.118 0.395 678
328.960 73.999 0.396 678
329.040 73.879 0.397 694
329.120 73.760 0.399 694
329.240 73.680 0.400 711
329.361 73.561 0.401 711
329.481 73.441 0.402 727
329.561 73.322 0.403 727
329.681 73.202 0.404 743
329.801 73.083 0.404 743
329.922 72.964 0.405 743
330.042 72.884 0.405 759
330.162 72.764 0.407 759
330.242 72.605 0.407 759
330.362 72.486 0.407 775
330.442 72.366 0.407 792
330.603 72.247 0.408 792
330.683 72.128 0.408 792
330.763 72.008 0.408 808
330.883 71.889 0.409 824
330.963 71.769 0.409 824
331.043 71.650 0.410 824
331.124 71.570 0.411 840
331.204 71.451 0.412 840
331.324 71.371 0.413 840
331.404 71.252 0.413 857
331.484 71.172 0.416 873
331.604 71.053 0.417 873
331.644 70.933 0.419 873
331.765 70.774 0.421 889
331.845 70.655 0.424 889
331.925 70.456 0.426 906
332.005 70.336 0.427 906
332.125 70.217 0.429 906
332.205 70.058 0.431 922
332.285 69.898 0.434 922
332.406 69.739 0.435 922
332.486 69.620 0.437 938
332.566 69.460 0.438 954
332.646 69.341 0.440 954
332.766 69.222 0.442 954
332.806 69.102 0.444 970
332.886 68.943 0.445 987
332.967 68.823 0.446 987
333.047 68.704 0.447 987
333.127 68.545 0.448 1003
333.247 68.425 0.449 1003
333.367 68.266 0.449 1003
333.487 68.187 0.450 1019
333.568 68.027 0.450 1035
333.648 67.908 0.451 1035
333.728 67.788 0.452 1035
333.808 67.669 0.454 1051
333.928 67.550 0.455 1051
333.968 67.390 0.457 1068
334.048 67.271 0.459 1068
334.129 67.151 0.462 1084
334.209 66.992 0.464 1084
334.289 66.873 0.465 1084
334.329 66.753 0.466 1100
334.449 66.594 0.467 1100
334.489 66.435 0.467 1116
334.609 66.276 0.468 1116
334.689 66.077 0.468 1116
334.770 65.957 0.468 1133
334.890 65.798 0.469 1149
334.970 65.639 0.469 1149
335.050 65.480 0.470 1149
335.170 65.320 0.471 1165
335.250 65.161 0.471 1165
335.331 65.002 0.473 1165
335.451 64.843 0.474 1181
335.571 64.644 0.474 1198
335.731 64.484 0.475 1198
335.891 64.325 0.475 1198
336.012 64.126 0.475 1214
336.132 63.927 0.475 1230
336.252 63.768 0.476 1230
336.372 63.609 0.476 1230
336.452 63.489 0.477 1246
336.573 63.330 0.478 1246
336.653 63.171 0.480 1246
336.773 63.051 0.482 1262
336.853 62.852 0.485 1262
336.933 62.693 0.486 1279
337.053 62.534 0.488 1279
337.134 62.374 0.489 1295
337.214 62.215 0.491 1295
337.294 62.016 0.492 1311
337.334 61.857 0.493 1311
337.414 61.658 0.493 1311
337.494 61.499 0.494 1327
337.574 61.340 0.494 1327
337.654 61.180 0.496 1327
337.775 61.061 0.496 1343
337.855 60.902 0.496 1360
337.935 60.742 0.496 1360
338.015 60.583 0.497 1360
338.055 60.464 0.497 1376
338.175 60.304 0.498 1392
338.255 60.185 0.498 1392
338.336 60.066 0.498 1392
338.376 59.906 0.499 1408
338.456 59.787 0.499 1408

338.466 59.588 0.499 1408
338.476 59.429 0.500 1425
338.536 59.230 0.500 1441
338.656 59.031 0.500 1441
338.787 58.832 0.500 1441
338.817 58.632 0.501 1457
338.857 58.473 0.503 1457
338.957 58.274 0.505 1473
339.057 58.115 0.506 1473
339.137 57.916 0.508 1473
339.187 57.717 0.508 1490
339.227 57.558 0.509 1490
339.237 57.319 0.509 1490
339.318 57.160 0.509 1506
339.328 57.000 0.509 1522
339.413 56.801 0.510 1522
339.438 56.642 0.509 1522
339.558 56.483 0.510 1538
339.588 56.284 0.510 1554
339.618 56.085 0.510 1554
339.758 55.926 0.510 1554
339.799 55.727 0.510 1570
339.839 55.567 0.510 1570
339.999 55.368 0.511 1587
340.079 55.169 0.511 1587
340.199 55.010 0.511 1603
340.239 54.851 0.512 1603
340.249 54.691 0.512 1603
340.259 54.532 0.512 1619
340.370 54.373 0.512 1619
340.380 54.214 0.512 1635
340.409 54.015 0.512 1635
340.480 53.855 0.512 1635
340.485 53.696 0.512 1651
340.600 53.537 0.513 1668
340.680 53.378 0.513 1668
340.760 53.139 0.512 1668
340.801 53.020 0.513 1684
340.881 52.860 0.513 1684
340.961 52.701 0.513 1684
341.001 52.502 0.513 1700
341.081 52.343 0.513 1716
341.161 52.144 0.513 1716
341.141 51.945 0.513 1716
341.231 51.786 0.513 1733
341.261 51.626 0.514 1749
341.382 51.467 0.514 1749
341.402 51.268 0.514 1749
341.422 51.149 0.514 1765
341.512 50.949 0.514 1765
341.592 50.790 0.513 1765
341.622 50.631 0.514 1781
341.712 50.472 0.514 1781
341.792 50.313 0.514 1798
341.822 50.153 0.514 1798
341.893 49.994 0.514 1798
341.983 49.835 0.514 1814
342.003 49.676 0.514 1830
342.043 49.516 0.514 1830
342.123 49.357 0.514 1830
342.193 49.198 0.514 1847
342.253 49.039 0.514 1847
342.313 48.840 0.514 1847
342.423 48.720 0.514 1863
342.463 48.561 0.514 1879
342.523 48.442 0.514 1879
342.554 48.282 0.514 1879
342.604 48.163 0.514 1896
342.614 48.044 0.514 1912
342.654 47.884 0.514 1912
342.744 47.765 0.514 1912
342.794 47.645 0.514 1928
342.804 47.526 0.514 1928
342.814 47.446 0.514 1928
342.844 47.327 0.515 1944
342.924 47.207 0.514 1944
342.964 47.128 0.515 1961
343.004 47.008 0.515 1961

343.085 46.919 0.515 1977
343.175 46.829 0.515 1977
343.225 46.760 0.515 1993
343.265 46.670 0.515 1993
343.305 46.580 0.515 1993
343.320 46.491 0.515 2009
343.345 46.401 0.515 2009
343.365 46.311 0.515 2009
343.385 46.222 0.515 2025
343.425 46.132 0.515 2042
343.455 46.042 0.515 2042
343.465 45.952 0.515 2042
343.505 45.863 0.515 2058
343.518 45.773 0.515 2074
343.529 45.683 0.514 2090
343.542 45.593 0.513 2106
343.559 45.502 0.515 2042
343.576 45.413 0.515 2058
343.592 45.323 0.515 2074
343.607 45.233 0.514 2090
343.615 45.143 0.513 2106
343.621 45.052 0.515 2042
343.617 45.083 0.515 2058
343.603 45.173 0.515 2074
343.585 45.263 0.514 2090
343.579 45.353 0.513 2106
343.568 45.442 0.515 2042
343.557 45.533 0.515 2058
343.547 45.623 0.515 2074
343.536 45.713 0.514 2090
343.524 45.803 0.513 2106
343.517 45.892 0.515 2042
343.510 45.983 0.515 2058

343.507 46.133 0.514 2123
343.445 46.173 0.515 2139
343.368 46.292 0.516 2139
343.305 46.372 0.516 2155
343.275 46.491 0.516 2155
343.216 46.610 0.517 2155
343.205 46.770 0.517 2171
343.145 46.929 0.517 2171
343.065 47.088 0.517 2171
342.985 47.287 0.517 2187
342.910 47.446 0.517 2203
342.838 47.606 0.517 2203
342.754 47.765 0.517 2203
342.674 47.964 0.518 2220
342.599 48.123 0.518 2236
342.514 48.322 0.518 2236
342.434 48.521 0.518 2236
342.363 48.720 0.518 2253
342.284 48.999 0.518 2253
342.263 49.198 0.518 2253
342.203 49.437 0.518 2269
342.183 49.676 0.519 2285
342.123 49.915 0.519 2285
341.993 50.153 0.519 2285
341.982 50.352 0.519 2301
341.912 50.591 0.519 2301
341.822 50.830 0.519 2317
341.792 51.109 0.519 2317
341.672 51.308 0.519 2317
341.582 51.547 0.519 2333
341.341 51.786 0.519 2333
341.281 52.024 0.519 2350
341.231 52.263 0.519 2350
341.181 52.502 0.519 2366
341.041 52.741 0.519 2366
340.881 53.020 0.519 2366
340.640 53.298 0.519 2382
340.553 53.577 0.519 2398
340.523 53.855 0.520 2398
340.386 54.134 0.520 2398
340.374 54.413 0.520 2415
340.359 54.691 0.520 2415
340.349 54.970 0.522 2415

340.339 55.209 0.522 2431
340.259 55.488 0.523 2447
340.139 55.766 0.524 2447
340.018 55.965 0.525 2447
339.898 56.204 0.527 2463
339.778 56.403 0.528 2463
339.658 56.642 0.530 2479
339.538 56.841 0.532 2479
339.417 57.040 0.534 2496
339.297 57.239 0.536 2496
339.177 57.438 0.538 2512
339.057 57.677 0.539 2512
338.977 57.876 0.540 2512
338.897 58.075 0.541 2528
338.816 58.274 0.541 2528
338.736 58.473 0.543 2528
338.696 58.672 0.543 2544
338.616 58.871 0.543 2561
338.536 59.070 0.544 2561
338.496 59.230 0.545 2561
338.456 59.429 0.546 2577
338.416 59.588 0.546 2593
338.376 59.787 0.547 2593
338.295 59.946 0.548 2593
338.295 60.105 0.549 2609
338.255 60.265 0.550 2609
338.215 60.384 0.552 2609
338.135 60.543 0.555 2625
338.135 60.663 0.557 2642
338.135 60.782 0.559 2642
338.135 60.862 0.561 2642
338.095 61.021 0.563 2658
338.095 61.140 0.564 2658
338.055 61.300 0.565 2674
338.015 61.419 0.567 2674
337.975 61.578 0.568 2674
337.895 61.777 0.568 2690
337.855 61.976 0.570 2690
337.775 62.096 0.570 2706
337.735 62.255 0.570 2706
337.654 62.374 0.571 2723
337.614 62.494 0.572 2723
337.574 62.653 0.573 2723
337.494 62.773 0.574 2739
337.454 62.892 0.576 2755
337.414 63.011 0.578 2755
337.374 63.171 0.580 2755
337.374 63.290 0.581 2771
337.334 63.410 0.582 2771
337.294 63.569 0.583 2771
337.254 63.688 0.583 2788
337.254 63.847 0.584 2804
337.214 64.046 0.584 2804
337.174 64.206 0.584 2804
337.134 64.325 0.584 2820
337.093 64.524 0.585 2820
337.013 64.644 0.585 2836
336.973 64.803 0.585 2836
336.933 64.962 0.585 2836
336.853 65.081 0.585 2853
336.813 65.241 0.585 2853
336.773 65.400 0.585 2869
336.693 65.559 0.585 2869
336.653 65.679 0.586 2885
336.613 65.838 0.585 2885
336.533 65.997 0.586 2885
336.452 66.196 0.586 2901
336.372 66.355 0.586 2918
336.292 66.515 0.586 2918
336.252 66.674 0.586 2918
336.172 66.833 0.587 2934
336.092 66.992 0.587 2934
336.012 67.151 0.588 2934
335.972 67.271 0.590 2950
335.932 67.390 0.592 2966
335.891 67.510 0.593 2966
335.851 67.629 0.595 2966
335.811 67.788 0.596 2982
335.771 67.908 0.597 2982
335.731 68.027 0.598 2998
335.651 68.187 0.598 2998
335.611 68.386 0.599 3015
335.531 68.545 0.599 3015
335.491 68.704 0.599 3031
335.451 68.863 0.599 3031
335.411 69.022 0.600 3031
335.331 69.182 0.600 3047
335.331 69.301 0.600 3047
335.290 69.421 0.600 3047
335.290 69.540 0.601 3063
335.250 69.620 0.601 3080
335.250 69.739 0.602 3080
335.250 69.858 0.603 3080
