% x_coordinate y_coordinate pressure time
% shape 0, 1684 points
563.291 129.004 0.058 0
563.291 129.004 0.094 0
563.291 129.004 0.130 16
563.291 129.004 0.167 17
563.291 129.004 0.199 18
563.291 129.004 0.230 32
563.291 129.004 0.255 48
563.291 129.004 0.282 48
563.291 129.004 0.303 48
563.291 129.004 0.319 64
563.291 129.004 0.333 80
563.291 129.004 0.348 80
563.331 128.964 0.360 80
563.411 128.884 0.370 96
563.451 128.765 0.379 96
563.531 128.606 0.390 96
563.611 128.446 0.402 112
563.651 128.247 0.412 112
563.731 128.048 0.419 128
563.771 127.849 0.426 128
563.811 127.650 0.433 128
563.891 127.451 0.440 144
563.932 127.212 0.447 160
564.012 127.013 0.454 160
564.092 126.735 0.460 160
564.172 126.496 0.469 176
564.292 126.257 0.475 192
564.452 126.018 0.480 192
564.613 125.739 0.484 192
564.773 125.501 0.485 209
564.973 125.262 0.487 209
565.094 125.023 0.489 209
565.254 124.824 0.491 226
565.374 124.545 0.494 226
565.494 124.346 0.497 242
565.614 124.187 0.500 242
565.695 123.988 0.503 258
565.815 123.829 0.506 258
565.935 123.669 0.510 274
566.055 123.510 0.513 274
566.175 123.311 0.516 274
566.336 123.152 0.518 290
566.496 122.953 0.520 290
566.736 122.754 0.521 290
566.937 122.515 0.522 306
567.177 122.276 0.523 323
567.377 122.077 0.523 323
567.618 121.878 0.523 323
567.818 121.719 0.524 339
568.018 121.560 0.525 355
568.179 121.440 0.528 355
568.339 121.321 0.531 355
568.499 121.161 0.534 371
568.659 121.042 0.538 371
568.820 120.883 0.541 387
568.980 120.724 0.543 387
569.140 120.564 0.544 403
569.341 120.405 0.545 403
569.501 120.246 0.546 403
569.661 120.047 0.547 419
569.821 119.927 0.547 419
569.982 119.768 0.548 436
570.222 119.609 0.549 436
570.422 119.410 0.549 436
570.663 119.251 0.550 452
570.903 119.012 0.552 468
571.184 118.813 0.553 468
571.424 118.614 0.555 468
571.704 118.415 0.557 484
571.985 118.255 0.559 484
572.225 118.056 0.560 484
572.506 117.897 0.561 500
572.746 117.738 0.562 516
573.027 117.618 0.563 516
573.307 117.499 0.564 517
573.588 117.419 0.564 533
573.868 117.340 0.565 549
574.149 117.260 0.565 549
574.469 117.181 0.565 550
574.750 117.061 0.566 565
575.070 116.982 0.566 565
575.351 116.862 0.566 566
575.671 116.743 0.567 581
575.952 116.623 0.567 581
576.232 116.544 0.568 597
576.513 116.464 0.571 597
576.713 116.384 0.573 613
576.953 116.345 0.576 613
577.114 116.305 0.577 629
577.314 116.305 0.578 629
577.514 116.305 0.579 629
577.715 116.305 0.580 645
577.955 116.305 0.579 661
578.195 116.305 0.580 661
578.436 116.305 0.580 662
578.636 116.305 0.580 678
578.876 116.305 0.581 678
579.117 116.305 0.581 678
579.317 116.305 0.581 695
579.558 116.305 0.581 711
579.798 116.305 0.581 711
580.078 116.305 0.582 712
580.279 116.305 0.582 727
580.519 116.305 0.582 727
580.719 116.345 0.583 728
580.920 116.384 0.584 743
581.160 116.424 0.585 759
581.361 116.464 0.587 759
581.561 116.504 0.587 760
581.761 116.504 0.589 775
581.962 116.583 0.590 775
582.162 116.663 0.591 792
582.362 116.703 0.592 792
582.603 116.783 0.593 793
582.843 116.862 0.593 808
583.083 116.942 0.593 808
583.324 117.021 0.593 824
583.604 117.061 0.594 824
583.805 117.141 0.594 840
584.005 117.181 0.595 840
584.205 117.220 0.595 840
584.406 117.300 0.595 856
584.566 117.340 0.596 872
584.766 117.419 0.596 872
584.927 117.459 0.597 872
585.127 117.539 0.597 888
585.247 117.579 0.598 904
585.407 117.658 0.599 904
585.568 117.698 0.601 904
585.728 117.818 0.603 920
585.888 117.897 0.604 920
586.008 117.977 0.605 920
586.169 118.056 0.606 936
586.329 118.176 0.607 952
586.449 118.295 0.608 952
586.569 118.415 0.609 952
586.690 118.494 0.609 968
586.810 118.614 0.609 968
586.930 118.733 0.610 984
587.050 118.853 0.610 984
587.130 118.932 0.611 984
587.250 119.012 0.611 1000
587.371 119.131 0.611 1000
587.491 119.211 0.612 1000
587.611 119.290 0.613 1016
587.731 119.370 0.614 1033
587.851 119.489 0.614 1033
587.972 119.569 0.615 1033
588.092 119.689 0.616 1049
588.212 119.848 0.616 1065
588.292 120.007 0.617 1065
588.412 120.166 0.617 1065
588.533 120.286 0.617 1081
588.653 120.405 0.618 1081
588.733 120.525 0.618 1081
588.813 120.644 0.618 1097
588.893 120.763 0.618 1113
588.933 120.923 0.618 1113
589.013 121.002 0.619 1113
589.053 121.161 0.619 1129
589.134 121.241 0.619 1129
589.174 121.360 0.620 1145
589.214 121.480 0.620 1145
589.254 121.560 0.621 1161
589.254 121.679 0.621 1161
589.294 121.798 0.621 1177
589.334 121.878 0.622 1177
589.374 121.997 0.622 1177
589.374 122.157 0.623 1193
589.414 122.236 0.623 1193
589.454 122.356 0.623 1209
589.454 122.435 0.623 1209
589.454 122.515 0.623 1225
589.454 122.595 0.624 1225
589.454 122.674 0.624 1225
589.454 122.754 0.625 1241
589.454 122.833 0.625 1257
589.454 122.953 0.625 1257
589.454 123.032 0.626 1257
589.454 123.112 0.627 1273
589.454 123.231 0.629 1273
589.454 123.311 0.630 1273
589.454 123.431 0.631 1290
589.454 123.550 0.633 1306
589.454 123.669 0.634 1306
589.454 123.749 0.635 1306
589.454 123.868 0.635 1322
589.414 123.988 0.635 1322
589.374 124.107 0.635 1338
589.334 124.227 0.636 1338
589.294 124.386 0.636 1354
589.254 124.505 0.636 1354
589.214 124.625 0.637 1354
589.174 124.744 0.637 1371
589.134 124.864 0.637 1371
589.053 124.983 0.637 1387
589.053 125.142 0.637 1387
589.013 125.262 0.637 1387
588.973 125.381 0.637 1403
588.973 125.501 0.637 1419
588.933 125.620 0.637 1419
588.933 125.739 0.637 1419
588.893 125.859 0.637 1435
588.853 125.978 0.638 1435
