% x_coordinate y_coordinate pressure time
% shape 0, 820 points

728.047 159.296 0.479 210
728.167 159.057 0.486 226
728.327 158.858 0.492 226
728.528 158.620 0.499 242
728.728 158.421 0.503 242
728.888 158.221 0.505 242
729.129 158.022 0.508 258
729.329 157.823 0.509 275
729.529 157.624 0.509 275
729.729 157.465 0.511 275
729.890 157.266 0.512 291
730.090 157.067 0.514 291
730.291 156.828 0.516 291
730.491 156.589 0.519 307
730.691 156.390 0.527 323
730.892 156.151 0.534 323
731.132 155.873 0.539 323
731.332 155.674 0.543 339
731.532 155.435 0.546 339
731.693 155.196 0.549 356
731.853 155.037 0.551 356
732.013 154.838 0.552 356
732.214 154.599 0.553 372
732.374 154.440 0.553 388
732.534 154.320 0.554 388
732.694 154.161 0.554 388
732.855 154.002 0.554 404
732.975 153.843 0.554 404
733.095 153.683 0.554 404
733.255 153.564 0.555 420
733.376 153.365 0.555 436
733.536 153.206 0.555 436
733.776 153.046 0.556 436
733.937 152.887 0.557 452
734.137 152.688 0.558 469
734.337 152.529 0.559 469
734.497 152.370 0.560 469
734.698 152.211 0.562 485
734.858 152.051 0.562 485
735.058 151.932 0.562 485
735.259 151.812 0.563 501
735.419 151.733 0.563 501
735.579 151.653 0.563 517
735.780 151.534 0.563 517
735.980 151.454 0.563 533
736.140 151.374 0.563 533
736.341 151.255 0.564 549
736.541 151.175 0.563 549
736.781 151.096 0.564 549
736.942 150.976 0.564 566
737.102 150.897 0.564 582
737.262 150.817 0.565 582
737.422 150.738 0.565 582
737.583 150.698 0.565 598
737.743 150.618 0.565 598
737.943 150.539 0.565 598
738.104 150.499 0.565 615
738.304 150.419 0.566 631
738.504 150.379 0.565 631
738.705 150.300 0.566 631
738.905 150.220 0.567 647
739.065 150.180 0.567 647
739.225 150.140 0.568 664
739.386 150.101 0.570 664
739.546 150.061 0.570 664
739.666 150.061 0.571 680
739.826 150.061 0.571 680
740.027 150.061 0.571 696
740.187 150.061 0.572 696
740.387 150.061 0.572 712
740.548 150.061 0.572 712
740.748 150.061 0.573 712
740.908 150.061 0.572 729
741.109 150.061 0.573 745
741.309 150.061 0.574 745
741.469 150.061 0.574 745
741.669 150.061 0.574 761
741.830 150.021 0.575 761
741.990 149.981 0.575 761
742.150 149.981 0.575 777
742.270 149.981 0.575 793
742.391 149.981 0.575 793
742.511 149.981 0.576 794
742.671 149.981 0.576 809
742.791 149.981 0.576 809
