% x_coordinate y_coordinate pressure time
% shape 0, 1760 points
739.319 125.683 0.062 0
739.359 125.683 0.101 16
739.359 125.683 0.124 16
739.359 125.683 0.147 16
739.359 125.683 0.166 32
739.359 125.643 0.186 32
739.359 125.683 0.200 48
739.359 125.643 0.217 48
739.399 125.643 0.236 48
739.399 125.603 0.246 64
739.399 125.603 0.255 64
739.399 125.564 0.266 80
739.399 125.564 0.275 80
739.399 125.524 0.282 96
739.399 125.484 0.285 112
739.439 125.444 0.289 112
739.479 125.365 0.295 112
739.559 125.325 0.300 128
739.599 125.245 0.306 128
739.679 125.126 0.311 128
739.800 125.046 0.315 144
739.880 124.927 0.319 144
740.000 124.887 0.326 160
740.080 124.728 0.332 160
740.200 124.568 0.339 176
740.280 124.409 0.345 176
740.401 124.250 0.350 192
740.521 124.091 0.355 192
740.601 123.971 0.361 192
740.721 123.812 0.367 209
740.761 123.653 0.370 209
740.922 123.494 0.374 209
741.002 123.295 0.377 225
741.122 123.135 0.381 241
741.282 123.016 0.383 241
741.402 122.857 0.385 241
741.523 122.697 0.387 257
741.643 122.538 0.391 273
741.803 122.419 0.393 273
741.923 122.260 0.395 273
742.043 122.100 0.396 289
742.164 121.981 0.397 289
742.284 121.861 0.399 289
742.404 121.742 0.399 305
742.484 121.622 0.400 321
742.604 121.503 0.401 321
742.685 121.384 0.402 321
742.805 121.264 0.403 337
742.965 121.145 0.405 337
743.085 120.946 0.406 353
743.245 120.826 0.408 353
743.366 120.707 0.410 353
743.486 120.588 0.411 369
743.606 120.468 0.413 385
743.726 120.309 0.413 385
743.886 120.189 0.415 385
744.007 120.070 0.416 401
744.167 119.951 0.418 401
744.247 119.871 0.419 401
744.407 119.752 0.419 417
744.528 119.672 0.420 434
744.648 119.553 0.421 434
744.768 119.473 0.422 434
744.888 119.393 0.422 450
745.008 119.314 0.424 450
745.129 119.194 0.425 466
745.249 119.115 0.426 466
745.369 119.035 0.427 466
745.489 118.955 0.428 482
745.609 118.836 0.430 498
745.730 118.756 0.433 498
745.850 118.677 0.435 498
746.010 118.557 0.437 514
746.130 118.478 0.439 530
746.250 118.398 0.441 530
746.331 118.358 0.443 530
746.451 118.279 0.444 546
746.531 118.239 0.444 546
746.651 118.199 0.445 546
746.771 118.159 0.445 562
746.891 118.119 0.445 578
746.972 118.080 0.446 578
747.092 118.000 0.446 578
747.252 117.960 0.446 594
747.372 117.881 0.446 594
747.533 117.841 0.447 610
747.653 117.761 0.447 610
747.813 117.721 0.448 610
747.933 117.642 0.449 626
748.094 117.562 0.449 642
748.254 117.522 0.450 642
748.374 117.443 0.451 642
748.534 117.403 0.451 658
748.614 117.363 0.452 658
748.694 117.323 0.453 658
748.815 117.283 0.454 674
748.935 117.204 0.454 691
749.055 117.164 0.455 691
749.215 117.124 0.456 691
749.376 117.045 0.457 707
749.536 117.005 0.458 707
749.696 116.925 0.459 723
749.816 116.885 0.460 723
749.937 116.806 0.460 739
750.137 116.766 0.461 739
750.217 116.726 0.462 739
750.377 116.686 0.462 755
750.538 116.686 0.463 755
750.658 116.646 0.463 771
750.778 116.607 0.464 771
750.898 116.607 0.464 771
751.058 116.567 0.465 787
751.139 116.567 0.466 803
751.259 116.527 0.466 803
751.419 116.527 0.466 803
751.539 116.487 0.467 819
751.659 116.487 0.467 835
751.780 116.447 0.467 835
751.940 116.447 0.468 835
752.060 116.408 0.468 851
752.220 116.408 0.468 851
752.341 116.288 0.469 851
752.501 116.209 0.469 867
752.621 116.209 0.470 883
752.741 116.209 0.470 883
752.901 116.209 0.470 883
752.982 116.209 0.470 899
753.142 116.209 0.470 899
753.262 116.209 0.471 915
753.422 116.209 0.471 915
753.583 116.209 0.471 931
753.743 116.209 0.471 931
753.903 116.209 0.471 931
754.063 116.209 0.471 947
754.224 116.169 0.473 947
754.384 116.169 0.473 963
754.504 116.169 0.473 963
754.705 116.129 0.473 979
754.825 116.129 0.473 979
754.985 116.129 0.473 995
755.105 116.129 0.474 995
755.265 116.129 0.474 995
755.386 116.129 0.474 1012
755.546 116.169 0.474 1028
755.706 116.169 0.474 1028
755.826 116.169 0.474 1028
756.027 116.169 0.474 1045
756.227 116.169 0.475 1045
756.387 116.169 0.475 1045
756.548 116.129 0.476 1061
756.668 116.129 0.476 1077
756.828 116.089 0.477 1077
756.948 116.089 0.477 1077
757.068 116.089 0.478 1093
757.149 116.089 0.479 1093
757.269 116.089 0.480 1109
757.349 116.089 0.481 1109
757.469 116.089 0.482 1125
757.589 116.129 0.484 1125
757.709 116.129 0.485 1125
757.830 116.169 0.485 1141
757.950 116.248 0.486 1141
758.070 116.288 0.486 1157
758.190 116.328 0.487 1157
758.311 116.328 0.487 1174
758.431 116.368 0.487 1174
758.511 116.368 0.488 1190
758.631 116.408 0.488 1190
758.711 116.408 0.488 1190
758.831 116.408 0.489 1206
758.911 116.408 0.489 1206
758.992 116.408 0.490 1206
759.112 116.408 0.491 1222
759.192 116.408 0.491 1238
759.312 116.408 0.492 1238
759.392 116.408 0.493 1238
759.513 116.447 0.493 1254
759.593 116.447 0.493 1270
759.673 116.487 0.494 1270
759.793 116.527 0.494 1270
759.873 116.527 0.494 1286
760.033 116.567 0.494 1286
760.114 116.607 0.495 1286
760.194 116.607 0.495 1303
760.314 116.646 0.496 1319
760.394 116.646 0.496 1319
760.474 116.646 0.497 1319
760.554 116.686 0.497 1335
760.634 116.686 0.498 1335
760.715 116.686 0.498 1351
760.795 116.686 0.499 1351
760.875 116.726 0.499 1351
760.915 116.726 0.499 1367
760.995 116.766 0.500 1383
761.035 116.766 0.500 1383
761.115 116.806 0.500 1383
761.195 116.846 0.500 1399
761.275 116.885 0.500 1399
761.356 116.925 0.501 1399
761.396 116.965 0.501 1415
761.476 116.965 0.501 1431
761.556 117.005 0.501 1431
761.636 117.045 0.502 1431
761.756 117.084 0.502 1448
761.836 117.084 0.502 1464
761.917 117.124 0.503 1464
761.997 117.164 0.503 1464
762.117 117.204 0.504 1480
762.157 117.244 0.504 1480
762.197 117.323 0.504 1480
762.237 117.363 0.505 1496
762.277 117.403 0.505 1512
762.357 117.482 0.506 1512
762.357 117.522 0.506 1512
762.437 117.562 0.507 1528
762.477 117.642 0.507 1528
762.558 117.682 0.508 1544
762.598 117.721 0.508 1544
762.678 117.761 0.508 1544
762.758 117.801 0.508 1560
762.798 117.881 0.508 1560
762.878 117.920 0.509 1576
762.918 117.960 0.509 1576
762.998 118.040 0.509 1592
762.998 118.119 0.509 1592
763.078 118.199 0.509 1592
763.119 118.239 0.510 1608
763.159 118.318 0.510 1624
763.199 118.398 0.510 1624
763.239 118.518 0.510 1624
763.279 118.597 0.511 1640
763.319 118.677 0.510 1640
763.359 118.756 0.511 1656
763.439 118.836 0.511 1656
763.479 118.916 0.511 1672
763.519 118.955 0.511 1672
763.559 118.995 0.511 1672
763.599 119.075 0.511 1688
763.639 119.154 0.511 1688
763.639 119.194 0.512 1704
763.679 119.234 0.512 1704
763.720 119.314 0.512 1720
763.760 119.393 0.512 1720
763.760 119.433 0.512 1737
763.800 119.513 0.512 1737
763.840 119.553 0.512 1737
763.880 119.632 0.512 1753
763.920 119.712 0.512 1769
763.960 119.791 0.512 1769
764.040 119.871 0.513 1769
764.040 119.951 0.513 1785
764.040 120.030 0.513 1785
764.040 120.110 0.513 1785
764.080 120.189 0.513 1802
764.080 120.269 0.513 1818
764.080 120.388 0.513 1818
764.120 120.468 0.513 1818
764.120 120.548 0.513 1834
764.200 120.627 0.513 1834
764.200 120.707 0.513 1850
764.200 120.826 0.513 1850
764.240 120.906 0.513 1850
764.240 120.986 0.513 1866
764.280 121.065 0.514 1882
764.280 121.145 0.513 1882
764.280 121.224 0.513 1882
764.280 121.344 0.514 1898
764.280 121.423 0.513 1898
764.280 121.503 0.513 1914
764.280 121.622 0.514 1914
764.280 121.702 0.514 1930
764.280 121.822 0.514 1930
764.280 121.941 0.514 1930
764.320 122.021 0.514 1946
764.320 122.100 0.514 1946
764.320 122.180 0.514 1962
764.320 122.260 0.514 1962
764.320 122.339 0.514 1962
764.320 122.379 0.514 1978
764.320 122.459 0.514 1994
764.320 122.538 0.514 1994
764.320 122.618 0.514 1994
764.361 122.737 0.514 2010
764.361 122.817 0.514 2010
764.361 122.896 0.514 2010
764.361 123.016 0.514 2026
764.361 123.135 0.514 2042
764.361 123.255 0.514 2042
764.361 123.334 0.514 2042
764.361 123.414 0.515 2058
764.361 123.533 0.514 2074
764.361 123.613 0.514 2074
764.361 123.693 0.514 2074
764.361 123.812 0.514 2091
764.361 123.892 0.515 2091
764.361 124.011 0.514 2091
764.361 124.091 0.514 2107
764.361 124.170 0.514 2123
764.361 124.290 0.514 2123
764.361 124.369 0.515 2123
764.361 124.449 0.515 2139
764.361 124.529 0.514 2139
764.361 124.608 0.515 2155
764.361 124.688 0.515 2155
764.361 124.767 0.515 2155
764.361 124.847 0.515 2171
764.361 124.927 0.515 2188
764.361 125.006 0.514 2188
764.361 125.086 0.515 2188
764.361 125.165 0.515 2204
764.361 125.285 0.514 2204
764.361 125.365 0.515 2204
764.361 125.524 0.515 2220
764.361 125.603 0.515 2236
764.361 125.723 0.515 2236
764.361 125.802 0.515 2236
764.361 125.922 0.515 2252
764.361 126.001 0.515 2268
764.361 126.121 0.515 2268
764.361 126.201 0.515 2268
764.361 126.320 0.515 2284
764.361 126.439 0.515 2284
764.361 126.519 0.515 2284
764.320 126.638 0.515 2300
764.320 126.718 0.515 2300
764.280 126.837 0.515 2316
764.280 126.917 0.515 2316
764.280 126.997 0.515 2332
764.280 127.116 0.515 2332
764.280 127.196 0.515 2349
764.240 127.275 0.515 2349
764.240 127.355 0.515 2349
764.240 127.474 0.515 2365
764.240 127.554 0.515 2365
764.200 127.634 0.515 2365
764.200 127.793 0.515 2381
764.160 127.872 0.515 2397
764.120 127.952 0.515 2397
764.120 128.072 0.515 2397
764.080 128.151 0.515 2413
764.040 128.271 0.515 2429
764.000 128.390 0.515 2429
763.960 128.509 0.515 2429
763.880 128.629 0.515 2445
763.840 128.748 0.515 2445
763.800 128.828 0.515 2461
763.760 128.907 0.515 2461
763.720 129.027 0.515 2477
763.679 129.107 0.515 2477
763.639 129.226 0.515 2477
763.599 129.306 0.515 2493
763.559 129.425 0.516 2493
763.519 129.505 0.515 2509
763.479 129.624 0.515 2509
763.479 129.743 0.516 2526
763.439 129.863 0.516 2526
763.359 129.943 0.516 2542
763.359 130.062 0.515 2542
763.279 130.142 0.516 2542
763.279 130.261 0.516 2558
763.199 130.380 0.515 2558
763.199 130.540 0.516 2558
763.159 130.659 0.516 2574
763.119 130.778 0.516 2590
763.078 130.898 0.516 2590
763.078 131.017 0.516 2590
763.038 131.137 0.516 2606
