% x_coordinate y_coordinate pressure time
% shape 0, 1059 points
851.270 371.008 0.061 0
851.270 370.929 0.087 0
851.270 370.889 0.103 0
851.270 370.889 0.141 16
851.270 370.889 0.160 16
851.270 370.889 0.175 32
851.270 370.889 0.186 32
851.270 370.889 0.196 48
851.270 370.889 0.209 48
851.270 370.849 0.222 48
851.270 370.849 0.236 64
851.270 370.770 0.246 81
851.270 370.690 0.257 81
851.270 370.610 0.269 81
851.270 370.531 0.280 97
851.270 370.411 0.293 113
851.270 370.292 0.308 113
851.270 370.212 0.322 113
851.310 370.093 0.332 129
851.351 370.013 0.339 129
851.431 369.894 0.342 129
851.471 369.774 0.345 145
851.551 369.695 0.348 145
851.631 369.655 0.351 161
851.711 369.536 0.354 161
851.791 369.416 0.357 177
851.871 369.257 0.361 177
851.992 369.137 0.364 194
852.072 368.978 0.367 194
852.112 368.819 0.370 194
852.192 368.660 0.376 210
852.272 368.461 0.383 210
852.352 368.262 0.388 226
852.432 368.102 0.396 226
852.472 367.943 0.404 242
852.553 367.784 0.412 242
852.633 367.625 0.418 242
852.673 367.466 0.423 258
852.753 367.306 0.427 274
852.833 367.107 0.431 274
852.993 366.948 0.436 274
853.114 366.749 0.439 290
853.234 366.590 0.441 290
853.394 366.431 0.444 290
853.514 366.311 0.445 307
853.634 366.152 0.446 323
853.755 365.993 0.447 323
853.835 365.873 0.448 323
853.915 365.754 0.450 339
854.035 365.634 0.454 339
854.115 365.475 0.459 355
854.276 365.316 0.467 355
854.356 365.196 0.476 355
854.516 364.997 0.483 371
854.676 364.798 0.487 387
854.876 364.639 0.490 387
855.037 364.440 0.491 387
855.237 364.201 0.493 403
855.437 364.002 0.494 403
855.638 363.843 0.496 403
855.798 363.684 0.497 420
855.918 363.564 0.499 436
856.038 363.445 0.500 436
856.159 363.365 0.501 436
856.239 363.286 0.502 452
856.359 363.206 0.505 468
856.439 363.126 0.507 468
856.559 363.047 0.508 468
856.680 362.967 0.509 485
856.800 362.848 0.510 485
856.960 362.768 0.511 485
857.120 362.649 0.512 501
857.280 362.529 0.513 501
857.441 362.450 0.514 517
857.601 362.370 0.516 517
857.721 362.330 0.517 533
857.881 362.290 0.518 533
858.002 362.211 0.519 549
858.162 362.171 0.519 549
858.282 362.131 0.520 549
858.402 362.091 0.520 565
858.523 362.012 0.520 565
858.643 361.972 0.521 565
858.763 361.932 0.522 581
858.883 361.853 0.522 598
859.003 361.813 0.523 598
859.124 361.733 0.524 598
859.244 361.693 0.525 614
859.364 361.654 0.527 630
859.524 361.614 0.527 630
859.644 361.574 0.528 630
859.765 361.534 0.529 646
859.885 361.494 0.529 646
860.045 361.494 0.530 646
860.165 361.335 0.530 662
860.366 361.295 0.530 678
860.486 361.295 0.530 678
860.646 361.295 0.531 678
860.766 361.255 0.531 694
860.927 361.216 0.531 694
861.047 361.176 0.532 711
861.167 361.136 0.532 711
861.247 361.096 0.535 727
861.367 361.017 0.540 727
861.487 360.977 0.546 727
861.568 360.897 0.552 743
861.688 360.857 0.556 743
861.808 360.778 0.558 759
861.928 360.738 0.559 759
862.048 360.698 0.560 759
862.129 360.658 0.560 775
862.289 360.618 0.561 791
862.369 360.579 0.561 791
862.489 360.579 0.561 791
862.609 360.539 0.561 808
862.689 360.539 0.561 808
862.810 360.539 0.561 808
862.930 360.539 0.561 824
863.010 360.499 0.561 840
863.130 360.499 0.562 840
863.210 360.499 0.561 840
863.250 360.499 0.561 856
863.331 360.499 0.562 856
863.411 360.499 0.562 872
863.491 360.499 0.562 872
863.571 360.499 0.563 872
863.731 360.499 0.563 888
863.851 360.499 0.563 905
864.012 360.459 0.564 905
864.132 360.419 0.564 905
864.252 360.380 0.565 921
864.372 360.380 0.567 921
864.492 360.380 0.567 921
864.613 360.380 0.568 937
864.693 360.419 0.568 953
864.773 360.459 0.568 953
864.893 360.499 0.568 953
864.973 360.539 0.569 969
865.093 360.579 0.569 985
865.214 360.618 0.570 985
865.334 360.658 0.570 985
865.454 360.658 0.570 1001
865.574 360.698 0.570 1001
865.654 360.698 0.571 1001
865.775 360.698 0.571 1017
865.895 360.698 0.572 1017
866.015 360.698 0.574 1033
866.095 360.698 0.574 1033
866.215 360.738 0.576 1050
866.336 360.778 0.577 1050
866.456 360.818 0.577 1066
866.576 360.857 0.579 1066
866.656 360.897 0.579 1066
866.776 360.937 0.580 1082
866.937 361.017 0.579 1098
867.057 361.056 0.580 1098
867.217 361.136 0.580 1098
867.377 361.176 0.580 1114
867.538 361.216 0.580 1114
867.738 361.216 0.580 1114
867.858 361.255 0.580 1130
867.978 361.255 0.581 1146
868.099 361.255 0.581 1146
868.219 361.335 0.582 1146
868.339 361.335 0.583 1163
868.459 361.335 0.584 1163
868.579 361.335 0.585 1179
868.659 361.375 0.586 1179
868.780 361.375 0.586 1195
868.860 361.415 0.587 1195
868.980 361.415 0.587 1195
869.100 361.454 0.587 1211
869.180 361.494 0.587 1211
869.300 361.534 0.588 1227
869.421 361.574 0.587 1227
869.541 361.614 0.588 1243
869.661 361.654 0.588 1243
869.781 361.654 0.588 1259
869.942 361.693 0.588 1259
870.062 361.733 0.588 1259
870.142 361.773 0.588 1275
870.262 361.853 0.588 1275
870.342 361.892 0.589 1275
870.422 361.932 0.589 1292
870.543 361.972 0.589 1308
870.623 362.052 0.590 1308
870.743 362.091 0.590 1308
870.863 362.171 0.591 1324
870.983 362.251 0.591 1340
871.104 362.330 0.592 1340
871.224 362.370 0.592 1340
871.344 362.450 0.592 1356
871.504 362.490 0.593 1356
871.624 362.569 0.593 1372
871.745 362.609 0.593 1372
871.865 362.689 0.594 1372
872.025 362.728 0.594 1389
872.145 362.808 0.595 1405
872.265 362.848 0.596 1405
872.386 362.927 0.596 1405
872.466 363.007 0.596 1421
872.546 363.087 0.597 1421
872.666 363.206 0.597 1421
872.786 363.246 0.597 1437
872.866 363.326 0.597 1453
872.987 363.405 0.598 1453
873.107 363.485 0.598 1453
873.227 363.525 0.598 1470
873.347 363.564 0.598 1470
873.467 363.684 0.599 1486
873.548 363.763 0.599 1486
873.668 363.803 0.600 1486
873.748 363.883 0.600 1502
873.788 363.962 0.601 1502
873.868 364.042 0.601 1518
873.948 364.122 0.602 1518
874.028 364.201 0.603 1534
874.109 364.281 0.604 1534
874.189 364.360 0.605 1534
874.269 364.480 0.605 1550
874.349 364.560 0.606 1567
874.429 364.599 0.606 1567
874.469 364.679 0.607 1567
874.549 364.759 0.608 1583
874.589 364.838 0.608 1583
874.669 364.878 0.608 1583
874.750 364.918 0.609 1599
874.790 364.997 0.609 1615
874.870 365.037 0.609 1615
874.910 365.117 0.610 1615
874.950 365.196 0.610 1631
875.030 365.236 0.611 1631
875.070 365.316 0.611 1648
875.110 365.395 0.611 1648
875.150 365.475 0.612 1664
875.190 365.555 0.612 1664
875.230 365.594 0.612 1664
875.311 365.674 0.613 1680
875.351 365.754 0.613 1680
875.391 365.833 0.614 1696
875.431 365.873 0.614 1696
875.471 365.953 0.614 1696
875.511 366.072 0.614 1712
875.511 366.112 0.615 1728
875.551 366.192 0.615 1728
875.551 366.231 0.615 1728
875.591 366.311 0.616 1744
875.631 366.391 0.616 1744
875.671 366.470 0.616 1744
875.711 366.550 0.617 1760
875.711 366.590 0.617 1777
875.751 366.669 0.617 1777
875.791 366.749 0.617 1777
875.791 366.829 0.618 1793
875.831 366.908 0.618 1809
875.831 366.988 0.618 1809
875.871 367.068 0.618 1809
875.911 367.147 0.618 1825
875.952 367.227 0.618 1825
875.952 367.267 0.618 1825
875.992 367.346 0.619 1842
876.032 367.426 0.618 1858
876.032 367.505 0.618 1858
876.032 367.585 0.619 1858
876.032 367.665 0.619 1874
876.032 367.744 0.619 1874
876.072 367.824 0.620 1890
876.072 367.943 0.620 1890
876.072 368.023 0.620 1890
876.072 368.102 0.620 1906
876.112 368.182 0.620 1906
876.112 368.262 0.621 1922
876.112 368.341 0.620 1922
876.112 368.461 0.620 1938
876.112 368.540 0.621 1938
876.112 368.620 0.621 1938
876.112 368.660 0.621 1955
876.112 368.739 0.621 1971
876.112 368.819 0.621 1971
876.112 368.899 0.621 1971
876.112 368.978 0.622 1987
876.112 369.058 0.622 1987
876.112 369.137 0.622 1987
876.112 369.217 0.622 2003
876.112 369.257 0.622 2019
876.112 369.336 0.622 2019
876.112 369.376 0.622 2019
876.112 369.456 0.622 2035
876.112 369.536 0.622 2035
876.112 369.615 0.622 2051
876.112 369.695 0.622 2051
876.112 369.774 0.623 2067
876.112 369.854 0.623 2067
876.112 369.934 0.623 2067
876.112 370.053 0.623 2084
876.112 370.133 0.623 2084
876.112 370.212 0.623 2100
876.112 370.252 0.623 2100
876.112 370.332 0.623 2116
876.112 370.411 0.623 2116
876.112 370.531 0.623 2132
876.112 370.610 0.623 2132
876.072 370.730 0.623 2132
876.032 370.889 0.623 2148
876.032 371.008 0.623 2165
876.032 371.088 0.624 2165
875.992 371.208 0.623 2165
875.911 371.287 0.624 2181
875.871 371.407 0.624 2181
875.871 371.486 0.624 2181
875.831 371.566 0.624 2197
875.791 371.685 0.624 2197
875.751 371.765 0.624 2213
875.751 371.844 0.624 2213
875.751 371.924 0.624 2213
875.711 372.004 0.624 2229
875.711 372.044 0.624 2245
875.671 372.123 0.624 2245
875.671 372.203 0.624 2245
875.631 372.243 0.624 2262
875.591 372.322 0.624 2278
875.551 372.402 0.624 2278
875.511 372.481 0.625 2278
875.431 372.561 0.624 2294
875.391 372.680 0.624 2294
875.351 372.760 0.625 2294
875.311 372.840 0.624 2310
875.311 372.959 0.624 2326
875.270 373.039 0.625 2326
875.270 373.118 0.624 2326
875.270 373.238 0.624 2343
875.270 373.317 0.624 2343
875.230 373.357 0.624 2359
875.230 373.437 0.625 2359
875.230 373.516 0.624 2375
875.190 373.596 0.624 2375
875.190 373.676 0.625 2375
875.150 373.755 0.625 2391
875.150 373.875 0.624 2391
875.110 373.954 0.625 2407
875.110 374.074 0.624 2407
875.070 374.153 0.625 2407
875.070 374.233 0.625 2424
875.030 374.352 0.625 2440
875.030 374.392 0.624 2440
875.030 374.472 0.625 2440
875.030 374.551 0.624 2456
874.990 374.631 0.625 2456
874.990 374.711 0.625 2456
874.990 374.790 0.624 2472
874.950 374.870 0.625 2488
874.950 374.950 0.625 2488
874.910 375.029 0.625 2488
874.910 375.109 0.625 2504
874.870 375.149 0.625 2520
874.830 375.228 0.625 2520
874.830 375.308 0.625 2520
874.790 375.387 0.625 2537
874.790 375.467 0.625 2537
874.750 375.586 0.625 2537
874.750 375.666 0.625 2553
874.710 375.746 0.625 2553
874.669 375.825 0.625 2569
874.669 375.905 0.625 2569
874.629 375.985 0.625 2569
874.589 376.064 0.625 2585
874.549 376.144 0.625 2601
874.509 376.223 0.625 2601
874.469 376.343 0.625 2601
874.429 376.422 0.625 2617
874.389 376.502 0.626 2633
874.349 376.542 0.625 2633
874.309 376.621 0.625 2633
874.269 376.701 0.626 2650
874.229 376.781 0.625 2650
874.189 376.860 0.626 2650
874.149 376.980 0.626 2666
874.109 377.059 0.626 2682
874.109 377.179 0.626 2682
874.068 377.258 0.625 2682
874.028 377.378 0.626 2698
874.028 377.497 0.626 2698
873.988 377.577 0.625 2714
873.988 377.696 0.625 2714
873.948 377.776 0.626 2730
873.908 377.855 0.626 2730
873.908 377.975 0.626 2730
873.868 378.055 0.626 2747
873.868 378.134 0.625 2747
873.828 378.214 0.626 2763
873.828 378.293 0.626 2763
873.788 378.333 0.625 2763
873.748 378.453 0.626 2779
873.708 378.492 0.626 2795
873.708 378.612 0.626 2795
873.708 378.691 0.627 2795
873.668 378.771 0.626 2811
873.668 378.851 0.627 2811
873.628 378.930 0.627 2811
873.628 379.050 0.627 2827
873.588 379.129 0.627 2844
873.588 379.209 0.627 2844
873.548 379.289 0.627 2844
873.508 379.408 0.628 2860
873.467 379.488 0.628 2876
873.467 379.567 0.628 2876
873.427 379.647 0.629 2876
873.427 379.727 0.629 2892
873.387 379.846 0.630 2892
873.387 379.926 0.630 2892
873.347 380.045 0.630 2909
873.347 380.125 0.630 2909
873.307 380.204 0.630 2925
873.307 380.363 0.630 2925
873.307 380.403 0.630 2941
873.267 380.483 0.631 2941
873.267 380.563 0.631 2957
873.267 380.602 0.632 2957
873.227 380.682 0.633 2957
873.227 380.722 0.634 2973
873.227 380.762 0.636 2973
873.187 380.841 0.637 2989
873.187 380.881 0.637 2989
873.147 380.961 0.639 3005
873.147 381.000 0.639 3005
873.107 381.080 0.640 3005
873.107 381.120 0.640 3021
873.107 381.199 0.641 3037
873.067 381.239 0.642 3037
873.067 381.319 0.643 3037
873.067 381.398 0.643 3054
873.027 381.478 0.645 3054
872.987 381.558 0.647 3054
872.987 381.637 0.647 3070
872.947 381.717 0.648 3086
872.906 381.797 0.648 3086
872.866 381.876 0.649 3086
872.866 381.956 0.649 3102
872.866 382.035 0.649 3102
872.826 382.075 0.649 3118
872.826 382.155 0.650 3118
