% x_coordinate y_coordinate pressure time
% shape 0, 693 points

1176.813 228.813 0.350 113
1177.013 228.574 0.361 129
1177.214 228.296 0.370 129
1177.454 227.977 0.377 129
1177.694 227.659 0.386 146
1177.935 227.340 0.394 162
1178.175 227.022 0.403 162
1178.416 226.663 0.416 162
1178.656 226.305 0.428 178
1178.896 225.987 0.439 178
1179.137 225.668 0.453 194
1179.377 225.350 0.464 194
1179.618 225.031 0.474 194
1179.858 224.753 0.484 210
1180.139 224.434 0.491 210
1180.419 224.156 0.494 226
1180.659 223.877 0.497 226
1180.940 223.678 0.497 242
1181.180 223.439 0.498 242
1181.381 223.240 0.499 242
1181.621 223.081 0.499 258
1181.861 222.922 0.499 275
1182.102 222.722 0.500 275
1182.382 222.563 0.500 275
1182.663 222.364 0.501 291
1182.983 222.165 0.502 291
1183.304 221.966 0.504 291
1183.624 221.767 0.508 307
1183.985 221.568 0.511 323
1184.305 221.369 0.514 323
1184.626 221.210 0.519 323
1185.027 221.051 0.523 339
1185.307 220.891 0.527 355
1185.628 220.772 0.529 355
1185.908 220.692 0.530 355
1186.229 220.613 0.531 371
1186.509 220.533 0.533 371
1186.830 220.453 0.533 371
1187.150 220.414 0.534 388
1187.511 220.334 0.534 404
1187.871 220.294 0.534 404
1188.272 220.254 0.535 404
1188.633 220.215 0.536 420
1189.033 220.175 0.536 420
1189.434 220.135 0.537 436
1189.795 220.135 0.536 436
1190.195 220.095 0.537 436
1190.556 220.055 0.537 452
1190.876 220.016 0.537 452
1191.157 220.016 0.538 469
1191.437 220.016 0.539 469
1191.638 219.976 0.539 485
1191.918 219.976 0.541 485
1192.119 219.976 0.542 485
1192.319 219.976 0.543 501
1192.519 219.976 0.543 517
1192.760 219.976 0.543 517
1193.000 219.976 0.543 517
1193.281 219.976 0.543 533
1193.521 219.976 0.544 533
1193.801 219.976 0.544 533
1194.042 219.976 0.544 549
1194.282 219.976 0.544 566
1194.482 219.976 0.544 566
1194.683 219.976 0.545 566
1194.803 219.976 0.545 582
1194.963 219.976 0.545 598
1195.043 219.976 0.545 598
1195.164 219.976 0.545 598
1195.244 220.016 0.545 614
1195.364 220.095 0.545 614
1195.484 220.215 0.545 614
1195.644 220.334 0.545 630
1195.805 220.414 0.546 630
1195.925 220.533 0.545 646
1196.085 220.652 0.546 646
1196.245 220.732 0.546 646
1196.406 220.851 0.546 662
1196.566 220.931 0.546 678
1196.726 221.011 0.546 678
1196.846 221.130 0.546 678
1196.967 221.210 0.546 695
1197.127 221.329 0.546 711
1197.207 221.449 0.546 711
1197.327 221.608 0.547 711
1197.407 221.727 0.546 727
1197.527 221.887 0.547 727
1197.608 222.046 0.546 727
1197.728 222.205 0.546 743
1197.808 222.364 0.547 759
1197.928 222.484 0.547 759
1198.048 222.643 0.547 759
1198.129 222.762 0.547 775
1198.249 222.882 0.547 775
1198.329 223.001 0.547 791
1198.409 223.121 0.547 791
1198.489 223.240 0.547 808
1198.569 223.359 0.547 808
1198.609 223.479 0.547 808
1198.649 223.598 0.547 824
1198.730 223.718 0.547 824
1198.730 223.837 0.547 840
1198.770 223.956 0.547 840
1198.850 224.116 0.547 840
1198.850 224.275 0.547 856
1198.890 224.434 0.547 872
1198.930 224.593 0.548 872
1198.970 224.753 0.548 872
1199.010 224.872 0.548 888
1199.010 225.031 0.548 888
1199.050 225.151 0.548 888
1199.130 225.310 0.548 905
1199.170 225.429 0.548 921
1199.210 225.549 0.548 921
1199.250 225.668 0.549 921
1199.331 225.788 0.549 937
1199.371 225.907 0.548 953
1199.411 226.066 0.549 953
1199.451 226.186 0.549 953
1199.451 226.345 0.549 969
1199.491 226.584 0.549 969
1199.611 226.743 0.549 969
1199.651 226.902 0.549 985
1199.651 227.062 0.549 985
1199.651 227.181 0.549 1002
1199.691 227.340 0.549 1002
1199.691 227.460 0.549 1002
1199.731 227.619 0.549 1018
1199.731 227.738 0.549 1034
1199.771 227.858 0.550 1034
1199.771 228.017 0.549 1034
1199.771 228.136 0.550 1050
1199.771 228.256 0.550 1066
1199.811 228.375 0.549 1066
1199.811 228.495 0.550 1066
1199.811 228.654 0.550 1082
1199.811 228.773 0.549 1082
1199.811 228.972 0.550 1082
1199.811 229.132 0.550 1099
1199.771 229.251 0.550 1099
1199.771 229.410 0.550 1115
1199.771 229.569 0.550 1115
1199.771 229.729 0.550 1131
1199.771 229.888 0.550 1131
1199.811 230.047 0.550 1147
1199.771 230.167 0.550 1147
1199.771 230.326 0.550 1147
1199.771 230.485 0.550 1163
1199.731 230.644 0.550 1163
1199.731 230.843 0.550 1179
