% x_coordinate y_coordinate pressure time
% shape 0, 563 points
813.207 265.671 0.017 0.000 
813.207 265.711 0.048 0.000 
813.207 265.711 0.064 0.000 
813.207 265.711 0.074 16.000 
813.207 265.750 0.085 33.000 
813.207 265.750 0.106 33.000 
813.207 265.750 0.137 33.000 
813.207 265.750 0.171 49.000 
813.207 265.750 0.203 49.000 
813.207 265.750 0.232 65.000 
813.207 265.750 0.257 65.000 
813.207 265.750 0.287 65.000 
813.247 265.750 0.312 81.000 
813.327 265.750 0.332 81.000 
813.447 265.750 0.348 97.000 
813.487 265.711 0.359 97.000 
813.568 265.631 0.367 113.000 
813.648 265.512 0.376 113.000 
813.688 265.352 0.385 113.000 
813.768 265.233 0.396 129.000 
813.808 265.034 0.407 145.000 
813.928 264.795 0.416 145.000 
814.008 264.596 0.425 145.000 
814.129 264.317 0.435 162.000 
814.249 264.078 0.441 162.000 
814.409 263.840 0.449 162.000 
814.569 263.561 0.458 178.000 
814.690 263.322 0.468 194.000 
814.850 263.083 0.477 194.000 
814.970 262.844 0.481 194.000 
815.130 262.606 0.484 210.000 
815.291 262.407 0.486 226.000 
815.491 262.208 0.488 226.000 
815.731 262.009 0.489 226.000 
815.972 261.770 0.490 242.000 
816.212 261.571 0.491 242.000 
816.452 261.332 0.492 258.000 
816.733 261.093 0.495 258.000 
816.973 260.854 0.499 258.000 
817.254 260.575 0.504 274.000 
817.494 260.297 0.511 274.000 
817.775 260.058 0.517 274.000 
818.015 259.859 0.524 291.000 
818.255 259.660 0.527 307.000 
818.456 259.501 0.530 307.000 
818.736 259.341 0.533 307.000 
818.977 259.182 0.534 323.000 
819.217 259.063 0.535 339.000 
819.497 258.943 0.536 339.000 
819.818 258.784 0.536 339.000 
820.099 258.625 0.536 355.000 
820.419 258.505 0.537 355.000 
820.699 258.346 0.537 355.000 
821.020 258.187 0.537 371.000 
821.300 258.028 0.538 388.000 
821.581 257.829 0.539 388.000 
821.861 257.709 0.541 388.000 
822.102 257.590 0.542 404.000 
822.342 257.470 0.543 404.000 
822.543 257.351 0.544 420.000 
822.743 257.271 0.545 420.000 
822.943 257.192 0.546 420.000 
823.144 257.152 0.548 436.000 
823.384 257.072 0.549 452.000 
823.624 256.953 0.552 452.000 
823.865 256.873 0.555 452.000 
824.145 256.794 0.557 468.000 
824.426 256.674 0.559 468.000 
824.666 256.555 0.562 468.000 
824.906 256.435 0.564 485.000 
825.147 256.356 0.566 501.000 
825.347 256.276 0.568 501.000 
825.548 256.157 0.571 501.000 
825.748 256.117 0.574 517.000 
825.908 256.077 0.574 533.000 
826.068 256.037 0.574 533.000 
826.229 255.997 0.575 533.000 
826.349 255.997 0.575 549.000 
826.509 255.997 0.575 549.000 
826.629 255.997 0.576 549.000 
826.790 255.997 0.575 565.000 
826.950 255.997 0.575 565.000 
827.070 255.997 0.576 581.000 
827.230 255.997 0.576 581.000 
827.391 255.997 0.576 581.000 
827.551 255.997 0.576 598.000 
827.671 255.958 0.576 614.000 
827.831 255.958 0.576 614.000 
827.952 255.918 0.577 614.000 
828.072 255.918 0.577 630.000 
828.152 255.918 0.577 630.000 
828.272 255.918 0.577 630.000 
828.392 255.878 0.577 646.000 
828.472 255.878 0.577 662.000 
828.593 255.878 0.577 662.000 
828.713 255.878 0.577 662.000 
828.833 255.878 0.578 678.000 
828.953 255.878 0.577 694.000 
829.073 255.878 0.577 694.000 
829.234 255.878 0.578 694.000 
829.394 255.878 0.578 711.000 
829.514 255.878 0.578 711.000 
829.594 255.878 0.578 711.000 
829.715 255.878 0.578 727.000 
829.795 255.878 0.579 743.000 
829.835 255.878 0.579 743.000 
829.915 255.878 0.579 743.000 
829.995 255.878 0.580 759.000 
830.075 255.878 0.579 759.000 
830.115 255.878 0.580 775.000 
830.195 255.878 0.580 775.000 
830.275 255.878 0.580 775.000 
830.356 255.878 0.581 791.000 
830.436 255.878 0.582 807.000 
830.516 255.878 0.584 807.000 
830.596 255.878 0.587 807.000 
830.676 255.918 0.588 824.000 
830.756 255.958 0.589 824.000 
830.836 255.997 0.592 824.000 
830.917 256.037 0.593 840.000 
830.997 256.077 0.594 856.000 
831.077 256.077 0.596 856.000 
831.157 256.157 0.596 856.000 
831.237 256.196 0.597 872.000 
831.357 256.236 0.597 888.000 
831.437 256.236 0.597 888.000 
831.518 256.276 0.598 888.000 
831.638 256.316 0.599 905.000 
831.758 256.356 0.598 905.000 
831.838 256.356 0.600 905.000 
831.918 256.396 0.602 921.000 
832.038 256.435 0.604 921.000 
832.119 256.435 0.606 937.000 
832.279 256.475 0.607 937.000 
832.359 256.475 0.607 953.000 
832.479 256.515 0.609 953.000 
832.559 256.555 0.610 969.000 
832.679 256.595 0.611 969.000 
832.760 256.634 0.612 969.000 
832.840 256.674 0.613 985.000 
832.960 256.714 0.614 985.000 
833.040 256.754 0.614 985.000 
833.160 256.794 0.615 1002.000 
833.281 256.833 0.616 1018.000 
833.401 256.873 0.617 1018.000 
833.521 256.953 0.617 1018.000 
833.641 256.993 0.619 1034.000 
833.761 257.032 0.620 1050.000 
833.841 257.112 0.621 1050.000 
833.962 257.192 0.622 1050.000 
834.042 257.271 0.622 1066.000 
834.162 257.311 0.622 1066.000 
834.242 257.391 0.623 1066.000 
834.322 257.510 0.624 1082.000 
834.402 257.590 0.624 1099.000 
834.482 257.669 0.626 1099.000 
834.563 257.749 0.626 1099.000 
834.643 257.908 0.626 1115.000 
834.723 257.988 0.628 1115.000 
834.803 258.067 0.628 1131.000 
834.883 258.147 0.629 1131.000 
835.003 258.187 0.630 1131.000 
835.083 258.306 0.630 1147.000 
835.164 258.386 0.631 1147.000 
835.244 258.466 0.632 1163.000 
835.284 258.585 0.633 1163.000 
835.364 258.704 0.635 1179.000 
835.404 258.824 0.636 1179.000 
835.484 258.943 0.636 1179.000 
835.524 259.063 0.636 1195.000 
