% x_coordinate y_coordinate pressure time
% shape 0, 1018 points
1290.242 126.187 0.006 0
1290.242 126.187 0.049 0
1290.242 126.187 0.065 0
1290.242 126.187 0.080 17
1290.202 126.227 0.099 17
1290.242 126.267 0.118 33
1290.322 126.307 0.132 33
1290.362 126.346 0.143 33
1290.442 126.386 0.096 49
1290.523 126.426 0.102 49
1290.603 126.426 0.189 66
1290.643 126.426 0.207 66
1290.643 126.426 0.223 82
1290.683 126.426 0.243 82
1290.683 126.386 0.266 82
1290.763 126.227 0.283 98
1290.803 126.108 0.299 114
1290.923 125.909 0.313 114
1291.003 125.710 0.324 114
1291.083 125.550 0.336 131
1291.204 125.351 0.346 131
1291.324 125.152 0.356 147
1291.444 124.953 0.365 147
1291.484 124.754 0.370 147
1291.644 124.555 0.374 163
1291.765 124.396 0.375 163
1292.005 124.197 0.376 179
1292.165 124.038 0.378 179
1292.366 123.799 0.379 195
1292.566 123.560 0.381 195
1292.766 123.321 0.383 195
1292.967 123.042 0.386 211
1293.167 122.764 0.389 227
1293.407 122.485 0.393 227
1293.568 122.246 0.399 227
1293.728 122.007 0.404 243
1293.848 121.768 0.410 243
1293.968 121.569 0.415 243
1294.129 121.370 0.418 260
1294.209 121.211 0.421 276
1294.409 121.012 0.422 276
1294.529 120.813 0.424 276
1294.649 120.654 0.425 292
1294.770 120.495 0.425 308
1294.850 120.335 0.425 308
1294.930 120.136 0.425 308
1295.010 120.017 0.426 324
1295.090 119.897 0.426 324
1295.170 119.818 0.426 324
1295.250 119.698 0.427 340
1295.331 119.619 0.426 340
1295.491 119.499 0.427 356
1295.611 119.380 0.427 356
1295.771 119.261 0.426 373
1295.932 119.141 0.426 373
1296.092 119.022 0.427 389
1296.212 118.902 0.426 389
1296.372 118.783 0.427 389
1296.492 118.703 0.426 405
1296.653 118.584 0.427 405
1296.813 118.504 0.426 405
1296.973 118.385 0.427 421
1297.094 118.305 0.427 437
1297.254 118.186 0.427 437
1297.374 118.106 0.427 437
1297.494 117.987 0.427 453
1297.654 117.907 0.427 470
1297.775 117.788 0.427 470
1297.895 117.708 0.427 470
1298.015 117.589 0.427 486
1298.175 117.469 0.428 486
1298.296 117.390 0.427 486
1298.416 117.310 0.428 502
1298.576 117.230 0.428 518
1298.696 117.151 0.428 518
1298.816 117.111 0.428 518
1298.977 117.031 0.428 534
1299.097 116.992 0.428 534
1299.257 116.912 0.428 551
1299.417 116.872 0.429 551
1299.578 116.792 0.429 551
1299.778 116.753 0.430 567
1299.938 116.673 0.430 583
1300.099 116.633 0.430 583
1300.259 116.554 0.431 583
1300.419 116.474 0.431 599
1300.539 116.434 0.431 599
1300.700 116.394 0.432 599
1300.820 116.355 0.433 615
1300.900 116.315 0.434 631
1301.020 116.275 0.434 631
1301.140 116.275 0.435 631
1301.260 116.235 0.435 647
1301.341 116.235 0.435 664
1301.501 116.195 0.435 664
1301.661 116.195 0.435 664
1301.821 116.156 0.436 680
1301.982 116.116 0.436 680
1302.182 116.036 0.437 680
1302.382 115.996 0.437 696
1302.583 115.917 0.438 712
1302.823 115.837 0.438 712
1303.063 115.757 0.440 712
1303.224 115.718 0.441 728
1303.384 115.638 0.441 728
1303.544 115.638 0.443 744
1303.664 115.598 0.443 744
1303.745 115.598 0.443 744
1303.865 115.598 0.444 760
1303.985 115.598 0.444 760
1304.105 115.598 0.444 776
1304.265 115.598 0.444 776
1304.386 115.598 0.445 793
1304.586 115.598 0.445 793
1304.746 115.598 0.445 793
1304.947 115.598 0.445 809
1305.147 115.558 0.446 825
1305.347 115.479 0.447 825
1305.548 115.399 0.450 825
1305.708 115.359 0.455 841
1305.868 115.320 0.459 841
1305.988 115.280 0.464 841
1306.109 115.240 0.468 857
1306.229 115.240 0.469 874
1306.309 115.240 0.471 874
1306.469 115.240 0.472 874
1306.589 115.240 0.473 890
1306.709 115.240 0.474 890
1306.870 115.240 0.474 906
1307.070 115.240 0.474 906
1307.230 115.240 0.475 922
1307.431 115.240 0.475 922
1307.631 115.240 0.475 922
1307.831 115.240 0.475 938
1308.032 115.240 0.476 938
1308.232 115.240 0.476 954
