% x_coordinate y_coordinate pressure time
% shape 0, 786 points
774.865 372.282 0.004 0.000 
774.865 372.322 0.033 0.000 
774.865 372.322 0.042 0.000 
774.865 372.362 0.053 0.000 
774.905 372.402 0.047 1.000 
774.985 372.442 0.048 1.000 
774.985 372.481 0.043 1.000 
774.985 372.521 0.045 1.000 
775.025 372.561 0.053 1.000 
775.025 372.601 0.059 1.000 
775.025 372.601 0.061 2.000 
775.025 372.601 0.065 2.000 
775.065 372.641 0.068 2.000 
775.065 372.641 0.073 2.000 
775.105 372.641 0.075 2.000 
775.105 372.680 0.077 2.000 
775.185 372.680 0.078 3.000 
775.225 372.680 0.078 3.000 
775.265 372.720 0.078 3.000 
775.346 372.720 0.080 3.000 
775.346 372.680 0.084 4.000 
775.346 372.680 0.161 4.000 
775.346 372.680 0.195 4.000 
775.346 372.641 0.213 4.000 
775.346 372.641 0.233 4.000 
775.346 372.601 0.253 4.000 
775.346 372.561 0.276 4.000 
775.346 372.561 0.291 5.000 
775.346 372.521 0.305 5.000 
775.346 372.481 0.318 5.000 
775.346 372.442 0.331 5.000 
775.346 372.442 0.341 5.000 
775.346 372.402 0.350 5.000 
775.346 372.362 0.358 5.000 
775.346 372.282 0.365 6.000 
775.346 372.243 0.370 6.000 
775.346 372.163 0.372 6.000 
775.346 372.083 0.376 6.000 
775.346 372.004 0.381 6.000 
775.346 371.884 0.387 7.000 
775.346 371.765 0.394 7.000 
775.346 371.645 0.402 7.000 
775.346 371.486 0.410 7.000 
775.386 371.367 0.416 7.000 
775.426 371.287 0.422 7.000 
775.426 371.168 0.428 8.000 
775.506 371.048 0.433 8.000 
775.546 371.008 0.436 8.000 
775.626 370.889 0.439 8.000 
775.666 370.730 0.440 8.000 
775.746 370.531 0.442 8.000 
775.866 370.372 0.444 9.000 
775.906 370.172 0.446 9.000 
775.987 370.013 0.448 9.000 
776.067 369.814 0.450 9.000 
776.107 369.655 0.455 9.000 
776.187 369.536 0.459 9.000 
776.267 369.376 0.465 9.000 
776.307 369.257 0.469 10.000 
776.387 369.058 0.473 10.000 
776.387 368.938 0.477 10.000 
776.467 368.779 0.480 10.000 
776.508 368.660 0.485 10.000 
776.548 368.461 0.486 11.000 
776.628 368.341 0.488 11.000 
776.668 368.182 0.489 11.000 
776.748 368.023 0.490 11.000 
776.788 367.903 0.491 11.000 
776.868 367.784 0.492 11.000 
776.948 367.665 0.492 11.000 
777.028 367.545 0.493 12.000 
777.109 367.426 0.494 12.000 
777.189 367.306 0.496 12.000 
777.309 367.147 0.499 12.000 
777.389 366.988 0.500 12.000 
777.509 366.789 0.502 12.000 
777.669 366.630 0.503 12.000 
777.790 366.431 0.505 13.000 
777.910 366.271 0.506 13.000 
778.030 366.152 0.508 13.000 
778.150 366.032 0.509 13.000 
778.230 365.953 0.510 13.000 
778.310 365.873 0.512 13.000 
778.391 365.794 0.513 13.000 
778.471 365.754 0.514 14.000 
778.551 365.674 0.514 14.000 
778.671 365.594 0.514 14.000 
778.791 365.515 0.515 14.000 
778.871 365.395 0.515 14.000 
778.992 365.276 0.515 14.000 
779.112 365.196 0.516 14.000 
779.232 365.077 0.516 14.000 
779.352 364.958 0.516 14.000 
779.432 364.878 0.517 15.000 
779.513 364.759 0.518 15.000 
779.553 364.679 0.520 15.000 
779.633 364.599 0.522 15.000 
779.673 364.560 0.523 15.000 
779.713 364.440 0.524 15.000 
779.793 364.400 0.524 15.000 
779.873 364.321 0.524 15.000 
779.953 364.241 0.524 16.000 
780.033 364.201 0.524 16.000 
780.154 364.122 0.523 16.000 
780.274 364.082 0.524 16.000 
780.314 364.002 0.524 16.000 
780.434 363.923 0.524 16.000 
780.554 363.843 0.525 16.000 
780.634 363.803 0.525 17.000 
780.755 363.724 0.525 17.000 
780.835 363.644 0.525 17.000 
780.915 363.604 0.525 17.000 
780.995 363.564 0.525 17.000 
781.075 363.485 0.525 17.000 
781.195 363.445 0.525 17.000 
781.275 363.405 0.525 17.000 
781.396 363.326 0.526 18.000 
781.516 363.246 0.525 18.000 
781.636 363.166 0.525 18.000 
781.756 363.087 0.525 18.000 
781.917 363.007 0.525 18.000 
782.037 362.927 0.525 18.000 
782.157 362.888 0.525 18.000 
782.277 362.808 0.525 18.000 
782.357 362.728 0.525 19.000 
782.477 362.649 0.525 19.000 
782.558 362.609 0.525 19.000 
782.678 362.529 0.526 19.000 
782.718 362.450 0.526 19.000 
782.798 362.410 0.526 19.000 
782.878 362.370 0.525 19.000 
782.958 362.290 0.525 19.000 
783.038 362.251 0.527 20.000 
783.119 362.211 0.527 20.000 
783.239 362.171 0.526 20.000 
783.319 362.091 0.527 20.000 
783.439 362.012 0.527 20.000 
783.559 361.972 0.527 20.000 
783.639 361.932 0.528 20.000 
783.720 361.892 0.528 21.000 
783.840 361.813 0.527 21.000 
783.920 361.813 0.527 21.000 
784.000 361.773 0.527 21.000 
784.120 361.733 0.528 21.000 
784.240 361.693 0.528 21.000 
784.321 361.654 0.528 21.000 
784.481 361.614 0.529 21.000 
784.601 361.614 0.530 22.000 
784.721 361.574 0.529 22.000 
784.922 361.494 0.530 22.000 
785.042 361.454 0.531 22.000 
785.162 361.415 0.532 22.000 
785.322 361.375 0.534 22.000 
785.442 361.335 0.537 22.000 
785.523 361.295 0.539 23.000 
785.643 361.255 0.541 23.000 
785.763 361.255 0.542 23.000 
785.843 361.216 0.543 23.000 
785.923 361.176 0.544 23.000 
786.003 361.056 0.545 23.000 
786.083 361.056 0.546 23.000 
786.124 361.017 0.547 24.000 
786.244 361.017 0.548 24.000 
786.284 360.977 0.549 24.000 
786.364 360.977 0.550 24.000 
786.444 360.937 0.550 24.000 
786.524 360.937 0.551 24.000 
786.644 360.937 0.552 25.000 
786.725 360.937 0.552 25.000 
786.845 360.937 0.553 25.000 
786.965 360.897 0.553 25.000 
787.045 360.937 0.553 25.000 
787.165 360.937 0.554 25.000 
787.285 360.937 0.554 26.000 
787.446 360.937 0.555 26.000 
787.566 360.937 0.555 26.000 
787.686 360.937 0.555 26.000 
787.806 360.937 0.556 26.000 
787.927 360.937 0.556 26.000 
788.007 360.937 0.556 26.000 
788.127 360.937 0.557 27.000 
788.287 360.977 0.557 27.000 
788.407 361.017 0.557 27.000 
788.528 361.017 0.558 27.000 
788.648 361.056 0.558 27.000 
788.768 361.056 0.558 27.000 
788.888 361.056 0.558 27.000 
789.008 361.056 0.558 28.000 
789.129 361.056 0.558 28.000 
789.249 361.096 0.559 28.000 
789.369 361.096 0.559 28.000 
789.489 361.096 0.559 28.000 
789.569 361.136 0.560 28.000 
789.649 361.136 0.559 28.000 
789.730 361.176 0.560 29.000 
789.810 361.216 0.559 29.000 
789.930 361.255 0.559 29.000 
790.010 361.295 0.561 29.000 
790.130 361.335 0.561 29.000 
790.210 361.375 0.561 29.000 
790.331 361.454 0.562 29.000 
790.451 361.494 0.562 30.000 
790.571 361.534 0.562 30.000 
790.651 361.534 0.563 30.000 
790.731 361.574 0.563 30.000 
790.811 361.614 0.563 30.000 
790.932 361.614 0.564 30.000 
791.012 361.654 0.563 30.000 
791.092 361.693 0.564 31.000 
791.172 361.693 0.565 31.000 
791.252 361.733 0.565 31.000 
791.372 361.773 0.566 31.000 
791.452 361.813 0.568 31.000 
791.533 361.853 0.568 31.000 
791.653 361.892 0.570 31.000 
791.733 362.012 0.570 32.000 
791.853 362.052 0.571 32.000 
791.893 362.091 0.571 32.000 
791.973 362.131 0.571 32.000 
792.053 362.171 0.572 32.000 
792.134 362.211 0.572 32.000 
792.174 362.251 0.572 32.000 
792.254 362.290 0.573 33.000 
792.334 362.330 0.574 33.000 
792.414 362.370 0.575 33.000 
792.534 362.410 0.576 33.000 
792.614 362.410 0.577 33.000 
792.735 362.450 0.578 33.000 
792.815 362.450 0.579 33.000 
792.895 362.490 0.580 33.000 
792.975 362.529 0.580 34.000 
793.055 362.569 0.581 34.000 
793.135 362.609 0.582 34.000 
793.215 362.649 0.583 34.000 
793.296 362.689 0.583 34.000 
793.376 362.728 0.583 34.000 
793.456 362.768 0.584 34.000 
793.536 362.848 0.584 34.000 
793.616 362.888 0.584 35.000 
793.696 362.927 0.585 35.000 
793.776 362.967 0.585 35.000 
793.856 363.007 0.585 35.000 
793.977 363.047 0.586 35.000 
794.057 363.126 0.586 35.000 
794.177 363.166 0.586 36.000 
794.297 363.246 0.587 36.000 
794.377 363.286 0.587 36.000 
794.497 363.326 0.587 36.000 
794.578 363.405 0.588 36.000 
794.658 363.445 0.589 36.000 
794.738 363.485 0.591 36.000 
794.818 363.525 0.592 36.000 
794.898 363.604 0.593 36.000 
794.978 363.644 0.595 37.000 
795.058 363.724 0.596 37.000 
795.179 363.803 0.596 37.000 
795.259 363.843 0.598 37.000 
795.379 363.923 0.598 37.000 
795.459 364.042 0.598 37.000 
795.579 364.122 0.599 37.000 
795.659 364.201 0.598 38.000 
795.780 364.281 0.599 38.000 
795.900 364.400 0.599 38.000 
795.980 364.520 0.599 38.000 
796.060 364.599 0.599 38.000 
796.140 364.679 0.600 38.000 
796.260 364.759 0.600 39.000 
796.341 364.838 0.601 39.000 
796.461 364.918 0.601 39.000 
796.541 364.997 0.602 39.000 
796.621 365.077 0.603 39.000 
796.701 365.157 0.603 39.000 
796.741 365.236 0.603 39.000 
796.781 365.316 0.604 39.000 
796.861 365.395 0.604 39.000 
796.901 365.475 0.603 40.000 
796.982 365.555 0.605 40.000 
797.062 365.634 0.605 40.000 
797.142 365.674 0.605 40.000 
797.222 365.754 0.606 40.000 
797.262 365.833 0.605 40.000 
797.382 365.873 0.607 40.000 
797.462 365.953 0.607 41.000 
797.543 366.032 0.608 41.000 
797.583 366.112 0.608 41.000 
797.663 366.152 0.609 41.000 
797.703 366.231 0.609 41.000 
797.743 366.311 0.610 41.000 
797.783 366.391 0.610 41.000 
797.863 366.510 0.611 41.000 
797.903 366.590 0.611 42.000 
797.983 366.749 0.612 42.000 
798.023 366.868 0.611 42.000 
798.063 366.948 0.613 42.000 
798.144 367.068 0.613 42.000 
798.184 367.147 0.613 42.000 
798.224 367.267 0.613 42.000 
798.264 367.346 0.614 42.000 
798.344 367.466 0.614 43.000 
798.384 367.545 0.614 43.000 
798.464 367.665 0.614 43.000 
798.504 367.784 0.615 43.000 
798.544 367.864 0.615 43.000 
798.584 367.983 0.615 43.000 
798.624 368.102 0.616 43.000 
798.624 368.222 0.616 44.000 
798.624 368.341 0.616 44.000 
798.624 368.461 0.617 44.000 
798.624 368.580 0.617 44.000 
798.624 368.700 0.618 44.000 
798.664 368.779 0.618 44.000 
798.664 368.899 0.618 45.000 
798.664 368.978 0.618 45.000 
798.705 369.137 0.619 45.000 
798.745 369.217 0.618 45.000 
798.745 369.297 0.618 45.000 
798.745 369.376 0.618 45.000 
798.785 369.456 0.618 45.000 
798.825 369.575 0.619 46.000 
798.825 369.655 0.618 46.000 
798.865 369.735 0.618 46.000 
798.865 369.814 0.619 46.000 
798.905 369.894 0.618 46.000 
798.905 369.973 0.619 46.000 
798.945 370.053 0.619 47.000 
798.945 370.133 0.619 47.000 
798.985 370.212 0.619 47.000 
799.025 370.292 0.619 47.000 
799.025 370.372 0.619 47.000 
799.065 370.451 0.619 47.000 
799.065 370.571 0.619 47.000 
799.105 370.650 0.619 47.000 
799.105 370.730 0.619 48.000 
799.145 370.849 0.619 48.000 
799.145 370.969 0.619 48.000 
799.145 371.048 0.620 48.000 
799.185 371.168 0.620 48.000 
799.185 371.247 0.621 48.000 
799.145 371.367 0.622 48.000 
799.145 371.486 0.623 48.000 
799.145 371.606 0.624 49.000 
799.145 371.685 0.625 49.000 
799.145 371.805 0.625 49.000 
799.145 371.924 0.626 49.000 
799.145 372.004 0.627 49.000 
799.145 372.123 0.627 49.000 
799.145 372.203 0.629 49.000 
799.145 372.282 0.629 50.000 
799.145 372.402 0.629 50.000 
799.145 372.481 0.630 50.000 
799.145 372.601 0.630 50.000 
799.145 372.720 0.630 50.000 
799.145 372.840 0.631 50.000 
799.145 372.959 0.631 50.000 
799.145 373.078 0.631 51.000 
799.145 373.158 0.631 51.000 
799.145 373.238 0.631 51.000 
799.145 373.357 0.632 51.000 
799.145 373.437 0.632 51.000 
799.145 373.516 0.632 51.000 
799.145 373.636 0.632 51.000 
799.145 373.715 0.632 52.000 
799.145 373.875 0.632 52.000 
799.105 373.994 0.633 52.000 
799.105 374.114 0.633 52.000 
799.105 374.193 0.633 52.000 
799.065 374.273 0.633 52.000 
799.065 374.392 0.633 52.000 
799.025 374.472 0.634 53.000 
799.025 374.551 0.634 53.000 
798.985 374.631 0.635 53.000 
798.985 374.711 0.636 53.000 
798.945 374.830 0.637 53.000 
798.905 374.950 0.638 53.000 
798.865 375.029 0.640 54.000 
798.825 375.109 0.641 54.000 
798.785 375.188 0.644 54.000 
798.745 375.308 0.646 54.000 
798.705 375.387 0.648 54.000 
798.664 375.507 0.649 54.000 
798.624 375.586 0.651 54.000 
798.584 375.706 0.652 54.000 
798.544 375.825 0.652 55.000 
798.504 375.945 0.652 55.000 
798.464 376.024 0.653 55.000 
798.424 376.144 0.654 55.000 
798.384 376.303 0.655 55.000 
798.344 376.422 0.655 55.000 
798.304 376.542 0.655 55.000 
798.224 376.661 0.656 56.000 
798.144 376.741 0.656 56.000 
798.104 376.860 0.657 56.000 
798.063 376.980 0.658 56.000 
798.023 377.059 0.658 56.000 
797.983 377.179 0.659 56.000 
797.943 377.258 0.659 57.000 
797.903 377.378 0.659 57.000 
797.863 377.457 0.660 57.000 
797.823 377.577 0.660 57.000 
797.783 377.696 0.661 57.000 
797.743 377.816 0.662 57.000 
797.703 377.895 0.662 57.000 
797.623 378.015 0.662 58.000 
797.623 378.094 0.662 58.000 
797.583 378.214 0.662 58.000 
797.543 378.293 0.663 58.000 
