% x_coordinate y_coordinate pressure time
% shape 0, 475 points

743.547 184.378 0.512 1315.000 
743.547 184.497 0.512 1331.000 
743.547 184.458 0.512 1331.000 
743.547 184.458 0.511 1347.000 
743.547 184.378 0.511 1347.000 
743.547 184.298 0.510 1363.000 
743.547 184.259 0.511 1363.000 
743.707 184.099 0.511 1379.000 
743.827 183.821 0.510 1379.000 
744.028 183.542 0.511 1379.000 
744.228 183.263 0.511 1395.000 
744.468 182.945 0.511 1411.000 
744.789 182.587 0.512 1411.000 
745.029 182.189 0.512 1411.000 
745.350 181.790 0.512 1427.000 
745.670 181.313 0.512 1443.000 
745.951 180.875 0.512 1443.000 
746.271 180.477 0.513 1443.000 
746.552 180.039 0.514 1459.000 
746.872 179.601 0.514 1459.000 
747.193 179.203 0.515 1459.000 
747.473 178.765 0.516 1475.000 
747.754 178.327 0.516 1491.000 
747.994 177.969 0.517 1491.000 
748.275 177.611 0.518 1491.000 
748.475 177.252 0.517 1507.000 
748.755 176.854 0.519 1507.000 
748.996 176.456 0.520 1523.000 
749.276 176.098 0.522 1523.000 
749.517 175.740 0.524 1523.000 
749.797 175.341 0.525 1540.000 
750.038 174.943 0.525 1556.000 
750.278 174.585 0.526 1556.000 
750.558 174.147 0.526 1556.000 
750.799 173.749 0.527 1572.000 
751.079 173.391 0.527 1572.000 
751.360 172.993 0.527 1588.000 
751.600 172.674 0.527 1588.000 
751.881 172.316 0.527 1588.000 
752.121 171.958 0.528 1604.000 
752.401 171.600 0.529 1604.000 
752.602 171.281 0.530 1604.000 
752.842 170.963 0.531 1620.000 
753.043 170.644 0.532 1636.000 
753.283 170.326 0.533 1636.000 
753.563 170.007 0.534 1636.000 
753.804 169.689 0.535 1652.000 
754.084 169.251 0.536 1668.000 
754.365 168.853 0.538 1668.000 
754.725 168.455 0.539 1668.000 
755.006 168.057 0.538 1684.000 
755.286 167.659 0.538 1684.000 
755.607 167.260 0.539 1684.000 
755.887 166.862 0.539 1700.000 
756.208 166.504 0.540 1716.000 
756.488 166.106 0.539 1716.000 
756.809 165.748 0.540 1716.000 
757.049 165.389 0.540 1732.000 
757.370 165.071 0.540 1732.000 
757.650 164.673 0.540 1749.000 
757.851 164.354 0.540 1749.000 
758.091 164.036 0.540 1765.000 
758.291 163.678 0.540 1765.000 
758.532 163.319 0.541 1781.000 
758.812 162.961 0.541 1781.000 
759.053 162.603 0.541 1781.000 
759.333 162.205 0.543 1797.000 
759.573 161.807 0.543 1813.000 
759.894 161.448 0.544 1813.000 
760.134 161.130 0.546 1813.000 
760.335 160.772 0.547 1829.000 
760.615 160.453 0.550 1829.000 
760.856 160.135 0.552 1829.000 
761.096 159.776 0.554 1845.000 
761.336 159.458 0.555 1861.000 
761.577 159.179 0.556 1861.000 
761.777 158.901 0.557 1861.000 
761.977 158.622 0.559 1877.000 
762.218 158.343 0.560 1877.000 
762.458 158.025 0.561 1893.000 
762.699 157.667 0.563 1893.000 
762.899 157.348 0.563 1909.000 
763.139 157.030 0.564 1909.000 
763.340 156.711 0.564 1909.000 
763.580 156.353 0.565 1925.000 
763.820 156.034 0.565 1925.000 
764.021 155.716 0.565 1941.000 
764.261 155.318 0.565 1941.000 
764.502 154.960 0.566 1941.000 
764.742 154.562 0.566 1957.000 
765.023 154.163 0.566 1973.000 
765.263 153.726 0.566 1973.000 
765.543 153.328 0.566 1973.000 
765.784 152.929 0.565 1989.000 
766.024 152.531 0.566 1989.000 
766.305 152.173 0.565 2005.000 
766.545 151.815 0.566 2005.000 
766.785 151.456 0.566 2005.000 
767.066 151.098 0.565 2021.000 
767.346 150.740 0.565 2037.000 
767.547 150.382 0.565 2037.000 
767.787 150.023 0.565 2037.000 
767.987 149.705 0.565 2053.000 
768.228 149.386 0.565 2053.000 
768.428 149.028 0.565 2069.000 
768.669 148.750 0.566 2069.000 
768.909 148.431 0.565 2069.000 
769.109 148.073 0.565 2085.000 
769.390 147.754 0.566 2101.000 
769.590 147.476 0.565 2101.000 
769.871 147.157 0.566 2101.000 
