% x_coordinate y_coordinate pressure time
% shape 0, 931 points
814.770 262.929 0.057 0
814.770 262.889 0.082 0
814.770 262.889 0.101 17
814.770 262.889 0.128 17
814.770 262.889 0.150 17
814.770 262.889 0.162 33
814.770 262.889 0.175 33
814.770 262.889 0.191 33
814.770 262.889 0.206 49
814.770 262.889 0.222 65
814.770 262.889 0.239 65
814.770 262.889 0.255 65
814.770 262.889 0.272 82
814.770 262.889 0.287 98
814.770 262.889 0.298 98
814.770 262.809 0.305 98
814.810 262.730 0.311 114
814.930 262.610 0.315 114
815.050 262.491 0.318 114
815.170 262.372 0.320 130
815.331 262.212 0.322 146
815.531 262.013 0.324 146
815.691 261.814 0.326 146
815.811 261.615 0.331 163
815.972 261.416 0.337 163
816.092 261.177 0.346 179
816.252 260.978 0.355 179
816.332 260.739 0.365 179
816.452 260.540 0.374 195
816.533 260.341 0.381 211
816.613 260.142 0.385 211
816.733 259.983 0.389 211
816.813 259.824 0.393 228
816.973 259.665 0.394 228
817.053 259.545 0.395 228
817.174 259.426 0.395 244
817.294 259.346 0.396 260
817.454 259.227 0.396 260
817.574 259.147 0.396 260
817.654 258.988 0.396 277
817.775 258.908 0.396 277
817.895 258.789 0.396 293
817.975 258.669 0.397 293
818.095 258.550 0.397 293
818.175 258.431 0.397 309
818.255 258.351 0.397 309
818.336 258.232 0.397 325
818.376 258.152 0.398 325
818.456 258.072 0.399 341
818.496 258.032 0.400 341
818.536 257.953 0.401 341
818.576 257.913 0.402 358
818.576 257.873 0.403 374
818.616 257.833 0.403 374
818.656 257.794 0.403 374
818.736 257.754 0.403 390
818.816 257.714 0.403 390
818.896 257.674 0.403 390
818.977 257.634 0.403 406
819.097 257.555 0.404 422
819.177 257.515 0.404 422
819.297 257.435 0.404 422
819.377 257.356 0.404 438
819.457 257.316 0.404 438
819.578 257.236 0.404 455
819.618 257.196 0.405 455
819.698 257.117 0.405 471
819.738 257.077 0.405 471
819.738 257.037 0.405 471
819.778 256.997 0.405 487
819.818 256.958 0.406 487
819.818 256.918 0.407 503
819.858 256.878 0.406 503
819.858 256.838 0.407 503
819.898 256.798 0.406 520
819.978 256.798 0.406 536
820.058 256.759 0.406 536
820.139 256.759 0.406 536
820.219 256.719 0.406 552
820.339 256.719 0.406 552
820.419 256.639 0.405 552
820.539 256.639 0.405 568
820.619 256.639 0.406 585
820.699 256.599 0.406 585
820.820 256.599 0.405 585
820.900 256.599 0.406 601
821.020 256.599 0.405 617
821.140 256.560 0.407 617
821.220 256.560 0.406 617
821.300 256.520 0.406 633
821.381 256.480 0.407 633
821.461 256.440 0.407 633
821.581 256.400 0.409 649
821.621 256.400 0.410 649
821.701 256.361 0.411 666
821.741 256.321 0.412 666
821.781 256.321 0.412 682
821.821 256.321 0.413 682
821.861 256.321 0.413 698
821.942 256.321 0.413 698
822.022 256.321 0.413 698
822.062 256.321 0.413 715
822.182 256.321 0.414 715
822.262 256.321 0.415 715
822.342 256.321 0.415 731
822.462 256.321 0.417 747
822.543 256.321 0.417 747
822.623 256.321 0.417 747
822.703 256.321 0.419 763
822.743 256.321 0.421 780
822.863 256.321 0.422 780
822.943 256.321 0.424 780
823.023 256.321 0.426 796
