% x_coordinate y_coordinate pressure time
% shape 0, 1018 points
481.467 185.230 0.006 0
481.467 185.230 0.011 3
481.467 185.230 0.017 17
481.467 185.230 0.022 17
481.467 185.230 0.027 17
481.467 185.230 0.033 33
481.467 185.230 0.040 34
481.467 185.230 0.046 34
481.467 185.230 0.051 49
481.467 185.230 0.058 49
481.467 185.115 0.065 49
481.467 185.115 0.071 65
481.467 185.115 0.076 65
481.467 185.115 0.081 65
481.467 185.115 0.087 65
481.467 185.115 0.094 81
481.467 185.115 0.101 81
481.467 185.115 0.107 81
481.596 185.037 0.115 97
481.596 185.037 0.119 97
481.596 185.037 0.123 98
481.596 185.037 0.128 113
481.596 185.037 0.133 114
481.596 185.037 0.139 114
481.596 185.037 0.143 129
481.596 185.037 0.148 130
481.596 185.037 0.153 130
481.596 185.037 0.156 145
481.553 184.921 0.159 145
481.553 184.921 0.163 146
481.553 184.921 0.166 146
481.553 184.921 0.168 161
481.553 184.921 0.171 162
481.553 184.921 0.174 177
481.553 184.921 0.175 177
481.553 184.805 0.178 193
481.553 184.805 0.180 209
481.553 184.805 0.181 210
481.553 184.805 0.185 210
481.553 184.805 0.187 225
481.553 184.805 0.188 225
481.553 184.805 0.191 226
481.553 184.805 0.192 241
481.553 184.805 0.195 241
481.725 184.767 0.199 257
481.854 184.728 0.203 257
482.026 184.689 0.204 258
482.155 184.689 0.206 273
482.326 184.651 0.208 273
482.455 184.612 0.208 274
482.584 184.573 0.208 289
482.584 184.573 0.210 289
482.799 184.535 0.212 289
482.928 184.496 0.212 305
483.099 184.457 0.212 306
483.271 184.419 0.213 306
483.400 184.341 0.215 306
483.572 184.264 0.215 321
483.658 184.225 0.215 321
483.830 184.187 0.217 338
483.916 184.148 0.218 338
483.916 184.148 0.220 354
484.087 184.071 0.223 354
484.259 184.032 0.222 371
484.388 183.994 0.226 371
484.560 183.955 0.226 387
484.646 183.916 0.227 388
484.817 183.878 0.228 388
485.032 183.800 0.228 403
485.032 183.800 0.229 404
485.247 183.723 0.230 419
485.376 183.684 0.230 419
485.505 183.607 0.230 419
485.719 183.491 0.232 435
485.848 183.336 0.232 435
486.063 183.220 0.231 451
486.192 183.105 0.232 451
486.364 183.027 0.233 451
486.535 182.911 0.232 467
486.664 182.795 0.234 467
486.836 182.718 0.233 483
487.008 182.602 0.235 500
487.094 182.525 0.234 500
487.308 182.331 0.235 515
487.437 182.177 0.235 515
487.437 182.177 0.234 531
487.652 182.061 0.234 531
487.652 182.061 0.236 531
487.824 181.984 0.235 547
487.996 181.790 0.235 548
488.039 181.674 0.236 548
488.210 181.558 0.236 563
488.296 181.404 0.235 564
488.425 181.365 0.235 564
488.425 181.365 0.237 579
488.640 181.210 0.237 579
488.812 181.017 0.237 595
