% x_coordinate y_coordinate pressure time
% shape 0, 474 points
63.078 68.764 0.249 0
62.863 68.803 0.248 16
62.692 68.803 0.250 16
62.563 68.803 0.252 32
62.563 68.803 0.254 32
62.563 68.803 0.256 32
62.563 68.803 0.261 48
62.563 68.803 0.267 49
62.563 68.803 0.268 49
62.563 68.803 0.270 49
62.563 68.803 0.273 64
62.563 68.803 0.277 64
62.563 68.803 0.281 80
62.563 68.803 0.287 80
62.563 68.803 0.296 80
62.563 68.803 0.303 96
62.563 68.803 0.308 96
62.563 68.803 0.315 96
62.434 68.880 0.324 112
62.434 68.880 0.329 112
62.434 68.880 0.331 112
62.391 68.996 0.335 128
62.391 68.996 0.339 128
62.391 68.996 0.342 128
62.391 68.996 0.344 128
62.262 69.267 0.349 144
62.176 69.460 0.351 144
62.090 69.770 0.351 144
61.961 70.156 0.352 161
61.790 70.465 0.356 161
61.661 70.813 0.360 161
61.446 71.084 0.361 177
61.360 71.238 0.362 177
61.231 71.432 0.367 177
61.188 71.586 0.369 193
61.102 71.779 0.369 193
60.974 72.011 0.370 193
60.931 72.321 0.374 209
60.845 72.630 0.375 209
60.716 72.901 0.374 209
60.587 73.287 0.375 209
60.458 73.596 0.377 225
60.329 73.867 0.378 225
60.243 74.176 0.376 225
60.157 74.485 0.376 241
60.115 74.679 0.379 241
60.072 74.911 0.379 241
60.072 75.142 0.377 257
60.072 75.258 0.376 257
60.072 75.529 0.379 257
60.072 75.761 0.380 273
60.072 76.031 0.378 274
60.072 76.302 0.379 274
60.072 76.534 0.382 289
60.072 76.805 0.381 289
60.115 77.037 0.379 289
60.200 77.346 0.378 289
60.329 77.616 0.383 305
60.458 77.964 0.383 305
60.587 78.196 0.377 305
60.716 78.389 0.379 321
60.931 78.660 0.381 321
61.188 78.853 0.382 321
61.403 79.124 0.379 337
61.704 79.433 0.381 337
61.961 79.704 0.384 337
62.262 79.974 0.384 353
62.563 80.167 0.382 353
62.777 80.399 0.382 353
63.035 80.554 0.385 369
63.336 80.747 0.386 369
63.636 80.941 0.383 369
63.894 81.172 0.384 369
64.281 81.404 0.387 385
64.581 81.636 0.387 385
64.839 81.868 0.385 385
65.097 81.984 0.385 401
65.311 82.178 0.388 401
65.612 82.294 0.388 401
65.827 82.487 0.386 417
66.084 82.680 0.383 418
66.342 82.757 0.384 418
66.686 82.835 0.386 433
67.072 82.873 0.383 433
67.330 83.028 0.382 433
67.674 83.183 0.385 449
68.017 83.298 0.388 449
68.361 83.414 0.385 449
68.661 83.414 0.386 449
69.091 83.414 0.386 465
69.435 83.453 0.390 465
69.821 83.492 0.389 465
70.251 83.530 0.389 481
70.637 83.530 0.392 481
70.981 83.530 0.390 481
71.367 83.492 0.390 497
71.711 83.492 0.389 497
72.140 83.453 0.393 497
72.441 83.414 0.392 513
72.913 83.298 0.392 513
73.257 83.183 0.391 513
73.643 83.067 0.395 530
74.030 82.951 0.394 530
74.460 82.835 0.391 530
74.889 82.719 0.390 530
75.319 82.603 0.393 546
75.791 82.409 0.395 546
76.092 82.255 0.393 546
76.478 82.062 0.392 562
76.822 81.868 0.396 562
77.165 81.714 0.389 562
77.552 81.482 0.391 578
77.810 81.211 0.393 578
78.153 81.018 0.396 578
78.454 80.709 0.398 594
78.797 80.438 0.395 594
79.184 80.129 0.396 594
79.528 79.742 0.400 610
79.871 79.394 0.400 610
80.129 79.008 0.398 610
80.430 78.583 0.399 610
80.730 78.196 0.401 626
80.945 77.771 0.402 626
81.289 77.346 0.399 626
81.460 76.959 0.399 643
81.847 76.534 0.403 643
82.147 76.070 0.405 643
82.362 75.568 0.402 659
82.620 75.065 0.403 659
82.792 74.485 0.407 659
83.092 73.944 0.408 675
83.264 73.326 0.406 675
83.608 72.630 0.407 675
83.865 71.973 0.410 691
84.123 71.277 0.411 691
84.381 70.620 0.409 691
84.596 69.963 0.409 691
84.896 69.306 0.413 707
85.111 68.687 0.414 707
85.369 68.069 0.412 707
85.712 67.528 0.413 723
85.970 66.986 0.417 723
86.271 66.484 0.418 723
86.442 66.059 0.415 739
86.657 65.633 0.417 739
86.829 65.170 0.419 739
87.044 64.744 0.420 755
87.258 64.319 0.418 755
87.430 63.817 0.418 755
87.688 63.353 0.421 771
87.903 62.850 0.422 772
88.074 62.387 0.420 772
88.289 61.923 0.421 772
88.461 61.420 0.425 787
88.633 60.956 0.425 787
88.890 60.415 0.422 787
89.019 59.913 0.423 803
89.277 59.371 0.427 803
89.535 58.830 0.427 803
89.749 58.289 0.424 819
89.964 57.748 0.425 819
90.179 57.284 0.429 819
90.394 56.782 0.429 835
90.608 56.318 0.427 835
90.823 55.815 0.427 835
90.995 55.313 0.431 851
91.296 54.810 0.431 851
91.553 54.346 0.428 851
91.725 53.921 0.429 851
92.155 53.496 0.433 867
92.369 53.071 0.433 867
92.670 52.646 0.431 867
92.928 52.259 0.431 883
93.142 51.834 0.435 883
93.443 51.409 0.434 883
93.658 51.022 0.431 899
93.916 50.520 0.432 899
94.173 50.094 0.436 899
94.302 49.669 0.436 915
94.560 49.283 0.433 915
94.817 48.896 0.433 915
95.075 48.471 0.436 932
95.376 48.084 0.436 932
95.676 47.659 0.433 932
95.848 47.234 0.434 932
96.106 46.848 0.437 948
96.364 46.422 0.438 948
96.578 46.036 0.435 948
96.836 45.649 0.436 964
97.094 45.185 0.439 964
97.394 44.722 0.439 964
97.695 44.180 0.436 980
98.039 43.717 0.437 980
98.425 43.253 0.440 980
98.812 42.712 0.439 996
99.198 42.286 0.437 996
99.499 41.823 0.437 996
99.843 41.320 0.440 1012
100.100 40.895 0.440 1012
100.487 40.431 0.437 1012
100.873 39.890 0.438 1012
101.217 39.387 0.441 1028
101.646 38.885 0.441 1028
101.947 38.382 0.438 1028
102.205 37.957 0.439 1028
102.505 37.571 0.442 1044
102.849 37.107 0.442 1045
103.064 36.681 0.439 1045
103.407 36.218 0.439 1060
103.665 35.715 0.443 1060
104.052 35.213 0.443 1076
104.481 34.671 0.439 1076
104.868 34.053 0.439 1076
105.211 33.435 0.442 1092
105.598 32.816 0.442 1092
106.027 32.198 0.439 1092
106.414 31.579 0.439 1092
106.843 31.038 0.442 1108
107.187 30.497 0.442 1108
107.487 30.033 0.439 1108
107.745 29.608 0.440 1124
107.960 29.183 0.443 1124
108.261 28.796 0.442 1124
108.475 28.409 0.439 1124
108.690 27.984 0.440 1140
108.991 27.675 0.443 1140
109.205 27.327 0.443 1156
109.463 27.018 0.440 1157
109.721 26.709 0.440 1157
109.979 26.322 0.443 1157
110.236 26.013 0.444 1172
110.494 25.665 0.441 1172
110.752 25.317 0.441 1188
110.923 25.008 0.443 1188
111.224 24.660 0.444 1188
111.482 24.351 0.441 1188
111.696 24.080 0.441 1204
111.954 23.732 0.443 1204
112.212 23.500 0.443 1204
112.555 23.230 0.440 1220
112.942 22.921 0.440 1220
113.243 22.650 0.443 1220
113.586 22.341 0.443 1236
113.930 22.070 0.439 1236
114.273 21.838 0.440 1236
114.617 21.568 0.443 1236
115.004 21.336 0.442 1252
115.390 21.026 0.439 1252
115.820 20.679 0.440 1252
116.249 20.447 0.443 1268
116.593 20.176 0.443 1268
116.979 19.905 0.440 1268
117.280 19.712 0.440 1285
117.752 19.403 0.444 1285
118.182 19.132 0.445 1285
118.611 18.862 0.440 1285
119.041 18.591 0.441 1301
119.384 18.321 0.444 1301
119.685 18.127 0.444 1301
120.029 17.973 0.441 1317
120.372 17.741 0.441 1317
120.759 17.586 0.445 1317
121.102 17.316 0.444 1333
121.489 17.084 0.441 1333
121.875 16.813 0.441 1333
122.305 16.581 0.445 1349
122.606 16.349 0.444 1349
123.035 16.117 0.441 1349
123.422 15.885 0.442 1365
123.937 15.654 0.445 1365
124.495 15.422 0.445 1365
124.968 15.112 0.442 1365
125.483 14.880 0.443 1381
125.956 14.571 0.446 1381
126.428 14.262 0.445 1381
126.858 14.069 0.442 1397
127.330 13.837 0.443 1397
127.845 13.605 0.446 1397
128.232 13.412 0.445 1413
128.533 13.257 0.443 1413
128.790 13.180 0.442 1413
128.919 13.064 0.446 1429
129.048 12.948 0.446 1429
129.048 12.948 0.442 1429
129.177 12.870 0.443 1446
