% x_coordinate y_coordinate pressure time
% shape 0, 405 points
90.030 74.988 0.121 0
90.116 74.872 0.292 15
90.116 74.872 0.294 16
90.030 74.756 0.290 31
90.030 74.756 0.292 47
90.202 74.679 0.291 47
90.331 74.640 0.292 63
90.588 74.524 0.293 63
90.889 74.331 0.293 63
91.104 74.176 0.292 63
91.447 73.983 0.292 79
91.705 73.790 0.294 79
91.834 73.712 0.293 79
92.049 73.635 0.293 96
92.049 73.635 0.295 96
92.263 73.519 0.299 96
92.435 73.442 0.303 111
92.650 73.326 0.307 111
92.908 73.132 0.314 111
93.251 72.978 0.321 127
93.509 72.823 0.326 127
93.853 72.591 0.330 127
94.153 72.475 0.336 143
94.540 72.243 0.342 144
94.840 72.011 0.345 144
95.141 71.857 0.346 144
95.528 71.625 0.349 159
95.828 71.470 0.351 159
96.258 71.354 0.353 159
96.601 71.200 0.355 175
96.945 71.122 0.359 175
97.331 71.045 0.365 175
97.804 71.006 0.371 191
98.362 71.006 0.374 191
98.921 71.006 0.376 191
99.479 71.084 0.381 207
100.037 71.161 0.381 208
100.596 71.238 0.381 208
101.240 71.316 0.383 223
101.927 71.316 0.386 223
102.571 71.316 0.385 223
103.258 71.316 0.384 223
103.903 71.316 0.385 239
104.461 71.316 0.386 239
104.976 71.277 0.386 239
105.535 71.277 0.384 255
106.093 71.200 0.384 255
106.694 71.161 0.385 255
107.296 71.006 0.385 271
107.854 70.813 0.384 271
108.369 70.581 0.385 271
108.928 70.233 0.387 288
109.486 69.924 0.387 288
110.001 69.499 0.387 288
110.603 69.074 0.389 304
111.118 68.610 0.390 304
111.719 68.146 0.391 304
112.235 67.644 0.391 304
112.707 67.141 0.393 320
113.180 66.638 0.396 320
113.609 66.097 0.396 320
114.039 65.556 0.396 337
114.554 65.015 0.397 337
114.984 64.435 0.399 337
115.370 64.010 0.400 337
115.757 63.546 0.399 352
116.100 63.082 0.401 352
116.444 62.657 0.403 368
116.830 62.077 0.403 368
117.217 61.575 0.401 368
117.603 61.034 0.403 385
117.947 60.492 0.405 385
118.334 59.990 0.405 385
118.677 59.449 0.405 385
119.107 58.946 0.406 400
119.364 58.444 0.408 400
119.751 57.903 0.408 400
120.009 57.323 0.408 416
120.266 56.782 0.409 416
120.610 56.240 0.412 416
120.868 55.699 0.411 416
121.297 55.158 0.410 432
121.598 54.617 0.411 432
121.855 54.076 0.413 432
122.285 53.612 0.412 448
122.543 53.148 0.412 449
122.843 52.800 0.412 449
123.187 52.452 0.414 464
123.530 52.066 0.414 464
123.874 51.718 0.413 480
124.261 51.370 0.414 480
124.604 51.022 0.415 480
124.905 50.713 0.415 480
125.334 50.404 0.413 496
125.721 50.094 0.415 496
126.193 49.747 0.417 496
126.666 49.283 0.416 496
127.095 48.819 0.415 512
127.525 48.316 0.416 512
127.954 47.853 0.417 512
128.427 47.466 0.416 529
128.856 47.157 0.415 529
129.372 46.809 0.415 529
129.715 46.577 0.417 545
130.016 46.422 0.416 545
130.230 46.268 0.414 545
130.359 46.229 0.414 562
130.574 46.190 0.415 562
130.746 46.190 0.416 562
131.004 46.190 0.417 578
131.261 46.268 0.418 578
131.562 46.306 0.422 578
131.820 46.422 0.424 579
132.077 46.461 0.422 594
132.335 46.538 0.424 594
