% x_coordinate y_coordinate pressure time
% shape 0, 383 points
66.815 77.462 0.278 0
66.815 77.462 0.279 0
66.557 77.268 0.277 0
66.342 77.191 0.271 16
66.213 77.152 0.270 16
66.213 77.152 0.265 16
66.084 77.037 0.265 16
66.084 76.921 0.266 33
66.256 76.805 0.265 33
66.428 76.650 0.265 49
66.643 76.495 0.267 49
66.943 76.302 0.268 49
67.244 76.031 0.267 65
67.545 75.761 0.267 65
67.802 75.490 0.271 65
68.060 75.104 0.273 81
68.404 74.795 0.275 81
68.704 74.369 0.277 81
69.091 73.790 0.280 97
69.520 73.248 0.283 97
69.993 72.630 0.284 97
70.508 72.011 0.286 113
71.110 71.277 0.289 113
71.797 70.543 0.293 113
72.527 69.731 0.294 113
73.300 68.919 0.295 129
74.073 68.146 0.298 129
74.889 67.450 0.301 129
75.619 66.716 0.302 145
76.349 66.020 0.304 145
77.079 65.286 0.308 145
77.810 64.474 0.311 161
78.540 63.701 0.311 162
79.270 62.889 0.312 162
80.000 62.077 0.314 177
80.730 61.266 0.317 177
81.460 60.454 0.316 177
82.147 59.642 0.316 193
82.878 58.869 0.318 193
83.522 58.096 0.321 193
84.252 57.362 0.320 193
84.896 56.666 0.319 209
85.626 55.970 0.321 209
86.357 55.313 0.323 209
87.087 54.694 0.321 225
87.817 54.037 0.321 225
88.547 53.419 0.322 225
89.277 52.839 0.323 241
90.093 52.259 0.322 241
90.866 51.641 0.321 241
91.639 51.022 0.323 257
92.455 50.404 0.324 257
93.185 49.708 0.323 257
94.001 49.051 0.322 273
94.774 48.394 0.324 273
95.505 47.659 0.325 273
96.235 47.002 0.324 273
96.965 46.345 0.323 289
97.566 45.688 0.325 289
98.210 45.069 0.326 289
98.855 44.412 0.325 306
99.413 43.717 0.326 306
100.014 43.098 0.328 306
100.701 42.441 0.330 321
101.303 41.823 0.330 321
101.947 41.165 0.330 321
102.634 40.431 0.333 337
103.278 39.697 0.334 337
104.009 38.923 0.334 337
104.653 38.189 0.334 353
105.340 37.455 0.336 353
105.984 36.797 0.338 353
106.543 36.140 0.337 353
107.101 35.522 0.336 369
107.573 34.826 0.338 369
107.960 34.092 0.340 369
108.304 33.357 0.339 385
108.561 32.661 0.338 385
108.905 32.004 0.341 385
109.205 31.347 0.343 401
109.463 30.651 0.342 401
109.721 29.917 0.342 401
109.893 29.183 0.346 417
110.193 28.448 0.348 417
110.408 27.714 0.346 417
110.709 26.979 0.347 434
110.923 26.245 0.349 434
111.181 25.549 0.351 434
111.482 24.853 0.350 434
111.782 24.196 0.349 450
112.083 23.500 0.351 450
112.341 22.882 0.353 450
112.598 22.263 0.352 466
112.899 21.684 0.352 466
113.114 21.142 0.354 466
113.371 20.640 0.355 482
113.543 20.137 0.354 482
113.758 19.596 0.354 482
113.887 19.132 0.356 498
113.973 18.630 0.358 498
114.102 18.205 0.357 498
114.145 17.896 0.358 514
